shrink_mode,lambda,num_trees,ROC AUC,replication
no_shrinkage,0.0,1,0.6605720122574055,0
hs,100.0,1,0.8295199182839633,0
hs_entropy,100.0,1,0.8261150834184542,0
hs_log_cardinality,100.0,1,0.83398025195778,0
hs_permutation,100.0,1,0.8327885597548519,0
hs_global_permutation,100.0,1,0.833946203609125,0
no_shrinkage,0.0,1,0.5961184882533198,1
hs,100.0,1,0.7458631256384066,1
hs_entropy,100.0,1,0.7440585631596868,1
hs_log_cardinality,100.0,1,0.7461355124276473,1
hs_permutation,50.0,1,0.7493360572012258,1
hs_global_permutation,100.0,1,0.7565202587674497,1
no_shrinkage,0.0,1,0.6726251276813074,2
hs,100.0,1,0.8198842356145726,2
hs_entropy,100.0,1,0.8224038134150494,2
hs_log_cardinality,100.0,1,0.8220973782771537,2
hs_permutation,100.0,1,0.823765747361253,2
hs_global_permutation,100.0,1,0.8280898876404494,2
no_shrinkage,0.0,1,0.6480081716036772,3
hs,100.0,1,0.8232209737827716,3
hs_entropy,100.0,1,0.826012938372489,3
hs_log_cardinality,100.0,1,0.8340143003064351,3
hs_permutation,100.0,1,0.8261150834184542,3
hs_global_permutation,100.0,1,0.8281239359891046,3
no_shrinkage,0.0,1,0.664862104187947,4
hs,100.0,1,0.7994892747701736,4
hs_entropy,100.0,1,0.8036091249574396,4
hs_log_cardinality,100.0,1,0.7987402110997617,4
hs_permutation,100.0,1,0.7998638066053796,4
hs_global_permutation,100.0,1,0.8025536261491317,4
no_shrinkage,0.0,1,0.6942117807286347,5
hs,100.0,1,0.78488253319714,5
hs_entropy,25.0,1,0.7856996935648621,5
hs_log_cardinality,25.0,1,0.7832822608103507,5
hs_permutation,50.0,1,0.794279877425945,5
hs_global_permutation,25.0,1,0.7812393598910452,5
no_shrinkage,0.0,1,0.7215526046986722,6
hs,100.0,1,0.8334695267279537,6
hs_entropy,100.0,1,0.8300987402110999,6
hs_log_cardinality,100.0,1,0.83016683690841,6
hs_permutation,100.0,1,0.8266598569969357,6
hs_global_permutation,100.0,1,0.8344228804902962,6
no_shrinkage,0.0,1,0.6627170582226762,7
hs,100.0,1,0.7987742594484167,7
hs_entropy,100.0,1,0.7955056179775282,7
hs_log_cardinality,100.0,1,0.7941096356826693,7
hs_permutation,100.0,1,0.789479060265577,7
hs_global_permutation,50.0,1,0.7824310520939735,7
no_shrinkage,0.0,1,0.6864487572352741,8
hs,100.0,1,0.808648280558393,8
hs_entropy,100.0,1,0.8053115423901942,8
hs_log_cardinality,100.0,1,0.8076268300987401,8
hs_permutation,100.0,1,0.8122574055158325,8
hs_global_permutation,100.0,1,0.8093292475314948,8
no_shrinkage,0.0,1,0.6865168539325842,9
hs,100.0,1,0.8082737487231868,9
hs_entropy,50.0,1,0.8123255022131426,9
hs_log_cardinality,50.0,1,0.8115423901940756,9
hs_permutation,10.0,1,0.785665645216207,9
hs_global_permutation,25.0,1,0.7946203609124958,9
no_shrinkage,0.0,1,0.6795709908069458,10
hs,100.0,1,0.8140960163432074,10
hs_entropy,100.0,1,0.8088525706503235,10
hs_log_cardinality,100.0,1,0.8103506979911475,10
hs_permutation,100.0,1,0.8163772557030984,10
hs_global_permutation,100.0,1,0.8118488253319714,10
no_shrinkage,0.0,1,0.6100102145045965,11
hs,100.0,1,0.7702076949267962,11
hs_entropy,100.0,1,0.7776983316309161,11
hs_log_cardinality,50.0,1,0.769458631256384,11
hs_permutation,100.0,1,0.7801838610827374,11
hs_global_permutation,100.0,1,0.7756213823629555,11
no_shrinkage,0.0,1,0.6791283622744296,12
hs,100.0,1,0.80374531835206,12
hs_entropy,100.0,1,0.8152877085461355,12
hs_log_cardinality,100.0,1,0.8130745658835548,12
hs_permutation,50.0,1,0.8183861082737487,12
hs_global_permutation,100.0,1,0.8221314266258087,12
no_shrinkage,0.0,1,0.6584269662921349,13
hs,100.0,1,0.76040177051413,13
hs_entropy,100.0,1,0.7609124957439565,13
hs_log_cardinality,100.0,1,0.7619679945522643,13
hs_permutation,100.0,1,0.7547837929860401,13
hs_global_permutation,100.0,1,0.7587334014300308,13
no_shrinkage,0.0,1,0.6704800817160368,14
hs,100.0,1,0.790194075587334,14
hs_entropy,100.0,1,0.7946884576098059,14
hs_log_cardinality,100.0,1,0.7952672795369424,14
hs_permutation,100.0,1,0.7940074906367041,14
hs_global_permutation,100.0,1,0.7896493020088526,14
no_shrinkage,0.0,1,0.6457950289410964,15
hs,100.0,1,0.7818522301668369,15
hs_entropy,100.0,1,0.7771876064010896,15
hs_log_cardinality,100.0,1,0.7767790262172285,15
hs_permutation,100.0,1,0.7884235614572693,15
hs_global_permutation,100.0,1,0.7850527749404155,15
