shrink_mode,lambda,num_trees,ROC AUC,replication
no_shrinkage,0.0,1,0.5937950937950938,0
hs,100.0,1,0.721085311994403,0
hs_entropy,100.0,1,0.7254143163234074,0
hs_log_cardinality,100.0,1,0.7274913638550001,0
hs_permutation,100.0,1,0.7161003979185797,0
hs_global_permutation,100.0,1,0.713017622108531,0
no_shrinkage,0.0,1,0.6089466089466089,1
hs,100.0,1,0.7615768070313526,1
hs_entropy,100.0,1,0.7702129520311338,1
hs_log_cardinality,100.0,1,0.7644628099173554,1
hs_permutation,100.0,1,0.7676549040185403,1
hs_global_permutation,100.0,1,0.7683982683982684,1
no_shrinkage,0.0,1,0.6219336219336218,2
hs,100.0,1,0.713892168437623,2
hs_entropy,100.0,1,0.7439765621583803,2
hs_log_cardinality,100.0,1,0.7380733744370107,2
hs_permutation,100.0,1,0.7225939044120863,2
hs_global_permutation,100.0,1,0.7330228693865057,2
no_shrinkage,0.0,1,0.6341991341991342,3
hs,100.0,1,0.743211334120425,3
hs_entropy,100.0,1,0.7389916480825571,3
hs_log_cardinality,100.0,1,0.7419869692596965,3
hs_permutation,100.0,1,0.7353841444750536,3
hs_global_permutation,100.0,1,0.740390922209104,3
no_shrinkage,0.0,1,0.6515151515151516,4
hs,100.0,1,0.7417464690191964,4
hs_entropy,100.0,1,0.737854737854738,4
hs_log_cardinality,100.0,1,0.7427959246141065,4
hs_permutation,100.0,1,0.7420525602343785,4
hs_global_permutation,100.0,1,0.7341816432725523,4
no_shrinkage,0.0,1,0.6248196248196247,5
hs,100.0,1,0.7394726485635577,5
hs_entropy,100.0,1,0.7483055664873848,5
hs_log_cardinality,100.0,1,0.7438453802090166,5
hs_permutation,100.0,1,0.7462722462722462,5
hs_global_permutation,100.0,1,0.7431676068039705,5
no_shrinkage,0.0,1,0.6847041847041847,6
hs,100.0,1,0.7866544230180594,6
hs_entropy,100.0,1,0.8007564825746645,6
hs_log_cardinality,100.0,1,0.7930386112204293,6
hs_permutation,100.0,1,0.7908522453976999,6
hs_global_permutation,100.0,1,0.7948095675368403,6
no_shrinkage,0.0,1,0.6046176046176046,7
hs,100.0,1,0.7069395251213433,7
hs_entropy,100.0,1,0.7214788578424942,7
hs_log_cardinality,100.0,1,0.716865625956535,7
hs_permutation,100.0,1,0.7078359351086624,7
hs_global_permutation,100.0,1,0.711290393108575,7
no_shrinkage,0.0,1,0.6406926406926408,8
hs,100.0,1,0.7379859198041017,8
hs_entropy,100.0,1,0.7478464296646116,8
hs_log_cardinality,100.0,1,0.7470593379684287,8
hs_permutation,100.0,1,0.7420306965761511,8
hs_global_permutation,100.0,1,0.7401722856268311,8
no_shrinkage,0.0,1,0.6190476190476191,9
hs,100.0,1,0.7164720801084437,9
hs_entropy,100.0,1,0.7205605841969478,9
hs_log_cardinality,100.0,1,0.7156193974375792,9
hs_permutation,100.0,1,0.7216974944247672,9
hs_global_permutation,100.0,1,0.7169968079058988,9
no_shrinkage,0.0,1,0.6363636363636364,10
hs,100.0,1,0.7229655866019502,10
hs_entropy,100.0,1,0.72005772005772,10
hs_log_cardinality,100.0,1,0.7264856355765448,10
hs_permutation,100.0,1,0.7194018103109012,10
hs_global_permutation,100.0,1,0.714854169399624,10
no_shrinkage,0.0,1,0.6457431457431458,11
hs,100.0,1,0.7222659495386768,11
hs_entropy,100.0,1,0.7370020551838733,11
hs_log_cardinality,100.0,1,0.7364991910446457,11
hs_permutation,100.0,1,0.7185491276400368,11
hs_global_permutation,100.0,1,0.7190519917792646,11
no_shrinkage,0.0,1,0.5974025974025974,12
hs,100.0,1,0.73735187371551,12
hs_entropy,100.0,1,0.7476277930823385,12
hs_log_cardinality,100.0,1,0.7521535703353884,12
hs_permutation,100.0,1,0.7489396125759763,12
hs_global_permutation,100.0,1,0.7242555424373607,12
no_shrinkage,0.0,1,0.6536796536796536,13
hs,100.0,1,0.7325637325637326,13
hs_entropy,100.0,1,0.7425991516900607,13
hs_log_cardinality,100.0,1,0.7436923346014255,13
hs_permutation,100.0,1,0.7356902356902356,13
hs_global_permutation,100.0,1,0.7349031439940531,13
no_shrinkage,0.0,1,0.6536796536796536,14
hs,100.0,1,0.7354497354497354,14
hs_entropy,100.0,1,0.7416808780445143,14
hs_log_cardinality,100.0,1,0.7386636932091478,14
hs_permutation,100.0,1,0.7326293235384144,14
hs_global_permutation,100.0,1,0.7389479207661027,14
no_shrinkage,0.0,1,0.5764790764790765,15
hs,100.0,1,0.7157287157287158,15
hs_entropy,100.0,1,0.7283221828676372,15
hs_log_cardinality,100.0,1,0.7272945909309546,15
hs_permutation,100.0,1,0.7235777690323145,15
hs_global_permutation,50.0,1,0.6998338361974725,15
