shrink_mode,lambda,num_trees,ROC AUC,replication
no_shrinkage,0.0,1,0.5457957957957957,0
hs,100.0,1,0.6506506506506506,0
hs_entropy,10.0,1,0.6118618618618619,0
hs_log_cardinality,10.0,1,0.6166166166166167,0
hs_permutation,100.0,1,0.6851851851851852,0
hs_global_permutation,25.0,1,0.6331331331331331,0
no_shrinkage,0.0,1,0.5282782782782782,1
hs,100.0,1,0.5730730730730732,1
hs_entropy,100.0,1,0.5805805805805806,1
hs_log_cardinality,100.0,1,0.5735735735735736,1
hs_permutation,100.0,1,0.5480480480480481,1
hs_global_permutation,100.0,1,0.6346346346346347,1
no_shrinkage,0.0,1,0.5067567567567568,2
hs,100.0,1,0.677927927927928,2
hs_entropy,100.0,1,0.6909409409409409,2
hs_log_cardinality,50.0,1,0.6624124124124123,2
hs_permutation,100.0,1,0.7194694694694694,2
hs_global_permutation,100.0,1,0.7525025025025025,2
no_shrinkage,0.0,1,0.5713213213213213,3
hs,25.0,1,0.6461461461461461,3
hs_entropy,100.0,1,0.6561561561561562,3
hs_log_cardinality,100.0,1,0.6158658658658658,3
hs_permutation,50.0,1,0.6226226226226226,3
hs_global_permutation,100.0,1,0.6579079079079079,3
no_shrinkage,0.0,1,0.5820820820820821,4
hs,100.0,1,0.6714214214214215,4
hs_entropy,100.0,1,0.6969469469469469,4
hs_log_cardinality,100.0,1,0.6994494494494494,4
hs_permutation,100.0,1,0.7022022022022022,4
hs_global_permutation,100.0,1,0.7284784784784785,4
no_shrinkage,0.0,1,0.5738238238238238,5
hs,0.1,1,0.6356356356356356,5
hs_entropy,50.0,1,0.7137137137137138,5
hs_log_cardinality,0.1,1,0.6651651651651652,5
hs_permutation,10.0,1,0.7007007007007007,5
hs_global_permutation,100.0,1,0.6846846846846847,5
no_shrinkage,0.0,1,0.5182682682682683,6
hs,50.0,1,0.6081081081081082,6
hs_entropy,100.0,1,0.6211211211211213,6
hs_log_cardinality,100.0,1,0.6256256256256256,6
hs_permutation,25.0,1,0.6161161161161163,6
hs_global_permutation,100.0,1,0.6253753753753755,6
no_shrinkage,0.0,1,0.5955955955955956,7
hs,50.0,1,0.6604104104104105,7
hs_entropy,100.0,1,0.6781781781781782,7
hs_log_cardinality,100.0,1,0.6604104104104103,7
hs_permutation,100.0,1,0.7104604604604605,7
hs_global_permutation,100.0,1,0.6784284284284284,7
no_shrinkage,0.0,1,0.40465465465465467,8
hs,100.0,1,0.6306306306306306,8
hs_entropy,100.0,1,0.6496496496496497,8
hs_log_cardinality,10.0,1,0.6036036036036035,8
hs_permutation,100.0,1,0.6393893893893894,8
hs_global_permutation,100.0,1,0.6816816816816816,8
no_shrinkage,0.0,1,0.5405405405405406,9
hs,100.0,1,0.5447947947947949,9
hs_entropy,100.0,1,0.5763263263263263,9
hs_log_cardinality,100.0,1,0.5608108108108109,9
hs_permutation,25.0,1,0.5668168168168168,9
hs_global_permutation,50.0,1,0.5673173173173174,9
no_shrinkage,0.0,1,0.43018018018018017,10
hs,100.0,1,0.5880880880880881,10
hs_entropy,100.0,1,0.5998498498498499,10
hs_log_cardinality,100.0,1,0.5885885885885885,10
hs_permutation,50.0,1,0.6121121121121121,10
hs_global_permutation,100.0,1,0.6193693693693694,10
no_shrinkage,0.0,1,0.5675675675675675,11
hs,100.0,1,0.7042042042042043,11
hs_entropy,100.0,1,0.7412412412412412,11
hs_log_cardinality,100.0,1,0.7232232232232233,11
hs_permutation,100.0,1,0.7224724724724726,11
hs_global_permutation,50.0,1,0.7502502502502503,11
no_shrinkage,0.0,1,0.5593093093093093,12
hs,100.0,1,0.6874374374374376,12
hs_entropy,100.0,1,0.685935935935936,12
hs_log_cardinality,100.0,1,0.6856856856856857,12
hs_permutation,100.0,1,0.6468968968968969,12
hs_global_permutation,10.0,1,0.6609109109109108,12
no_shrinkage,0.0,1,0.5945945945945945,13
hs,100.0,1,0.714964964964965,13
hs_entropy,100.0,1,0.7184684684684685,13
hs_log_cardinality,100.0,1,0.6946946946946946,13
hs_permutation,100.0,1,0.6571571571571571,13
hs_global_permutation,100.0,1,0.6341341341341342,13
no_shrinkage,0.0,1,0.5675675675675675,14
hs,100.0,1,0.6784284284284283,14
hs_entropy,50.0,1,0.6966966966966968,14
hs_log_cardinality,100.0,1,0.7002002002002001,14
hs_permutation,10.0,1,0.6684184184184184,14
hs_global_permutation,1.0,1,0.5152652652652653,14
no_shrinkage,0.0,1,0.5888388388388388,15
hs,100.0,1,0.7227227227227226,15
hs_entropy,100.0,1,0.7167167167167168,15
hs_log_cardinality,100.0,1,0.7107107107107107,15
hs_permutation,100.0,1,0.7002002002002004,15
hs_global_permutation,50.0,1,0.7422422422422422,15
