shrink_mode,lambda,num_trees,ROC AUC,replication
no_shrinkage,0.0,1,0.74,0
hs,10.0,1,0.8545,0
hs_entropy,50.0,1,0.8725,0
hs_log_cardinality,25.0,1,0.8639999999999999,0
hs_permutation,50.0,1,0.879,0
hs_global_permutation,50.0,1,0.877,0
no_shrinkage,0.0,1,0.7375,1
hs,100.0,1,0.8025,1
hs_entropy,10.0,1,0.813,1
hs_log_cardinality,10.0,1,0.81275,1
hs_permutation,50.0,1,0.80125,1
hs_global_permutation,25.0,1,0.8035,1
no_shrinkage,0.0,1,0.7324999999999999,2
hs,0.1,1,0.8200000000000001,2
hs_entropy,50.0,1,0.8522500000000001,2
hs_log_cardinality,100.0,1,0.8450000000000001,2
hs_permutation,50.0,1,0.8285,2
hs_global_permutation,50.0,1,0.8295000000000001,2
no_shrinkage,0.0,1,0.7549999999999999,3
hs,10.0,1,0.9005000000000001,3
hs_entropy,0.1,1,0.885,3
hs_log_cardinality,25.0,1,0.9075,3
hs_permutation,10.0,1,0.88,3
hs_global_permutation,1.0,1,0.896,3
no_shrinkage,0.0,1,0.7275,4
hs,50.0,1,0.8125,4
hs_entropy,1.0,1,0.8069999999999999,4
hs_log_cardinality,10.0,1,0.8065,4
hs_permutation,100.0,1,0.7965,4
hs_global_permutation,10.0,1,0.8005,4
no_shrinkage,0.0,1,0.7474999999999999,5
hs,10.0,1,0.8402499999999999,5
hs_entropy,10.0,1,0.8385,5
hs_log_cardinality,10.0,1,0.8407500000000001,5
hs_permutation,10.0,1,0.8445,5
hs_global_permutation,1.0,1,0.82825,5
no_shrinkage,0.0,1,0.73,6
hs,50.0,1,0.7825,6
hs_entropy,100.0,1,0.8332499999999999,6
hs_log_cardinality,100.0,1,0.83025,6
hs_permutation,50.0,1,0.7955,6
hs_global_permutation,100.0,1,0.8275,6
no_shrinkage,0.0,1,0.7775000000000001,7
hs,50.0,1,0.7942499999999999,7
hs_entropy,10.0,1,0.80975,7
hs_log_cardinality,10.0,1,0.8174999999999999,7
hs_permutation,25.0,1,0.8225,7
hs_global_permutation,25.0,1,0.81,7
no_shrinkage,0.0,1,0.735,8
hs,100.0,1,0.7690000000000001,8
hs_entropy,1.0,1,0.7915000000000001,8
hs_log_cardinality,0.1,1,0.7742500000000001,8
hs_permutation,1.0,1,0.7742500000000001,8
hs_global_permutation,1.0,1,0.7782500000000001,8
no_shrinkage,0.0,1,0.6300000000000001,9
hs,100.0,1,0.75725,9
hs_entropy,50.0,1,0.792,9
hs_log_cardinality,50.0,1,0.79,9
hs_permutation,50.0,1,0.765,9
hs_global_permutation,10.0,1,0.7565,9
no_shrinkage,0.0,1,0.6625,10
hs,10.0,1,0.78725,10
hs_entropy,0.1,1,0.7885,10
hs_log_cardinality,10.0,1,0.81725,10
hs_permutation,10.0,1,0.71075,10
hs_global_permutation,10.0,1,0.77475,10
no_shrinkage,0.0,1,0.7925,11
hs,10.0,1,0.88,11
hs_entropy,25.0,1,0.8799999999999999,11
hs_log_cardinality,25.0,1,0.8765000000000001,11
hs_permutation,1.0,1,0.8684999999999999,11
hs_global_permutation,10.0,1,0.8775,11
no_shrinkage,0.0,1,0.7525000000000001,12
hs,25.0,1,0.83575,12
hs_entropy,25.0,1,0.84775,12
hs_log_cardinality,25.0,1,0.851,12
hs_permutation,100.0,1,0.8359999999999999,12
hs_global_permutation,50.0,1,0.8262499999999999,12
no_shrinkage,0.0,1,0.7425,13
hs,100.0,1,0.8247499999999999,13
hs_entropy,10.0,1,0.8202499999999999,13
hs_log_cardinality,0.1,1,0.8105,13
hs_permutation,10.0,1,0.8214999999999999,13
hs_global_permutation,10.0,1,0.8154999999999999,13
no_shrinkage,0.0,1,0.7525,14
hs,100.0,1,0.8545,14
hs_entropy,100.0,1,0.86325,14
hs_log_cardinality,50.0,1,0.8787499999999999,14
hs_permutation,100.0,1,0.86275,14
hs_global_permutation,50.0,1,0.87025,14
no_shrinkage,0.0,1,0.7175,15
hs,100.0,1,0.80175,15
hs_entropy,50.0,1,0.8029999999999999,15
hs_log_cardinality,100.0,1,0.8055,15
hs_permutation,25.0,1,0.783,15
hs_global_permutation,100.0,1,0.7985,15
