shrink_mode,lambda,num_trees,ROC AUC,replication
no_shrinkage,0.0,1,0.926962676962677,0
hs,100.0,1,0.9348455598455598,0
hs_entropy,100.0,1,0.9387065637065638,0
hs_log_cardinality,100.0,1,0.9387065637065637,0
hs_permutation,50.0,1,0.9345238095238095,0
hs_global_permutation,1.0,1,0.9377413127413128,0
no_shrinkage,0.0,1,0.8642213642213642,1
hs,0.1,1,0.8957528957528957,1
hs_entropy,25.0,1,0.8983268983268984,1
hs_log_cardinality,100.0,1,0.8923745173745173,1
hs_permutation,10.0,1,0.8915701415701416,1
hs_global_permutation,50.0,1,0.9002574002574002,1
no_shrinkage,0.0,1,0.8642213642213642,2
hs,100.0,1,0.9177927927927928,2
hs_entropy,25.0,1,0.916988416988417,2
hs_log_cardinality,10.0,1,0.9094272844272844,2
hs_permutation,100.0,1,0.9184362934362935,2
hs_global_permutation,50.0,1,0.9176319176319176,2
no_shrinkage,0.0,1,0.8436293436293436,3
hs,50.0,1,0.88996138996139,3
hs_entropy,10.0,1,0.8957528957528957,3
hs_log_cardinality,100.0,1,0.8883526383526383,3
hs_permutation,10.0,1,0.8947876447876448,3
hs_global_permutation,100.0,1,0.8883526383526383,3
no_shrinkage,0.0,1,0.8455598455598455,4
hs,100.0,1,0.9174710424710424,4
hs_entropy,100.0,1,0.9189189189189189,4
hs_log_cardinality,50.0,1,0.9182754182754183,4
hs_permutation,100.0,1,0.9116795366795366,4
hs_global_permutation,50.0,1,0.9174710424710424,4
no_shrinkage,0.0,1,0.8423423423423424,5
hs,100.0,1,0.9353281853281854,5
hs_entropy,100.0,1,0.9375804375804375,5
hs_log_cardinality,100.0,1,0.9375804375804375,5
hs_permutation,100.0,1,0.9351673101673101,5
hs_global_permutation,100.0,1,0.9340411840411841,5
no_shrinkage,0.0,1,0.8336550836550836,6
hs,25.0,1,0.9351673101673103,6
hs_entropy,10.0,1,0.9300193050193051,6
hs_log_cardinality,10.0,1,0.9185971685971687,6
hs_permutation,10.0,1,0.9324324324324325,6
hs_global_permutation,50.0,1,0.9417631917631919,6
no_shrinkage,0.0,1,0.882882882882883,7
hs,0.1,1,0.9015444015444015,7
hs_entropy,0.1,1,0.906048906048906,7
hs_log_cardinality,10.0,1,0.907014157014157,7
hs_permutation,1.0,1,0.9293758043758044,7
hs_global_permutation,0.1,1,0.9089446589446589,7
no_shrinkage,0.0,1,0.8761261261261262,8
hs,100.0,1,0.9483590733590733,8
hs_entropy,50.0,1,0.9454633204633205,8
hs_log_cardinality,100.0,1,0.9522200772200773,8
hs_permutation,100.0,1,0.9502895752895753,8
hs_global_permutation,25.0,1,0.9428893178893178,8
no_shrinkage,0.0,1,0.8896396396396397,9
hs,25.0,1,0.9330759330759331,9
hs_entropy,50.0,1,0.9322715572715572,9
hs_log_cardinality,100.0,1,0.9338803088803089,9
hs_permutation,100.0,1,0.9414414414414415,9
hs_global_permutation,100.0,1,0.9362934362934363,9
no_shrinkage,0.0,1,0.8455598455598455,10
hs,100.0,1,0.8844916344916345,10
hs_entropy,100.0,1,0.8914092664092664,10
hs_log_cardinality,100.0,1,0.893983268983269,10
hs_permutation,100.0,1,0.9087837837837838,10
hs_global_permutation,100.0,1,0.9062097812097812,10
no_shrinkage,0.0,1,0.8963963963963965,11
hs,50.0,1,0.8935006435006434,11
hs_entropy,0.1,1,0.913127413127413,11
hs_log_cardinality,0.1,1,0.911036036036036,11
hs_permutation,25.0,1,0.912966537966538,11
hs_global_permutation,25.0,1,0.9147361647361647,11
no_shrinkage,0.0,1,0.8983268983268984,12
hs,50.0,1,0.926962676962677,12
hs_entropy,10.0,1,0.9333976833976834,12
hs_log_cardinality,10.0,1,0.9276061776061776,12
hs_permutation,25.0,1,0.9276061776061776,12
hs_global_permutation,25.0,1,0.9332368082368082,12
no_shrinkage,0.0,1,0.8864221364221363,13
hs,100.0,1,0.9353281853281853,13
hs_entropy,25.0,1,0.9343629343629343,13
hs_log_cardinality,100.0,1,0.9345238095238094,13
hs_permutation,100.0,1,0.9353281853281853,13
hs_global_permutation,25.0,1,0.9342020592020591,13
no_shrinkage,0.0,1,0.8352638352638353,14
hs,100.0,1,0.9420849420849421,14
hs_entropy,25.0,1,0.9518983268983269,14
hs_log_cardinality,50.0,1,0.9557593307593307,14
hs_permutation,100.0,1,0.9425675675675677,14
hs_global_permutation,50.0,1,0.939993564993565,14
no_shrinkage,0.0,1,0.8352638352638353,15
hs,25.0,1,0.8885135135135135,15
hs_entropy,100.0,1,0.8852960102960103,15
hs_log_cardinality,50.0,1,0.8852960102960103,15
hs_permutation,10.0,1,0.8875482625482625,15
hs_global_permutation,10.0,1,0.885939510939511,15
