shrink_mode,lambda,num_trees,ROC AUC,replication
no_shrinkage,0.0,1,0.7021467652340976,0
hs,100.0,1,0.8988222027314873,0
hs_entropy,100.0,1,0.8968323578021611,0
hs_log_cardinality,100.0,1,0.8970411871050888,0
hs_permutation,100.0,1,0.8949200780424937,0
hs_global_permutation,100.0,1,0.896560879708355,0
no_shrinkage,0.0,1,0.6756045608319758,1
hs,100.0,1,0.8597025077416005,1
hs_entropy,100.0,1,0.8585479800239855,1
hs_log_cardinality,100.0,1,0.8567401149157821,1
hs_permutation,100.0,1,0.8581780538302279,1
hs_global_permutation,100.0,1,0.8597144408446251,1
no_shrinkage,0.0,1,0.6641099993436793,2
hs,100.0,1,0.8549322498075786,2
hs_entropy,100.0,1,0.8574590843730049,2
hs_log_cardinality,100.0,1,0.8583391507210578,2
hs_permutation,100.0,1,0.8593862805114529,2
hs_global_permutation,100.0,1,0.8517013621637103,2
no_shrinkage,0.0,1,0.6723080411214731,3
hs,100.0,1,0.8557108847799237,3
hs_entropy,100.0,1,0.8567043156067087,3
hs_log_cardinality,100.0,1,0.855558737716362,3
hs_permutation,100.0,1,0.8572651714488577,3
hs_global_permutation,100.0,1,0.8595682603325755,3
no_shrinkage,0.0,1,0.6903628259974582,4
hs,100.0,1,0.8515044659638068,4
hs_entropy,100.0,1,0.8496100858586763,4
hs_log_cardinality,100.0,1,0.8491685610467717,4
hs_permutation,100.0,1,0.8567460814672943,4
hs_global_permutation,100.0,1,0.8498248817131163,4
no_shrinkage,0.0,1,0.7034892393243477,5
hs,100.0,1,0.8633182379580074,5
hs_entropy,100.0,1,0.8611314968287778,5
hs_log_cardinality,100.0,1,0.8566595664703671,5
hs_permutation,100.0,1,0.8592102672418422,5
hs_global_permutation,100.0,1,0.8628767131461028,5
no_shrinkage,0.0,1,0.6999361578988192,6
hs,100.0,1,0.878512061383882,6
hs_entropy,100.0,1,0.8797948699590098,6
hs_log_cardinality,100.0,1,0.8726230750413183,6
hs_permutation,100.0,1,0.8731630479531746,6
hs_global_permutation,100.0,1,0.8775842626237315,6
no_shrinkage,0.0,1,0.6870663062869553,7
hs,100.0,1,0.8549590992893837,7
hs_entropy,100.0,1,0.8580020405606172,7
hs_log_cardinality,100.0,1,0.8553857077225077,7
hs_permutation,100.0,1,0.8625097702281013,7
hs_global_permutation,100.0,1,0.8601828151383344,7
no_shrinkage,0.0,1,0.659596303124683,8
hs,100.0,1,0.8687597329371544,8
hs_entropy,100.0,1,0.8655676278781153,8
hs_log_cardinality,100.0,1,0.8685091377736409,8
hs_permutation,100.0,1,0.8646040298088913,8
hs_global_permutation,100.0,1,0.8709643737209205,8
no_shrinkage,0.0,1,0.6571947661410135,9
hs,100.0,1,0.8404514292874148,9
hs_entropy,100.0,1,0.8433720562526477,9
hs_log_cardinality,100.0,1,0.8393207677758485,9
hs_permutation,100.0,1,0.8350487168930972,9
hs_global_permutation,100.0,1,0.8440820758826022,9
no_shrinkage,0.0,1,0.6610372253148846,10
hs,100.0,1,0.8758211466518696,10
hs_entropy,100.0,1,0.8774321155601696,10
hs_log_cardinality,100.0,1,0.8705914642514065,10
hs_permutation,100.0,1,0.8775663629691947,10
hs_global_permutation,100.0,1,0.8792578803229097,10
no_shrinkage,0.0,1,0.6703211794679029,11
hs,100.0,1,0.8526888264389831,11
hs_entropy,100.0,1,0.8555885704739231,11
hs_log_cardinality,100.0,1,0.851749094575808,11
hs_permutation,100.0,1,0.8548397682591393,11
hs_global_permutation,100.0,1,0.8544907249956742,11
no_shrinkage,0.0,1,0.7059235923413344,12
hs,100.0,1,0.8731719977804429,12
hs_entropy,100.0,1,0.8736403720741523,12
hs_log_cardinality,100.0,1,0.8708510092421884,12
hs_permutation,100.0,1,0.8680676129617366,12
hs_global_permutation,100.0,1,0.8728319043442461,12
no_shrinkage,0.0,1,0.6813026175261484,13
hs,100.0,1,0.8186138507526804,13
hs_entropy,100.0,1,0.8205380636153723,13
hs_log_cardinality,100.0,1,0.8170267480504293,13
hs_permutation,100.0,1,0.8211466518696189,13
hs_global_permutation,100.0,1,0.814553612448613,13
no_shrinkage,0.0,1,0.6746439460385081,14
hs,100.0,1,0.8491238119104302,14
hs_entropy,100.0,1,0.8527126926450319,14
hs_log_cardinality,100.0,1,0.8507377640944863,14
hs_permutation,100.0,1,0.8512807202820986,14
hs_global_permutation,100.0,1,0.8489776313983806,14
no_shrinkage,0.0,1,0.6921259419693201,15
hs,100.0,1,0.8448398279246545,15
hs_entropy,100.0,1,0.8456751451363655,15
hs_log_cardinality,100.0,1,0.8455647639333894,15
hs_permutation,100.0,1,0.8521428869756148,15
hs_global_permutation,100.0,1,0.8408034558266358,15
