shrink_mode,lambda,num_trees,R2,replication
no_shrinkage,0.0,1,0.5888433850769492,0
hs,50.0,1,0.7325351616697845,0
hs_entropy,25.0,1,0.733084637510622,0
hs_log_cardinality,25.0,1,0.7318061830518188,0
hs_permutation,50.0,1,0.7360718903747163,0
hs_global_permutation,50.0,1,0.7368435656702386,0
no_shrinkage,0.0,1,0.5928006369434464,1
hs,50.0,1,0.7303023567732942,1
hs_entropy,25.0,1,0.7292317644661572,1
hs_log_cardinality,25.0,1,0.7282703878834764,1
hs_permutation,50.0,1,0.7343952590343759,1
hs_global_permutation,50.0,1,0.7302621624986045,1
no_shrinkage,0.0,1,0.591789899366747,2
hs,50.0,1,0.7300244274903599,2
hs_entropy,25.0,1,0.7320876525478097,2
hs_log_cardinality,25.0,1,0.7309978096709968,2
hs_permutation,50.0,1,0.7316592684664149,2
hs_global_permutation,50.0,1,0.729563510063191,2
no_shrinkage,0.0,1,0.5824723068817763,3
hs,50.0,1,0.7267857357032268,3
hs_entropy,25.0,1,0.7231075426645548,3
hs_log_cardinality,25.0,1,0.7227104815720549,3
hs_permutation,50.0,1,0.723859922386298,3
hs_global_permutation,50.0,1,0.7255515117064292,3
no_shrinkage,0.0,1,0.6295171062062428,4
hs,50.0,1,0.7439753289646963,4
hs_entropy,25.0,1,0.7455157590903225,4
hs_log_cardinality,25.0,1,0.7437147566170623,4
hs_permutation,50.0,1,0.7450928712382956,4
hs_global_permutation,50.0,1,0.743989214395655,4
no_shrinkage,0.0,1,0.5944153335272176,5
hs,100.0,1,0.732917660440942,5
hs_entropy,25.0,1,0.7331936487955104,5
hs_log_cardinality,25.0,1,0.732222713012199,5
hs_permutation,50.0,1,0.7352683147722119,5
hs_global_permutation,50.0,1,0.7321195396709808,5
no_shrinkage,0.0,1,0.6003728559469238,6
hs,50.0,1,0.7257866923357351,6
hs_entropy,25.0,1,0.7232770215457887,6
hs_log_cardinality,25.0,1,0.7224179487005546,6
hs_permutation,50.0,1,0.7261836890199579,6
hs_global_permutation,50.0,1,0.7267710006430249,6
no_shrinkage,0.0,1,0.6005653665504596,7
hs,50.0,1,0.7271528030533073,7
hs_entropy,25.0,1,0.7269624300140869,7
hs_log_cardinality,25.0,1,0.726499065296702,7
hs_permutation,50.0,1,0.7272862152019051,7
hs_global_permutation,50.0,1,0.7255591432509341,7
no_shrinkage,0.0,1,0.6238529213307998,8
hs,50.0,1,0.7544393818708071,8
hs_entropy,25.0,1,0.7545937767007211,8
hs_log_cardinality,25.0,1,0.7530737626041086,8
hs_permutation,50.0,1,0.755794803598522,8
hs_global_permutation,50.0,1,0.7555968792675976,8
no_shrinkage,0.0,1,0.6014184005279903,9
hs,100.0,1,0.7331970335440359,9
hs_entropy,25.0,1,0.7340132127103085,9
hs_log_cardinality,25.0,1,0.7336102224019749,9
hs_permutation,50.0,1,0.7334641990631021,9
hs_global_permutation,50.0,1,0.7341614733991311,9
no_shrinkage,0.0,1,0.6032025020140517,10
hs,50.0,1,0.7345002327020533,10
hs_entropy,25.0,1,0.7332462444771047,10
hs_log_cardinality,25.0,1,0.7331550829095628,10
hs_permutation,50.0,1,0.7342307582497216,10
hs_global_permutation,50.0,1,0.7348977438005437,10
no_shrinkage,0.0,1,0.5991835621623829,11
hs,100.0,1,0.733905487711078,11
hs_entropy,25.0,1,0.7351418086943671,11
hs_log_cardinality,25.0,1,0.7359700460512927,11
hs_permutation,50.0,1,0.7333887481191901,11
hs_global_permutation,50.0,1,0.7326998871902739,11
no_shrinkage,0.0,1,0.5999949073188953,12
hs,50.0,1,0.7296977151049411,12
hs_entropy,25.0,1,0.7300291101494483,12
hs_log_cardinality,25.0,1,0.7279411689836035,12
hs_permutation,50.0,1,0.7330421639296156,12
hs_global_permutation,50.0,1,0.7320784563441223,12
no_shrinkage,0.0,1,0.6062862019044328,13
hs,50.0,1,0.740698776431881,13
hs_entropy,25.0,1,0.7398231792929248,13
hs_log_cardinality,25.0,1,0.738616743915976,13
hs_permutation,50.0,1,0.7430291396355467,13
hs_global_permutation,50.0,1,0.7402954892417699,13
no_shrinkage,0.0,1,0.5911575283458415,14
hs,50.0,1,0.731342064469406,14
hs_entropy,25.0,1,0.7334387468392293,14
hs_log_cardinality,25.0,1,0.7336301636535284,14
hs_permutation,50.0,1,0.7337271573158642,14
hs_global_permutation,50.0,1,0.7354657328423284,14
no_shrinkage,0.0,1,0.6113117371535302,15
hs,100.0,1,0.7444213395720924,15
hs_entropy,25.0,1,0.746766956370861,15
hs_log_cardinality,25.0,1,0.7451539388342253,15
hs_permutation,50.0,1,0.7463864625604566,15
hs_global_permutation,50.0,1,0.7475238005978115,15
