shrink_mode,lambda,num_trees,R2,replication
no_shrinkage,0.0,1,0.7673798564845316,0
hs,0.0,1,0.7838639870419956,0
hs_entropy,0.1,1,0.7340626331595217,0
hs_log_cardinality,0.1,1,0.7312002377989464,0
hs_permutation,0.0,1,0.7034892050857987,0
hs_global_permutation,0.0,1,0.7411664846709224,0
no_shrinkage,0.0,1,0.24231879770898568,1
hs,0.0,1,0.28607078135548003,1
hs_entropy,0.1,1,0.2388274109481805,1
hs_log_cardinality,0.0,1,0.2022868247752757,1
hs_permutation,0.1,1,0.3043548746779562,1
hs_global_permutation,0.1,1,0.21325998690332726,1
no_shrinkage,0.0,1,0.7408034025996488,2
hs,10.0,1,0.6948342275032564,2
hs_entropy,1.0,1,0.7675048528287475,2
hs_log_cardinality,10.0,1,0.623098784648834,2
hs_permutation,0.0,1,0.7644173934597983,2
hs_global_permutation,0.0,1,0.7414412530855434,2
no_shrinkage,0.0,1,0.7848180395740169,3
hs,25.0,1,0.581790320970327,3
hs_entropy,10.0,1,0.5459074190280321,3
hs_log_cardinality,10.0,1,0.5779137583404379,3
hs_permutation,25.0,1,0.5296882229701924,3
hs_global_permutation,25.0,1,0.5650313545600401,3
no_shrinkage,0.0,1,0.35083079061634614,4
hs,0.0,1,0.3595274972885817,4
hs_entropy,1.0,1,0.5271333454921845,4
hs_log_cardinality,1.0,1,0.47093624334471373,4
hs_permutation,0.0,1,0.4648089181429621,4
hs_global_permutation,0.0,1,0.3842985518450801,4
no_shrinkage,0.0,1,0.6894200071494612,5
hs,0.0,1,0.5993109249983081,5
hs_entropy,1.0,1,0.7197902825806732,5
hs_log_cardinality,1.0,1,0.5983642773266014,5
hs_permutation,0.0,1,0.5249089145169241,5
hs_global_permutation,0.0,1,0.5277064671219307,5
no_shrinkage,0.0,1,0.6470530578799429,6
hs,1.0,1,0.7494171143382025,6
hs_entropy,1.0,1,0.7042075057873903,6
hs_log_cardinality,1.0,1,0.7315542829013643,6
hs_permutation,0.0,1,0.6459512501172794,6
hs_global_permutation,0.0,1,0.6995441699493046,6
no_shrinkage,0.0,1,0.5960565849342778,7
hs,1.0,1,0.6693276127615955,7
hs_entropy,10.0,1,0.6176900431560796,7
hs_log_cardinality,1.0,1,0.6428972474285753,7
hs_permutation,10.0,1,0.6541565866476562,7
hs_global_permutation,0.0,1,0.7313013515223901,7
no_shrinkage,0.0,1,0.6760024365306603,8
hs,1.0,1,0.7505180756174246,8
hs_entropy,1.0,1,0.7375031066513031,8
hs_log_cardinality,0.1,1,0.7241010347958001,8
hs_permutation,0.1,1,0.7725070737534867,8
hs_global_permutation,0.1,1,0.6085445201310999,8
no_shrinkage,0.0,1,0.7754767429118368,9
hs,1.0,1,0.6744671651865508,9
hs_entropy,1.0,1,0.7330866054878831,9
hs_log_cardinality,1.0,1,0.6281171834115864,9
hs_permutation,0.0,1,0.7614642095075563,9
hs_global_permutation,0.0,1,0.7745896711643921,9
no_shrinkage,0.0,1,0.7468885277328629,10
hs,10.0,1,0.6328162823564419,10
hs_entropy,1.0,1,0.7414990987441274,10
hs_log_cardinality,1.0,1,0.7079952273454245,10
hs_permutation,1.0,1,0.5329244189288234,10
hs_global_permutation,1.0,1,0.6483262305395004,10
no_shrinkage,0.0,1,0.6743536888831287,11
hs,10.0,1,0.6391796407603878,11
hs_entropy,1.0,1,0.6795177728688792,11
hs_log_cardinality,1.0,1,0.6401691443598706,11
hs_permutation,0.1,1,0.5284324568954006,11
hs_global_permutation,0.1,1,0.7333142143413423,11
no_shrinkage,0.0,1,0.7747008930866137,12
hs,10.0,1,0.6500777316497016,12
hs_entropy,1.0,1,0.728174654913843,12
hs_log_cardinality,1.0,1,0.7337622151086238,12
hs_permutation,0.0,1,0.7744041979410634,12
hs_global_permutation,0.1,1,0.7282845217458999,12
no_shrinkage,0.0,1,0.45119739645632295,13
hs,1.0,1,0.684613787147374,13
hs_entropy,1.0,1,0.5211019488671569,13
hs_log_cardinality,1.0,1,0.5333701526989032,13
hs_permutation,0.0,1,0.6400540534017582,13
hs_global_permutation,0.0,1,0.6909529781204933,13
no_shrinkage,0.0,1,0.7812065361195863,14
hs,1.0,1,0.7697524996006198,14
hs_entropy,1.0,1,0.7202229629085605,14
hs_log_cardinality,1.0,1,0.7377747099775055,14
hs_permutation,0.1,1,0.7557194957991191,14
hs_global_permutation,0.0,1,0.7050423539192863,14
no_shrinkage,0.0,1,0.5977331053505204,15
hs,10.0,1,0.46815408768578104,15
hs_entropy,1.0,1,0.5386830038471115,15
hs_log_cardinality,1.0,1,0.5695126848430891,15
hs_permutation,0.1,1,0.5430096625228218,15
hs_global_permutation,0.0,1,0.6125358365520035,15
