shrink_mode,lambda,num_trees,R2,replication
no_shrinkage,0.0,1,0.44630802112162615,0
hs,100.0,1,0.579107139708257,0
hs_entropy,25.0,1,0.5653246588018687,0
hs_log_cardinality,25.0,1,0.5557507281284497,0
hs_permutation,50.0,1,0.5803697710871016,0
hs_global_permutation,100.0,1,0.5644728589756246,0
no_shrinkage,0.0,1,0.45902407984146465,1
hs,50.0,1,0.6076825765389133,1
hs_entropy,10.0,1,0.5907056056763473,1
hs_log_cardinality,10.0,1,0.6017987364654473,1
hs_permutation,50.0,1,0.6157414779193657,1
hs_global_permutation,50.0,1,0.6096160817295613,1
no_shrinkage,0.0,1,0.31786433154099814,2
hs,50.0,1,0.5624308095255615,2
hs_entropy,10.0,1,0.5521770907817733,2
hs_log_cardinality,10.0,1,0.551090484509762,2
hs_permutation,50.0,1,0.5671464803708561,2
hs_global_permutation,50.0,1,0.5652400076539705,2
no_shrinkage,0.0,1,0.463053238406513,3
hs,50.0,1,0.6180540694953505,3
hs_entropy,10.0,1,0.6109590484630312,3
hs_log_cardinality,10.0,1,0.6120441846699761,3
hs_permutation,50.0,1,0.6198179088441564,3
hs_global_permutation,50.0,1,0.6169163112607317,3
no_shrinkage,0.0,1,0.5143694232904998,4
hs,50.0,1,0.6075335204412123,4
hs_entropy,10.0,1,0.6002289318344541,4
hs_log_cardinality,10.0,1,0.6022660013219505,4
hs_permutation,50.0,1,0.6102998958951633,4
hs_global_permutation,25.0,1,0.627950304386121,4
no_shrinkage,0.0,1,0.4046642549437989,5
hs,50.0,1,0.5890208604667208,5
hs_entropy,10.0,1,0.587070961911409,5
hs_log_cardinality,10.0,1,0.5722543498879002,5
hs_permutation,50.0,1,0.6001716874564993,5
hs_global_permutation,50.0,1,0.5935896663716025,5
no_shrinkage,0.0,1,0.38367904594322433,6
hs,100.0,1,0.6043687743523011,6
hs_entropy,10.0,1,0.6141244668408116,6
hs_log_cardinality,25.0,1,0.5873853298610124,6
hs_permutation,50.0,1,0.6129229841715056,6
hs_global_permutation,50.0,1,0.6157590130276429,6
no_shrinkage,0.0,1,0.30079111099386746,7
hs,50.0,1,0.5363066610828415,7
hs_entropy,10.0,1,0.5284306307788587,7
hs_log_cardinality,10.0,1,0.52268340568521,7
hs_permutation,25.0,1,0.5195038325004713,7
hs_global_permutation,25.0,1,0.5230018907445896,7
no_shrinkage,0.0,1,0.37384305203570967,8
hs,50.0,1,0.5674285431038752,8
hs_entropy,10.0,1,0.5546081508368389,8
hs_log_cardinality,10.0,1,0.555990334012032,8
hs_permutation,50.0,1,0.5705403152058138,8
hs_global_permutation,50.0,1,0.5701045876793577,8
no_shrinkage,0.0,1,0.5237257880971798,9
hs,50.0,1,0.6212926171363391,9
hs_entropy,10.0,1,0.6253406057363919,9
hs_log_cardinality,10.0,1,0.6129515130414357,9
hs_permutation,50.0,1,0.620179828880919,9
hs_global_permutation,50.0,1,0.6189187708203701,9
no_shrinkage,0.0,1,0.44122137505362435,10
hs,50.0,1,0.5955606408692617,10
hs_entropy,10.0,1,0.5849576584400549,10
hs_log_cardinality,10.0,1,0.5874484523270936,10
hs_permutation,50.0,1,0.5935388408205211,10
hs_global_permutation,50.0,1,0.5985971595308333,10
no_shrinkage,0.0,1,0.1617023413349269,11
hs,50.0,1,0.5469390749981253,11
hs_entropy,10.0,1,0.5451311711447148,11
hs_log_cardinality,10.0,1,0.5369230353558635,11
hs_permutation,50.0,1,0.5965253895747917,11
hs_global_permutation,25.0,1,0.5391852288845029,11
no_shrinkage,0.0,1,0.4127355482131605,12
hs,50.0,1,0.5479135890009432,12
hs_entropy,10.0,1,0.5332920344202745,12
hs_log_cardinality,10.0,1,0.5352611372730385,12
hs_permutation,25.0,1,0.5485450080029002,12
hs_global_permutation,25.0,1,0.53711434455308,12
no_shrinkage,0.0,1,0.3849896655577545,13
hs,50.0,1,0.6078501171030737,13
hs_entropy,10.0,1,0.6006603054534366,13
hs_log_cardinality,10.0,1,0.6062450513341731,13
hs_permutation,50.0,1,0.5957979800423238,13
hs_global_permutation,50.0,1,0.6001493397506628,13
no_shrinkage,0.0,1,0.31523962868671307,14
hs,50.0,1,0.5589575817260725,14
hs_entropy,10.0,1,0.5632917745588994,14
hs_log_cardinality,10.0,1,0.5798851306369674,14
hs_permutation,50.0,1,0.5634766009843669,14
hs_global_permutation,50.0,1,0.5618788511559194,14
no_shrinkage,0.0,1,0.37100465962431994,15
hs,100.0,1,0.5741336711974112,15
hs_entropy,10.0,1,0.5494860671978814,15
hs_log_cardinality,25.0,1,0.5619041423280902,15
hs_permutation,50.0,1,0.5836637060021929,15
hs_global_permutation,50.0,1,0.5803654240471698,15
