shrink_mode,lambda,num_trees,R2,replication
no_shrinkage,0.0,1,0.7592466818652547,0
hs,50.0,1,0.8232703843507795,0
hs_entropy,10.0,1,0.823445846956685,0
hs_log_cardinality,10.0,1,0.815225230073215,0
hs_permutation,25.0,1,0.8218065779862229,0
hs_global_permutation,25.0,1,0.8171666599528783,0
no_shrinkage,0.0,1,0.8040558133406317,1
hs,50.0,1,0.8523331223864283,1
hs_entropy,25.0,1,0.8502607880382226,1
hs_log_cardinality,10.0,1,0.8519125194570255,1
hs_permutation,25.0,1,0.8519540656591233,1
hs_global_permutation,50.0,1,0.8498204715357015,1
no_shrinkage,0.0,1,0.786247519297065,2
hs,50.0,1,0.8629827000336552,2
hs_entropy,25.0,1,0.8600742656780385,2
hs_log_cardinality,25.0,1,0.8600067128871941,2
hs_permutation,50.0,1,0.8604822215896752,2
hs_global_permutation,50.0,1,0.8585610189885098,2
no_shrinkage,0.0,1,0.789586166699048,3
hs,25.0,1,0.8455172426426381,3
hs_entropy,10.0,1,0.8387473949390445,3
hs_log_cardinality,10.0,1,0.8395880359645989,3
hs_permutation,25.0,1,0.8407620697180107,3
hs_global_permutation,25.0,1,0.8437215791031807,3
no_shrinkage,0.0,1,0.764778722323812,4
hs,50.0,1,0.8242939215864012,4
hs_entropy,25.0,1,0.8200726193125312,4
hs_log_cardinality,25.0,1,0.8242883101450812,4
hs_permutation,50.0,1,0.8192787118875796,4
hs_global_permutation,50.0,1,0.8177619094723473,4
no_shrinkage,0.0,1,0.7887538706866524,5
hs,50.0,1,0.842331589645218,5
hs_entropy,25.0,1,0.8359102405912322,5
hs_log_cardinality,25.0,1,0.8384549708498205,5
hs_permutation,50.0,1,0.8408491833866878,5
hs_global_permutation,50.0,1,0.8403634931077648,5
no_shrinkage,0.0,1,0.7599443320433855,6
hs,50.0,1,0.8415801381060991,6
hs_entropy,25.0,1,0.8370466026342828,6
hs_log_cardinality,10.0,1,0.8375421926042651,6
hs_permutation,25.0,1,0.8403082720098016,6
hs_global_permutation,25.0,1,0.8461322908061072,6
no_shrinkage,0.0,1,0.7777311903261527,7
hs,50.0,1,0.845311468991411,7
hs_entropy,25.0,1,0.843388723855544,7
hs_log_cardinality,25.0,1,0.8443846902787656,7
hs_permutation,50.0,1,0.843889473175973,7
hs_global_permutation,50.0,1,0.8486484097563235,7
no_shrinkage,0.0,1,0.7575118551316732,8
hs,50.0,1,0.835525209517894,8
hs_entropy,25.0,1,0.8337238185521803,8
hs_log_cardinality,25.0,1,0.8343146489696276,8
hs_permutation,50.0,1,0.8350508280127477,8
hs_global_permutation,50.0,1,0.8335061697521524,8
no_shrinkage,0.0,1,0.7768660016595303,9
hs,50.0,1,0.8224339001054274,9
hs_entropy,25.0,1,0.8272452241813676,9
hs_log_cardinality,25.0,1,0.8250187582696544,9
hs_permutation,50.0,1,0.8286889393184099,9
hs_global_permutation,50.0,1,0.8259203886086246,9
no_shrinkage,0.0,1,0.7710856556977875,10
hs,50.0,1,0.8390077238804703,10
hs_entropy,25.0,1,0.8377597954087337,10
hs_log_cardinality,10.0,1,0.8376438313890152,10
hs_permutation,25.0,1,0.845665268204831,10
hs_global_permutation,25.0,1,0.8441393349939046,10
no_shrinkage,0.0,1,0.7619810566574673,11
hs,50.0,1,0.8307947817696046,11
hs_entropy,25.0,1,0.8300698368810647,11
hs_log_cardinality,10.0,1,0.8306403563954896,11
hs_permutation,50.0,1,0.8329204221881334,11
hs_global_permutation,50.0,1,0.8318128833772663,11
no_shrinkage,0.0,1,0.7543918176608206,12
hs,50.0,1,0.8248510985357772,12
hs_entropy,25.0,1,0.8256495359140514,12
hs_log_cardinality,25.0,1,0.8226368562364681,12
hs_permutation,50.0,1,0.8234006493709206,12
hs_global_permutation,50.0,1,0.8225591532954818,12
no_shrinkage,0.0,1,0.7742293070441597,13
hs,25.0,1,0.8377651245820394,13
hs_entropy,10.0,1,0.8370545660927641,13
hs_log_cardinality,10.0,1,0.8349696157748403,13
hs_permutation,25.0,1,0.8360410969807415,13
hs_global_permutation,25.0,1,0.832165866122366,13
no_shrinkage,0.0,1,0.7329447160428306,14
hs,25.0,1,0.8001648049267616,14
hs_entropy,10.0,1,0.8022702870581421,14
hs_log_cardinality,10.0,1,0.804697126805737,14
hs_permutation,25.0,1,0.8039782686567688,14
hs_global_permutation,25.0,1,0.8066935196468445,14
no_shrinkage,0.0,1,0.7684148642653742,15
hs,50.0,1,0.8283779745616435,15
hs_entropy,25.0,1,0.8262167166546931,15
hs_log_cardinality,25.0,1,0.8260378564952584,15
hs_permutation,50.0,1,0.8235658279289981,15
hs_global_permutation,50.0,1,0.8189458063592862,15
