replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.49375
0,hs,0.1,0.49375
0,hs,1.0,0.49375
0,hs,10.0,0.4625
0,hs,25.0,0.53125
0,hs,50.0,0.5812499999999999
0,hs,100.0,0.5625
0,hs_entropy,0.0,0.49375
0,hs_entropy,0.1,0.49375
0,hs_entropy,1.0,0.49375
0,hs_entropy,10.0,0.4625
0,hs_entropy,25.0,0.525
0,hs_entropy,50.0,0.55
0,hs_entropy,100.0,0.53125
0,hs_log_cardinality,0.0,0.49375
0,hs_log_cardinality,0.1,0.49375
0,hs_log_cardinality,1.0,0.49375
0,hs_log_cardinality,10.0,0.49375
0,hs_log_cardinality,25.0,0.525
0,hs_log_cardinality,50.0,0.5625
0,hs_log_cardinality,100.0,0.53125
0,hs_permutation,0.0,0.49375
0,hs_permutation,0.1,0.46875
0,hs_permutation,1.0,0.53125
0,hs_permutation,10.0,0.55625
0,hs_permutation,25.0,0.6125
0,hs_permutation,50.0,0.625
0,hs_permutation,100.0,0.53125
0,hs_global_permutation,0.0,0.49375
0,hs_global_permutation,0.1,0.48125
0,hs_global_permutation,1.0,0.48125
0,hs_global_permutation,10.0,0.575
0,hs_global_permutation,25.0,0.6
0,hs_global_permutation,50.0,0.59375
0,hs_global_permutation,100.0,0.5625
1,hs,0.0,0.6500000000000001
1,hs,0.1,0.6500000000000001
1,hs,1.0,0.6500000000000001
1,hs,10.0,0.6500000000000001
1,hs,25.0,0.6624999999999999
1,hs,50.0,0.6062500000000001
1,hs,100.0,0.63125
1,hs_entropy,0.0,0.6500000000000001
1,hs_entropy,0.1,0.6500000000000001
1,hs_entropy,1.0,0.6500000000000001
1,hs_entropy,10.0,0.68125
1,hs_entropy,25.0,0.6624999999999999
1,hs_entropy,50.0,0.65
1,hs_entropy,100.0,0.63125
1,hs_log_cardinality,0.0,0.6500000000000001
1,hs_log_cardinality,0.1,0.6500000000000001
1,hs_log_cardinality,1.0,0.6500000000000001
1,hs_log_cardinality,10.0,0.6500000000000001
1,hs_log_cardinality,25.0,0.69375
1,hs_log_cardinality,50.0,0.65
1,hs_log_cardinality,100.0,0.61875
1,hs_permutation,0.0,0.6500000000000001
1,hs_permutation,0.1,0.69375
1,hs_permutation,1.0,0.6875
1,hs_permutation,10.0,0.625
1,hs_permutation,25.0,0.65
1,hs_permutation,50.0,0.63125
1,hs_permutation,100.0,0.63125
1,hs_global_permutation,0.0,0.6500000000000001
1,hs_global_permutation,0.1,0.70625
1,hs_global_permutation,1.0,0.70625
