replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.6142857142857143
0,hs,0.1,0.6142857142857143
0,hs,1.0,0.6142857142857143
0,hs,10.0,0.6333333333333334
0,hs,25.0,0.6619047619047619
0,hs,50.0,0.6714285714285714
0,hs,100.0,0.6726190476190477
0,hs_entropy,0.0,0.6142857142857143
0,hs_entropy,0.1,0.6142857142857143
0,hs_entropy,1.0,0.6142857142857143
0,hs_entropy,10.0,0.6369047619047619
0,hs_entropy,25.0,0.6583333333333333
0,hs_entropy,50.0,0.657142857142857
0,hs_entropy,100.0,0.625
0,hs_log_cardinality,0.0,0.6142857142857143
0,hs_log_cardinality,0.1,0.6142857142857143
0,hs_log_cardinality,1.0,0.6142857142857143
0,hs_log_cardinality,10.0,0.6404761904761904
0,hs_log_cardinality,25.0,0.6499999999999999
0,hs_log_cardinality,50.0,0.6297619047619047
0,hs_log_cardinality,100.0,0.6178571428571429
0,hs_permutation,0.0,0.6142857142857143
0,hs_permutation,0.1,0.6226190476190476
0,hs_permutation,1.0,0.6226190476190476
0,hs_permutation,10.0,0.6476190476190476
0,hs_permutation,25.0,0.6583333333333333
0,hs_permutation,50.0,0.6666666666666667
0,hs_permutation,100.0,0.6773809523809524
0,hs_global_permutation,0.0,0.6142857142857143
0,hs_global_permutation,0.1,0.6273809523809524
0,hs_global_permutation,1.0,0.6273809523809524
0,hs_global_permutation,10.0,0.6476190476190476
0,hs_global_permutation,25.0,0.6571428571428571
0,hs_global_permutation,50.0,0.6619047619047618
0,hs_global_permutation,100.0,0.6714285714285715
1,hs,0.0,0.5619047619047619
1,hs,0.1,0.5619047619047619
1,hs,1.0,0.5619047619047619
1,hs,10.0,0.5654761904761905
1,hs,25.0,0.5833333333333334
1,hs,50.0,0.5761904761904761
1,hs,100.0,0.5857142857142857
1,hs_entropy,0.0,0.5619047619047619
1,hs_entropy,0.1,0.5619047619047619
1,hs_entropy,1.0,0.5619047619047619
1,hs_entropy,10.0,0.5773809523809523
1,hs_entropy,25.0,0.5761904761904761
1,hs_entropy,50.0,0.5702380952380952
1,hs_entropy,100.0,0.5773809523809523
1,hs_log_cardinality,0.0,0.5619047619047619
1,hs_log_cardinality,0.1,0.5619047619047619
1,hs_log_cardinality,1.0,0.5619047619047619
1,hs_log_cardinality,10.0,0.5821428571428571
1,hs_log_cardinality,25.0,0.5797619047619048
1,hs_log_cardinality,50.0,0.5785714285714286
1,hs_log_cardinality,100.0,0.5773809523809523
1,hs_permutation,0.0,0.5619047619047619
1,hs_permutation,0.1,0.5928571428571429
1,hs_permutation,1.0,0.5964285714285714
1,hs_permutation,10.0,0.5964285714285713
1,hs_permutation,25.0,0.5880952380952382
1,hs_permutation,50.0,0.5952380952380953
1,hs_permutation,100.0,0.6023809523809525
1,hs_global_permutation,0.0,0.5619047619047619
1,hs_global_permutation,0.1,0.575
1,hs_global_permutation,1.0,0.5785714285714285
1,hs_global_permutation,10.0,0.5809523809523809
1,hs_global_permutation,25.0,0.5845238095238097
1,hs_global_permutation,50.0,0.5845238095238097
1,hs_global_permutation,100.0,0.5738095238095238
2,hs,0.0,0.6738095238095237
2,hs,0.1,0.6738095238095237
2,hs,1.0,0.6738095238095237
2,hs,10.0,0.669047619047619
2,hs,25.0,0.6785714285714286
2,hs,50.0,0.7011904761904761
2,hs,100.0,0.6749999999999999
2,hs_entropy,0.0,0.6738095238095237
2,hs_entropy,0.1,0.6738095238095237
2,hs_entropy,1.0,0.6738095238095237
2,hs_entropy,10.0,0.6726190476190476
2,hs_entropy,25.0,0.7023809523809523
2,hs_entropy,50.0,0.7059523809523809
2,hs_entropy,100.0,0.7107142857142856
2,hs_log_cardinality,0.0,0.6738095238095237
2,hs_log_cardinality,0.1,0.6738095238095237
2,hs_log_cardinality,1.0,0.6738095238095237
2,hs_log_cardinality,10.0,0.6642857142857143
2,hs_log_cardinality,25.0,0.7023809523809523
2,hs_log_cardinality,50.0,0.7154761904761905
2,hs_log_cardinality,100.0,0.7119047619047618
2,hs_permutation,0.0,0.6738095238095237
2,hs_permutation,0.1,0.6607142857142857
2,hs_permutation,1.0,0.6607142857142857
2,hs_permutation,10.0,0.6845238095238094
2,hs_permutation,25.0,0.7047619047619047
2,hs_permutation,50.0,0.6976190476190476
2,hs_permutation,100.0,0.6845238095238095
2,hs_global_permutation,0.0,0.6738095238095237
2,hs_global_permutation,0.1,0.6821428571428572
2,hs_global_permutation,1.0,0.6773809523809523
2,hs_global_permutation,10.0,0.6928571428571428
2,hs_global_permutation,25.0,0.6952380952380952
2,hs_global_permutation,50.0,0.6952380952380952
2,hs_global_permutation,100.0,0.7071428571428571
3,hs,0.0,0.6273809523809524
3,hs,0.1,0.6273809523809524
3,hs,1.0,0.6273809523809524
3,hs,10.0,0.6261904761904762
3,hs,25.0,0.6511904761904761
3,hs,50.0,0.6369047619047619
3,hs,100.0,0.65
3,hs_entropy,0.0,0.6273809523809524
3,hs_entropy,0.1,0.6273809523809524
3,hs_entropy,1.0,0.6273809523809524
3,hs_entropy,10.0,0.6214285714285714
3,hs_entropy,25.0,0.6630952380952381
3,hs_entropy,50.0,0.6428571428571428
3,hs_entropy,100.0,0.6321428571428571
3,hs_log_cardinality,0.0,0.6273809523809524
3,hs_log_cardinality,0.1,0.6273809523809524
3,hs_log_cardinality,1.0,0.6273809523809524
3,hs_log_cardinality,10.0,0.6130952380952381
3,hs_log_cardinality,25.0,0.6452380952380952
3,hs_log_cardinality,50.0,0.6595238095238095
3,hs_log_cardinality,100.0,0.6321428571428571
3,hs_permutation,0.0,0.6273809523809524
3,hs_permutation,0.1,0.6226190476190476
3,hs_permutation,1.0,0.6309523809523809
3,hs_permutation,10.0,0.6523809523809523
3,hs_permutation,25.0,0.644047619047619
3,hs_permutation,50.0,0.6488095238095238
3,hs_permutation,100.0,0.6321428571428571
3,hs_global_permutation,0.0,0.6273809523809524
3,hs_global_permutation,0.1,0.6238095238095237
3,hs_global_permutation,1.0,0.6321428571428571
3,hs_global_permutation,10.0,0.6416666666666666
3,hs_global_permutation,25.0,0.6619047619047619
3,hs_global_permutation,50.0,0.6821428571428572
3,hs_global_permutation,100.0,0.657142857142857
4,hs,0.0,0.6035714285714285
4,hs,0.1,0.6035714285714285
4,hs,1.0,0.6035714285714285
4,hs,10.0,0.6345238095238095
4,hs,25.0,0.6321428571428571
4,hs,50.0,0.6499999999999999
4,hs,100.0,0.6678571428571428
4,hs_entropy,0.0,0.6035714285714285
4,hs_entropy,0.1,0.6035714285714285
4,hs_entropy,1.0,0.6035714285714285
4,hs_entropy,10.0,0.6214285714285713
4,hs_entropy,25.0,0.6226190476190476
4,hs_entropy,50.0,0.638095238095238
4,hs_entropy,100.0,0.6535714285714285
4,hs_log_cardinality,0.0,0.6035714285714285
4,hs_log_cardinality,0.1,0.6035714285714285
4,hs_log_cardinality,1.0,0.6035714285714285
4,hs_log_cardinality,10.0,0.6214285714285713
4,hs_log_cardinality,25.0,0.6190476190476191
4,hs_log_cardinality,50.0,0.6261904761904762
4,hs_log_cardinality,100.0,0.6392857142857142
4,hs_permutation,0.0,0.6035714285714285
4,hs_permutation,0.1,0.6226190476190476
4,hs_permutation,1.0,0.6142857142857143
4,hs_permutation,10.0,0.6142857142857143
4,hs_permutation,25.0,0.6261904761904762
4,hs_permutation,50.0,0.6511904761904763
4,hs_permutation,100.0,0.680952380952381
4,hs_global_permutation,0.0,0.6035714285714285
4,hs_global_permutation,0.1,0.6369047619047619
4,hs_global_permutation,1.0,0.6333333333333334
4,hs_global_permutation,10.0,0.644047619047619
4,hs_global_permutation,25.0,0.6511904761904763
4,hs_global_permutation,50.0,0.6571428571428571
4,hs_global_permutation,100.0,0.6845238095238095
5,hs,0.0,0.6476190476190475
5,hs,0.1,0.6476190476190475
5,hs,1.0,0.6476190476190475
5,hs,10.0,0.6547619047619047
5,hs,25.0,0.6797619047619048
5,hs,50.0,0.7047619047619047
5,hs,100.0,0.6904761904761905
5,hs_entropy,0.0,0.6476190476190475
5,hs_entropy,0.1,0.6476190476190475
5,hs_entropy,1.0,0.6476190476190475
5,hs_entropy,10.0,0.675
5,hs_entropy,25.0,0.6904761904761905
5,hs_entropy,50.0,0.6833333333333333
5,hs_entropy,100.0,0.6726190476190477
5,hs_log_cardinality,0.0,0.6476190476190475
5,hs_log_cardinality,0.1,0.6476190476190475
5,hs_log_cardinality,1.0,0.6476190476190475
5,hs_log_cardinality,10.0,0.675
5,hs_log_cardinality,25.0,0.6988095238095239
5,hs_log_cardinality,50.0,0.6595238095238095
5,hs_log_cardinality,100.0,0.6523809523809523
5,hs_permutation,0.0,0.6476190476190475
5,hs_permutation,0.1,0.638095238095238
5,hs_permutation,1.0,0.638095238095238
5,hs_permutation,10.0,0.6595238095238095
5,hs_permutation,25.0,0.6678571428571429
5,hs_permutation,50.0,0.6880952380952381
5,hs_permutation,100.0,0.6845238095238095
5,hs_global_permutation,0.0,0.6476190476190475
5,hs_global_permutation,0.1,0.6535714285714286
5,hs_global_permutation,1.0,0.6535714285714286
5,hs_global_permutation,10.0,0.6761904761904762
5,hs_global_permutation,25.0,0.6738095238095239
5,hs_global_permutation,50.0,0.6821428571428572
5,hs_global_permutation,100.0,0.6761904761904762
6,hs,0.0,0.611904761904762
6,hs,0.1,0.611904761904762
6,hs,1.0,0.611904761904762
6,hs,10.0,0.6202380952380953
6,hs,25.0,0.6369047619047619
6,hs,50.0,0.644047619047619
6,hs,100.0,0.6607142857142857
6,hs_entropy,0.0,0.611904761904762
6,hs_entropy,0.1,0.611904761904762
6,hs_entropy,1.0,0.611904761904762
6,hs_entropy,10.0,0.6202380952380953
6,hs_entropy,25.0,0.6154761904761905
6,hs_entropy,50.0,0.657142857142857
6,hs_entropy,100.0,0.5761904761904761
6,hs_log_cardinality,0.0,0.611904761904762
6,hs_log_cardinality,0.1,0.611904761904762
6,hs_log_cardinality,1.0,0.611904761904762
6,hs_log_cardinality,10.0,0.6202380952380953
6,hs_log_cardinality,25.0,0.6154761904761905
6,hs_log_cardinality,50.0,0.65
6,hs_log_cardinality,100.0,0.5833333333333333
6,hs_permutation,0.0,0.611904761904762
6,hs_permutation,0.1,0.6154761904761905
6,hs_permutation,1.0,0.6154761904761905
6,hs_permutation,10.0,0.6345238095238095
6,hs_permutation,25.0,0.6880952380952381
6,hs_permutation,50.0,0.6833333333333333
6,hs_permutation,100.0,0.6309523809523809
6,hs_global_permutation,0.0,0.611904761904762
6,hs_global_permutation,0.1,0.6166666666666667
6,hs_global_permutation,1.0,0.6285714285714286
6,hs_global_permutation,10.0,0.6202380952380953
6,hs_global_permutation,25.0,0.6523809523809524
6,hs_global_permutation,50.0,0.6654761904761903
6,hs_global_permutation,100.0,0.680952380952381
7,hs,0.0,0.6357142857142857
7,hs,0.1,0.6357142857142857
7,hs,1.0,0.6357142857142857
7,hs,10.0,0.6392857142857142
7,hs,25.0,0.6642857142857144
7,hs,50.0,0.6452380952380952
7,hs,100.0,0.6464285714285714
7,hs_entropy,0.0,0.6357142857142857
7,hs_entropy,0.1,0.6357142857142857
7,hs_entropy,1.0,0.6357142857142857
7,hs_entropy,10.0,0.6333333333333334
7,hs_entropy,25.0,0.6511904761904763
7,hs_entropy,50.0,0.6749999999999999
7,hs_entropy,100.0,0.6595238095238095
7,hs_log_cardinality,0.0,0.6357142857142857
7,hs_log_cardinality,0.1,0.6357142857142857
7,hs_log_cardinality,1.0,0.6357142857142857
7,hs_log_cardinality,10.0,0.6464285714285714
7,hs_log_cardinality,25.0,0.6392857142857143
7,hs_log_cardinality,50.0,0.6749999999999999
7,hs_log_cardinality,100.0,0.6392857142857142
7,hs_permutation,0.0,0.6357142857142857
7,hs_permutation,0.1,0.6416666666666666
7,hs_permutation,1.0,0.6488095238095238
7,hs_permutation,10.0,0.644047619047619
7,hs_permutation,25.0,0.6333333333333333
7,hs_permutation,50.0,0.5976190476190476
7,hs_permutation,100.0,0.6226190476190476
7,hs_global_permutation,0.0,0.6357142857142857
7,hs_global_permutation,0.1,0.6452380952380952
7,hs_global_permutation,1.0,0.6452380952380952
7,hs_global_permutation,10.0,0.6214285714285714
7,hs_global_permutation,25.0,0.6499999999999999
7,hs_global_permutation,50.0,0.6261904761904762
7,hs_global_permutation,100.0,0.6428571428571428
8,hs,0.0,0.6345238095238095
8,hs,0.1,0.6345238095238095
8,hs,1.0,0.6345238095238095
8,hs,10.0,0.6345238095238095
8,hs,25.0,0.6369047619047619
8,hs,50.0,0.611904761904762
8,hs,100.0,0.5821428571428572
8,hs_entropy,0.0,0.6345238095238095
8,hs_entropy,0.1,0.6345238095238095
8,hs_entropy,1.0,0.6345238095238095
8,hs_entropy,10.0,0.6416666666666666
8,hs_entropy,25.0,0.6595238095238095
8,hs_entropy,50.0,0.6583333333333332
8,hs_entropy,100.0,0.6154761904761905
8,hs_log_cardinality,0.0,0.6345238095238095
8,hs_log_cardinality,0.1,0.6345238095238095
8,hs_log_cardinality,1.0,0.6345238095238095
8,hs_log_cardinality,10.0,0.6369047619047619
8,hs_log_cardinality,25.0,0.6571428571428571
8,hs_log_cardinality,50.0,0.6749999999999999
8,hs_log_cardinality,100.0,0.6142857142857143
8,hs_permutation,0.0,0.6345238095238095
8,hs_permutation,0.1,0.6345238095238095
8,hs_permutation,1.0,0.6345238095238095
8,hs_permutation,10.0,0.6535714285714286
8,hs_permutation,25.0,0.6702380952380952
8,hs_permutation,50.0,0.6392857142857142
8,hs_permutation,100.0,0.6392857142857142
8,hs_global_permutation,0.0,0.6345238095238095
8,hs_global_permutation,0.1,0.6369047619047619
8,hs_global_permutation,1.0,0.6285714285714286
8,hs_global_permutation,10.0,0.6416666666666666
8,hs_global_permutation,25.0,0.6392857142857143
8,hs_global_permutation,50.0,0.6357142857142857
8,hs_global_permutation,100.0,0.6047619047619048
9,hs,0.0,0.6011904761904762
9,hs,0.1,0.6011904761904762
9,hs,1.0,0.6011904761904762
9,hs,10.0,0.6047619047619047
9,hs,25.0,0.611904761904762
9,hs,50.0,0.6428571428571428
9,hs,100.0,0.6000000000000001
9,hs_entropy,0.0,0.6011904761904762
9,hs_entropy,0.1,0.6011904761904762
9,hs_entropy,1.0,0.6011904761904762
9,hs_entropy,10.0,0.6095238095238096
9,hs_entropy,25.0,0.6202380952380953
9,hs_entropy,50.0,0.6226190476190476
9,hs_entropy,100.0,0.6261904761904762
