replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.5353260869565217
0,hs,0.1,0.5353260869565217
0,hs,1.0,0.5353260869565217
0,hs,10.0,0.5040760869565217
0,hs,25.0,0.5584239130434783
0,hs,50.0,0.5692934782608696
0,hs,100.0,0.5801630434782609
0,hs_entropy,0.0,0.5353260869565217
0,hs_entropy,0.1,0.5353260869565217
0,hs_entropy,1.0,0.5353260869565217
0,hs_entropy,10.0,0.5258152173913043
0,hs_entropy,25.0,0.5584239130434783
0,hs_entropy,50.0,0.5489130434782609
0,hs_entropy,100.0,0.5597826086956521
0,hs_log_cardinality,0.0,0.5353260869565217
0,hs_log_cardinality,0.1,0.5353260869565217
0,hs_log_cardinality,1.0,0.5353260869565217
0,hs_log_cardinality,10.0,0.5258152173913043
0,hs_log_cardinality,25.0,0.5271739130434783
0,hs_log_cardinality,50.0,0.5489130434782609
0,hs_log_cardinality,100.0,0.5
0,hs_permutation,0.0,0.5353260869565217
0,hs_permutation,0.1,0.5584239130434783
0,hs_permutation,1.0,0.5584239130434783
0,hs_permutation,10.0,0.5788043478260869
0,hs_permutation,25.0,0.5584239130434783
0,hs_permutation,50.0,0.5584239130434783
0,hs_permutation,100.0,0.5584239130434783
0,hs_global_permutation,0.0,0.5353260869565217
0,hs_global_permutation,0.1,0.5570652173913043
0,hs_global_permutation,1.0,0.5883152173913043
0,hs_global_permutation,10.0,0.5258152173913043
0,hs_global_permutation,25.0,0.5584239130434783
0,hs_global_permutation,50.0,0.5584239130434783
0,hs_global_permutation,100.0,0.5584239130434783
1,hs,0.0,0.5217391304347826
1,hs,0.1,0.5543478260869565
1,hs,1.0,0.5543478260869565
1,hs,10.0,0.6086956521739131
1,hs,25.0,0.485054347826087
1,hs,50.0,0.5176630434782609
1,hs,100.0,0.5190217391304348
1,hs_entropy,0.0,0.5217391304347826
1,hs_entropy,0.1,0.5652173913043479
1,hs_entropy,1.0,0.5652173913043479
1,hs_entropy,10.0,0.5665760869565217
1,hs_entropy,25.0,0.5176630434782609
1,hs_entropy,50.0,0.5190217391304348
1,hs_entropy,100.0,0.5
1,hs_log_cardinality,0.0,0.5217391304347826
1,hs_log_cardinality,0.1,0.5652173913043479
1,hs_log_cardinality,1.0,0.5652173913043479
1,hs_log_cardinality,10.0,0.5665760869565217
1,hs_log_cardinality,25.0,0.5176630434782609
1,hs_log_cardinality,50.0,0.5298913043478262
1,hs_log_cardinality,100.0,0.5
1,hs_permutation,0.0,0.5217391304347826
1,hs_permutation,0.1,0.5258152173913043
1,hs_permutation,1.0,0.5258152173913043
1,hs_permutation,10.0,0.6100543478260869
1,hs_permutation,25.0,0.6317934782608696
1,hs_permutation,50.0,0.6535326086956521
1,hs_permutation,100.0,0.5
1,hs_global_permutation,0.0,0.5217391304347826
1,hs_global_permutation,0.1,0.46059782608695654
1,hs_global_permutation,1.0,0.4307065217391304
1,hs_global_permutation,10.0,0.6317934782608696
1,hs_global_permutation,25.0,0.6317934782608696
1,hs_global_permutation,50.0,0.6426630434782609
1,hs_global_permutation,100.0,0.5
2,hs,0.0,0.6086956521739131
2,hs,0.1,0.6086956521739131
2,hs,1.0,0.6086956521739131
2,hs,10.0,0.6413043478260869
2,hs,25.0,0.6426630434782609
2,hs,50.0,0.6331521739130435
2,hs,100.0,0.6127717391304348
2,hs_entropy,0.0,0.6086956521739131
2,hs_entropy,0.1,0.6086956521739131
2,hs_entropy,1.0,0.6086956521739131
2,hs_entropy,10.0,0.5991847826086957
2,hs_entropy,25.0,0.6331521739130435
2,hs_entropy,50.0,0.6127717391304348
2,hs_entropy,100.0,0.5
2,hs_log_cardinality,0.0,0.6086956521739131
2,hs_log_cardinality,0.1,0.6086956521739131
2,hs_log_cardinality,1.0,0.6086956521739131
2,hs_log_cardinality,10.0,0.5991847826086957
2,hs_log_cardinality,25.0,0.6331521739130435
2,hs_log_cardinality,50.0,0.5611413043478262
2,hs_log_cardinality,100.0,0.5
2,hs_permutation,0.0,0.6086956521739131
2,hs_permutation,0.1,0.7038043478260869
2,hs_permutation,1.0,0.6834239130434783
2,hs_permutation,10.0,0.6331521739130435
2,hs_permutation,25.0,0.6331521739130435
2,hs_permutation,50.0,0.6236413043478262
2,hs_permutation,100.0,0.4891304347826087
2,hs_global_permutation,0.0,0.6086956521739131
2,hs_global_permutation,0.1,0.6413043478260869
2,hs_global_permutation,1.0,0.6413043478260869
2,hs_global_permutation,10.0,0.6426630434782609
2,hs_global_permutation,25.0,0.6331521739130435
2,hs_global_permutation,50.0,0.5815217391304348
2,hs_global_permutation,100.0,0.5203804347826088
3,hs,0.0,0.6413043478260869
3,hs,0.1,0.5584239130434783
3,hs,1.0,0.5584239130434783
3,hs,10.0,0.5489130434782609
3,hs,25.0,0.5285326086956521
3,hs,50.0,0.5081521739130435
3,hs,100.0,0.5298913043478262
3,hs_entropy,0.0,0.6413043478260869
3,hs_entropy,0.1,0.5584239130434783
3,hs_entropy,1.0,0.5584239130434783
3,hs_entropy,10.0,0.5176630434782609
3,hs_entropy,25.0,0.5081521739130435
3,hs_entropy,50.0,0.5298913043478262
3,hs_entropy,100.0,0.5
3,hs_log_cardinality,0.0,0.6413043478260869
3,hs_log_cardinality,0.1,0.5584239130434783
3,hs_log_cardinality,1.0,0.5584239130434783
3,hs_log_cardinality,10.0,0.5176630434782609
3,hs_log_cardinality,25.0,0.5081521739130435
3,hs_log_cardinality,50.0,0.5298913043478262
3,hs_log_cardinality,100.0,0.5
3,hs_permutation,0.0,0.6413043478260869
3,hs_permutation,0.1,0.5692934782608696
3,hs_permutation,1.0,0.5692934782608696
3,hs_permutation,10.0,0.5801630434782609
3,hs_permutation,25.0,0.47690217391304346
3,hs_permutation,50.0,0.5095108695652174
3,hs_permutation,100.0,0.5203804347826088
3,hs_global_permutation,0.0,0.6413043478260869
3,hs_global_permutation,0.1,0.5801630434782609
3,hs_global_permutation,1.0,0.5801630434782609
3,hs_global_permutation,10.0,0.5190217391304348
3,hs_global_permutation,25.0,0.5190217391304348
3,hs_global_permutation,50.0,0.48777173913043476
3,hs_global_permutation,100.0,0.5203804347826088
4,hs,0.0,0.485054347826087
4,hs,0.1,0.485054347826087
4,hs,1.0,0.485054347826087
4,hs,10.0,0.5285326086956521
4,hs,25.0,0.5394021739130435
4,hs,50.0,0.5611413043478262
4,hs,100.0,0.5720108695652174
4,hs_entropy,0.0,0.485054347826087
4,hs_entropy,0.1,0.485054347826087
4,hs_entropy,1.0,0.485054347826087
4,hs_entropy,10.0,0.5502717391304348
4,hs_entropy,25.0,0.5828804347826086
4,hs_entropy,50.0,0.59375
4,hs_entropy,100.0,0.5
4,hs_log_cardinality,0.0,0.485054347826087
4,hs_log_cardinality,0.1,0.485054347826087
4,hs_log_cardinality,1.0,0.485054347826087
4,hs_log_cardinality,10.0,0.5067934782608696
4,hs_log_cardinality,25.0,0.5828804347826086
4,hs_log_cardinality,50.0,0.5
4,hs_log_cardinality,100.0,0.5
4,hs_permutation,0.0,0.485054347826087
4,hs_permutation,0.1,0.43342391304347827
4,hs_permutation,1.0,0.43342391304347827
4,hs_permutation,10.0,0.4673913043478261
4,hs_permutation,25.0,0.4673913043478261
4,hs_permutation,50.0,0.4782608695652174
4,hs_permutation,100.0,0.5
4,hs_global_permutation,0.0,0.485054347826087
4,hs_global_permutation,0.1,0.5394021739130435
