replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.6875000000000001
0,hs,0.1,0.6875000000000001
0,hs,1.0,0.6875000000000001
0,hs,10.0,0.6875000000000001
0,hs,25.0,0.7041666666666666
0,hs,50.0,0.7000000000000001
0,hs,100.0,0.6791666666666668
0,hs_entropy,0.0,0.6875000000000001
0,hs_entropy,0.1,0.6875000000000001
0,hs_entropy,1.0,0.6875000000000001
0,hs_entropy,10.0,0.7000000000000001
0,hs_entropy,25.0,0.7041666666666666
0,hs_entropy,50.0,0.7041666666666666
0,hs_entropy,100.0,0.7541666666666668
0,hs_log_cardinality,0.0,0.6875000000000001
0,hs_log_cardinality,0.1,0.6875000000000001
0,hs_log_cardinality,1.0,0.6875000000000001
0,hs_log_cardinality,10.0,0.7000000000000001
0,hs_log_cardinality,25.0,0.7041666666666666
0,hs_log_cardinality,50.0,0.7208333333333334
0,hs_log_cardinality,100.0,0.7541666666666668
0,hs_permutation,0.0,0.6875000000000001
0,hs_permutation,0.1,0.7249999999999999
0,hs_permutation,1.0,0.7249999999999999
0,hs_permutation,10.0,0.7208333333333334
0,hs_permutation,25.0,0.6791666666666668
0,hs_permutation,50.0,0.6958333333333332
0,hs_permutation,100.0,0.7166666666666666
0,hs_global_permutation,0.0,0.6875000000000001
0,hs_global_permutation,0.1,0.6916666666666667
0,hs_global_permutation,1.0,0.6916666666666667
0,hs_global_permutation,10.0,0.7124999999999999
0,hs_global_permutation,25.0,0.6666666666666667
0,hs_global_permutation,50.0,0.6666666666666667
0,hs_global_permutation,100.0,0.7166666666666666
1,hs,0.0,0.6416666666666667
1,hs,0.1,0.6416666666666667
1,hs,1.0,0.6416666666666667
1,hs,10.0,0.7291666666666667
1,hs,25.0,0.7625000000000001
1,hs,50.0,0.8041666666666667
1,hs,100.0,0.8083333333333333
1,hs_entropy,0.0,0.6416666666666667
1,hs_entropy,0.1,0.6416666666666667
1,hs_entropy,1.0,0.6416666666666667
1,hs_entropy,10.0,0.7416666666666668
1,hs_entropy,25.0,0.825
1,hs_entropy,50.0,0.8458333333333332
1,hs_entropy,100.0,0.8624999999999999
1,hs_log_cardinality,0.0,0.6416666666666667
1,hs_log_cardinality,0.1,0.6416666666666667
1,hs_log_cardinality,1.0,0.6416666666666667
1,hs_log_cardinality,10.0,0.7250000000000001
1,hs_log_cardinality,25.0,0.825
1,hs_log_cardinality,50.0,0.8624999999999999
1,hs_log_cardinality,100.0,0.8624999999999999
1,hs_permutation,0.0,0.6416666666666667
1,hs_permutation,0.1,0.6958333333333332
1,hs_permutation,1.0,0.6958333333333332
1,hs_permutation,10.0,0.8208333333333334
1,hs_permutation,25.0,0.8208333333333334
1,hs_permutation,50.0,0.8458333333333332
1,hs_permutation,100.0,0.8458333333333332
1,hs_global_permutation,0.0,0.6416666666666667
1,hs_global_permutation,0.1,0.6625
1,hs_global_permutation,1.0,0.6625
1,hs_global_permutation,10.0,0.7875000000000001
1,hs_global_permutation,25.0,0.7875000000000001
1,hs_global_permutation,50.0,0.8083333333333333
1,hs_global_permutation,100.0,0.8083333333333333
2,hs,0.0,0.8166666666666668
2,hs,0.1,0.8166666666666668
2,hs,1.0,0.8166666666666668
2,hs,10.0,0.7958333333333334
2,hs,25.0,0.7791666666666666
2,hs,50.0,0.7958333333333334
2,hs,100.0,0.8125
2,hs_entropy,0.0,0.8166666666666668
2,hs_entropy,0.1,0.8166666666666668
2,hs_entropy,1.0,0.8166666666666668
2,hs_entropy,10.0,0.7791666666666666
2,hs_entropy,25.0,0.7625
2,hs_entropy,50.0,0.7958333333333334
2,hs_entropy,100.0,0.7625
2,hs_log_cardinality,0.0,0.8166666666666668
2,hs_log_cardinality,0.1,0.8166666666666668
2,hs_log_cardinality,1.0,0.8166666666666668
2,hs_log_cardinality,10.0,0.7791666666666666
2,hs_log_cardinality,25.0,0.7958333333333334
2,hs_log_cardinality,50.0,0.7625
2,hs_log_cardinality,100.0,0.8
2,hs_permutation,0.0,0.8166666666666668
2,hs_permutation,0.1,0.7791666666666666
2,hs_permutation,1.0,0.7791666666666666
2,hs_permutation,10.0,0.7791666666666666
2,hs_permutation,25.0,0.7791666666666666
2,hs_permutation,50.0,0.7958333333333334
2,hs_permutation,100.0,0.7958333333333334
2,hs_global_permutation,0.0,0.8166666666666668
2,hs_global_permutation,0.1,0.8
2,hs_global_permutation,1.0,0.8
2,hs_global_permutation,10.0,0.7791666666666666
2,hs_global_permutation,25.0,0.7625
2,hs_global_permutation,50.0,0.7958333333333334
2,hs_global_permutation,100.0,0.7958333333333334
3,hs,0.0,0.6833333333333332
3,hs,0.1,0.6833333333333332
3,hs,1.0,0.6833333333333332
3,hs,10.0,0.6833333333333332
3,hs,25.0,0.6833333333333332
3,hs,50.0,0.7041666666666666
3,hs,100.0,0.7208333333333334
3,hs_entropy,0.0,0.6833333333333332
3,hs_entropy,0.1,0.6833333333333332
3,hs_entropy,1.0,0.6833333333333332
3,hs_entropy,10.0,0.7000000000000001
3,hs_entropy,25.0,0.7000000000000001
3,hs_entropy,50.0,0.7541666666666668
3,hs_entropy,100.0,0.7666666666666666
3,hs_log_cardinality,0.0,0.6833333333333332
3,hs_log_cardinality,0.1,0.6833333333333332
3,hs_log_cardinality,1.0,0.6833333333333332
3,hs_log_cardinality,10.0,0.6791666666666668
3,hs_log_cardinality,25.0,0.7208333333333334
3,hs_log_cardinality,50.0,0.7541666666666668
3,hs_log_cardinality,100.0,0.7541666666666668
3,hs_permutation,0.0,0.6833333333333332
3,hs_permutation,0.1,0.6625
3,hs_permutation,1.0,0.6625
3,hs_permutation,10.0,0.6833333333333332
3,hs_permutation,25.0,0.6833333333333332
3,hs_permutation,50.0,0.7166666666666666
3,hs_permutation,100.0,0.7375
3,hs_global_permutation,0.0,0.6833333333333332
3,hs_global_permutation,0.1,0.6791666666666668
3,hs_global_permutation,1.0,0.6791666666666668
3,hs_global_permutation,10.0,0.7000000000000001
3,hs_global_permutation,25.0,0.7000000000000001
3,hs_global_permutation,50.0,0.7375
3,hs_global_permutation,100.0,0.7375
4,hs,0.0,0.7625
4,hs,0.1,0.7625
4,hs,1.0,0.7625
4,hs,10.0,0.7416666666666667
4,hs,25.0,0.7208333333333334
4,hs,50.0,0.7875000000000001
4,hs,100.0,0.8083333333333333
4,hs_entropy,0.0,0.7625
4,hs_entropy,0.1,0.7625
4,hs_entropy,1.0,0.7625
4,hs_entropy,10.0,0.7375
4,hs_entropy,25.0,0.7875000000000001
4,hs_entropy,50.0,0.7833333333333333
4,hs_entropy,100.0,0.7833333333333333
4,hs_log_cardinality,0.0,0.7625
4,hs_log_cardinality,0.1,0.7625
4,hs_log_cardinality,1.0,0.7625
4,hs_log_cardinality,10.0,0.7375
4,hs_log_cardinality,25.0,0.7875000000000001
4,hs_log_cardinality,50.0,0.8041666666666667
4,hs_log_cardinality,100.0,0.8125
4,hs_permutation,0.0,0.7625
4,hs_permutation,0.1,0.7083333333333334
4,hs_permutation,1.0,0.7083333333333334
4,hs_permutation,10.0,0.7208333333333334
4,hs_permutation,25.0,0.7875000000000001
4,hs_permutation,50.0,0.7875000000000001
4,hs_permutation,100.0,0.7875000000000001
4,hs_global_permutation,0.0,0.7625
4,hs_global_permutation,0.1,0.7416666666666667
4,hs_global_permutation,1.0,0.7249999999999999
4,hs_global_permutation,10.0,0.7875000000000001
4,hs_global_permutation,25.0,0.7875000000000001
4,hs_global_permutation,50.0,0.7875000000000001
4,hs_global_permutation,100.0,0.7875000000000001
5,hs,0.0,0.7916666666666667
5,hs,0.1,0.7916666666666667
5,hs,1.0,0.7916666666666667
5,hs,10.0,0.7916666666666667
5,hs,25.0,0.8291666666666667
5,hs,50.0,0.8208333333333333
5,hs,100.0,0.7791666666666666
5,hs_entropy,0.0,0.7916666666666667
5,hs_entropy,0.1,0.7916666666666667
5,hs_entropy,1.0,0.7916666666666667
5,hs_entropy,10.0,0.8083333333333333
5,hs_entropy,25.0,0.8708333333333333
5,hs_entropy,50.0,0.8875
5,hs_entropy,100.0,0.8291666666666667
5,hs_log_cardinality,0.0,0.7916666666666667
5,hs_log_cardinality,0.1,0.7916666666666667
5,hs_log_cardinality,1.0,0.7916666666666667
5,hs_log_cardinality,10.0,0.8125
5,hs_log_cardinality,25.0,0.8875
5,hs_log_cardinality,50.0,0.9041666666666667
5,hs_log_cardinality,100.0,0.8291666666666667
5,hs_permutation,0.0,0.7916666666666667
5,hs_permutation,0.1,0.8333333333333334
5,hs_permutation,1.0,0.8500000000000001
5,hs_permutation,10.0,0.8166666666666668
5,hs_permutation,25.0,0.8208333333333333
5,hs_permutation,50.0,0.7458333333333332
5,hs_permutation,100.0,0.7625
5,hs_global_permutation,0.0,0.7916666666666667
