replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.8765217391304347
0,hs,0.1,0.8765217391304347
0,hs,1.0,0.8765217391304347
0,hs,10.0,0.8765217391304347
0,hs,25.0,0.8873913043478261
0,hs,50.0,0.8873913043478261
0,hs,100.0,0.8856521739130434
0,hs_entropy,0.0,0.8765217391304347
0,hs_entropy,0.1,0.8765217391304347
0,hs_entropy,1.0,0.8765217391304347
0,hs_entropy,10.0,0.8873913043478261
0,hs_entropy,25.0,0.8873913043478261
0,hs_entropy,50.0,0.8982608695652174
0,hs_entropy,100.0,0.8382608695652174
0,hs_log_cardinality,0.0,0.8765217391304347
0,hs_log_cardinality,0.1,0.8765217391304347
0,hs_log_cardinality,1.0,0.8765217391304347
0,hs_log_cardinality,10.0,0.8873913043478261
0,hs_log_cardinality,25.0,0.8873913043478261
0,hs_log_cardinality,50.0,0.8873913043478261
0,hs_log_cardinality,100.0,0.8382608695652174
0,hs_permutation,0.0,0.8765217391304347
0,hs_permutation,0.1,0.8765217391304347
0,hs_permutation,1.0,0.8765217391304347
0,hs_permutation,10.0,0.8765217391304347
0,hs_permutation,25.0,0.8873913043478261
0,hs_permutation,50.0,0.8856521739130434
0,hs_permutation,100.0,0.8856521739130434
0,hs_global_permutation,0.0,0.8765217391304347
0,hs_global_permutation,0.1,0.8765217391304347
0,hs_global_permutation,1.0,0.8765217391304347
0,hs_global_permutation,10.0,0.8765217391304347
0,hs_global_permutation,25.0,0.8873913043478261
0,hs_global_permutation,50.0,0.8856521739130434
0,hs_global_permutation,100.0,0.8856521739130434
1,hs,0.0,0.9073913043478261
1,hs,0.1,0.9073913043478261
1,hs,1.0,0.9073913043478261
1,hs,10.0,0.9073913043478261
1,hs,25.0,0.9073913043478261
1,hs,50.0,0.9291304347826087
1,hs,100.0,0.9291304347826087
1,hs_entropy,0.0,0.9073913043478261
1,hs_entropy,0.1,0.9073913043478261
1,hs_entropy,1.0,0.9073913043478261
1,hs_entropy,10.0,0.9073913043478261
1,hs_entropy,25.0,0.9291304347826087
1,hs_entropy,50.0,0.9091304347826086
1,hs_entropy,100.0,0.86
1,hs_log_cardinality,0.0,0.9073913043478261
1,hs_log_cardinality,0.1,0.9073913043478261
1,hs_log_cardinality,1.0,0.9073913043478261
1,hs_log_cardinality,10.0,0.9073913043478261
1,hs_log_cardinality,25.0,0.9291304347826087
1,hs_log_cardinality,50.0,0.86
1,hs_log_cardinality,100.0,0.86
1,hs_permutation,0.0,0.9073913043478261
1,hs_permutation,0.1,0.9291304347826087
1,hs_permutation,1.0,0.9291304347826087
1,hs_permutation,10.0,0.9273913043478262
1,hs_permutation,25.0,0.9291304347826087
1,hs_permutation,50.0,0.9291304347826087
1,hs_permutation,100.0,0.9291304347826087
1,hs_global_permutation,0.0,0.9073913043478261
1,hs_global_permutation,0.1,0.9073913043478261
1,hs_global_permutation,1.0,0.9073913043478261
1,hs_global_permutation,10.0,0.9273913043478262
1,hs_global_permutation,25.0,0.9073913043478261
1,hs_global_permutation,50.0,0.9273913043478262
