replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.6883771464048231
0,hs,0.1,0.6883771464048231
0,hs,1.0,0.6883771464048231
0,hs,10.0,0.6709281618115576
0,hs,25.0,0.6776594180404202
0,hs,50.0,0.6661574656493539
0,hs,100.0,0.6701194307840606
0,hs_entropy,0.0,0.6883771464048231
0,hs_entropy,0.1,0.6883771464048231
0,hs_entropy,1.0,0.6883771464048231
0,hs_entropy,10.0,0.6812374401620729
0,hs_entropy,25.0,0.6768670250134787
0,hs_entropy,50.0,0.6617952195010375
0,hs_entropy,100.0,0.6701194307840606
0,hs_log_cardinality,0.0,0.6883771464048231
0,hs_log_cardinality,0.1,0.6883771464048231
0,hs_log_cardinality,1.0,0.6883771464048231
0,hs_log_cardinality,10.0,0.6959089646609048
0,hs_log_cardinality,25.0,0.6721126668518306
0,hs_log_cardinality,50.0,0.6629878935415884
0,hs_log_cardinality,100.0,0.6606025454604866
0,hs_permutation,0.0,0.6883771464048231
0,hs_permutation,0.1,0.6947162906203539
0,hs_permutation,1.0,0.697093469701178
0,hs_permutation,10.0,0.6832143382292875
0,hs_permutation,25.0,0.6681425327168461
0,hs_permutation,50.0,0.6633800055549202
0,hs_permutation,100.0,0.6673419706896271
0,hs_global_permutation,0.0,0.6883771464048231
0,hs_global_permutation,0.1,0.6935317855800808
0,hs_global_permutation,1.0,0.6967013576878461
0,hs_global_permutation,10.0,0.6978858627281194
0,hs_global_permutation,25.0,0.6784518110673615
0,hs_global_permutation,50.0,0.6625876125279788
0,hs_global_permutation,100.0,0.6717042168379433
1,hs,0.0,0.6701439377848939
1,hs,0.1,0.6701439377848939
1,hs,1.0,0.6701439377848939
1,hs,10.0,0.6744980149329325
1,hs,25.0,0.6764749130001471
1,hs,50.0,0.6578332543663307
1,hs,100.0,0.6455307399480452
1,hs_entropy,0.0,0.6701439377848939
1,hs_entropy,0.1,0.6701439377848939
1,hs_entropy,1.0,0.6701439377848939
1,hs_entropy,10.0,0.6752904079598738
1,hs_entropy,25.0,0.6713202738248892
1,hs_entropy,50.0,0.6673501396899048
1,hs_entropy,100.0,0.6645645105951934
1,hs_log_cardinality,0.0,0.6701439377848939
1,hs_log_cardinality,0.1,0.6701439377848939
1,hs_log_cardinality,1.0,0.6701439377848939
1,hs_log_cardinality,10.0,0.6741059029196007
1,hs_log_cardinality,25.0,0.6705278807979479
1,hs_log_cardinality,50.0,0.665765353636022
1,hs_log_cardinality,100.0,0.6847909552828924
1,hs_permutation,0.0,0.6701439377848939
1,hs_permutation,0.1,0.6867923603509403
1,hs_permutation,1.0,0.6859917983237211
1,hs_permutation,10.0,0.682814057215678
