replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.5906764043410005
0,hs,0.1,0.5904545764794211
0,hs,1.0,0.5904545764794211
0,hs,10.0,0.6092758173503515
0,hs,25.0,0.6296669169339977
0,hs,50.0,0.6498020612927446
0,hs,100.0,0.6501603986076036
0,hs_entropy,0.0,0.5906764043410005
0,hs_entropy,0.1,0.5904545764794211
0,hs_entropy,1.0,0.5904545764794211
0,hs_entropy,10.0,0.6166473278274521
0,hs_entropy,25.0,0.6342229199372057
0,hs_entropy,50.0,0.6541362364343731
0,hs_entropy,100.0,0.6543410006142925
0,hs_log_cardinality,0.0,0.5906764043410005
0,hs_log_cardinality,0.1,0.5919732441471572
0,hs_log_cardinality,1.0,0.5919732441471572
0,hs_log_cardinality,10.0,0.6118353695993448
0,hs_log_cardinality,25.0,0.6283188860828612
0,hs_log_cardinality,50.0,0.648863558801447
0,hs_log_cardinality,100.0,0.6557572861920687
0,hs_permutation,0.0,0.5906764043410005
0,hs_permutation,0.1,0.6120571974609241
0,hs_permutation,1.0,0.6122107705958639
0,hs_permutation,10.0,0.6298887447955771
0,hs_permutation,25.0,0.6458774145109549
0,hs_permutation,50.0,0.6521568493618184
0,hs_permutation,100.0,0.6612006006415945
0,hs_global_permutation,0.0,0.5906764043410005
0,hs_global_permutation,0.1,0.6080813596341546
0,hs_global_permutation,1.0,0.6104361477032285
0,hs_global_permutation,10.0,0.6349054672036039
0,hs_global_permutation,25.0,0.6561326871885879
0,hs_global_permutation,50.0,0.656388642413487
0,hs_global_permutation,100.0,0.6694594225650127
1,hs,0.0,0.6010681864719133
1,hs,0.1,0.6040884581257252
1,hs,1.0,0.6040884581257252
1,hs,10.0,0.6152822332946557
1,hs,25.0,0.6306054194252954
1,hs,50.0,0.6619855299979525
1,hs,100.0,0.671984847450686
1,hs_entropy,0.0,0.6010681864719133
1,hs_entropy,0.1,0.6033035287693673
1,hs_entropy,1.0,0.6040884581257252
1,hs_entropy,10.0,0.6176882124087093
1,hs_entropy,25.0,0.635997542829841
1,hs_entropy,50.0,0.661729574773053
1,hs_entropy,100.0,0.6705173708279297
1,hs_log_cardinality,0.0,0.6010681864719133
1,hs_log_cardinality,0.1,0.6041396491707052
1,hs_log_cardinality,1.0,0.6041396491707052
1,hs_log_cardinality,10.0,0.6161183536959934
1,hs_log_cardinality,25.0,0.6304518462903557
1,hs_log_cardinality,50.0,0.6543068732509727
1,hs_log_cardinality,100.0,0.6713023001842877
1,hs_permutation,0.0,0.6010681864719133
1,hs_permutation,0.1,0.6202477646577025
1,hs_permutation,1.0,0.6209303119241008
1,hs_permutation,10.0,0.6434202443519215
1,hs_permutation,25.0,0.6667462971810798
1,hs_permutation,50.0,0.6736570882533615
1,hs_permutation,100.0,0.6735035151184221
1,hs_global_permutation,0.0,0.6010681864719133
1,hs_global_permutation,0.1,0.6197870452528838
1,hs_global_permutation,1.0,0.6230291447682752
1,hs_global_permutation,10.0,0.6373626373626374
1,hs_global_permutation,25.0,0.6566104702750666
1,hs_global_permutation,50.0,0.667804245443997
1,hs_global_permutation,100.0,0.6724626305371647
2,hs,0.0,0.5788854003139717
2,hs,0.1,0.5803870043000477
2,hs,1.0,0.57955088389871
2,hs,10.0,0.5922121356903964
2,hs,25.0,0.6261006074670672
2,hs,50.0,0.6494778513412054
2,hs,100.0,0.6565934065934066
2,hs_entropy,0.0,0.5788854003139717
2,hs_entropy,0.1,0.5812231247013855
2,hs_entropy,1.0,0.5811719336564057
2,hs_entropy,10.0,0.6012558869701726
2,hs_entropy,25.0,0.6405876731963688
2,hs_entropy,50.0,0.6569005528632859
2,hs_entropy,100.0,0.659835506108798
2,hs_log_cardinality,0.0,0.5788854003139717
2,hs_log_cardinality,0.1,0.5811719336564057
2,hs_log_cardinality,1.0,0.5819568630127636
2,hs_log_cardinality,10.0,0.6005221486587946
2,hs_log_cardinality,25.0,0.6365606443246195
2,hs_log_cardinality,50.0,0.6486929219848475
2,hs_log_cardinality,100.0,0.658368029486042
2,hs_permutation,0.0,0.5788854003139717
2,hs_permutation,0.1,0.6003173844788752
2,hs_permutation,1.0,0.6037642481741861
2,hs_permutation,10.0,0.6335745000341274
2,hs_permutation,25.0,0.6457067776943552
2,hs_permutation,50.0,0.656064432461948
2,hs_permutation,100.0,0.6656371578731828
2,hs_global_permutation,0.0,0.5788854003139717
2,hs_global_permutation,0.1,0.5990546720360385
2,hs_global_permutation,1.0,0.6035594839942666
2,hs_global_permutation,10.0,0.6283530134461811
2,hs_global_permutation,25.0,0.6335233089891474
2,hs_global_permutation,50.0,0.6560132414169682
2,hs_global_permutation,100.0,0.6682990922121358
3,hs,0.0,0.5908129137942801
3,hs,0.1,0.596972902873524
3,hs,1.0,0.596972902873524
3,hs,10.0,0.6063408641048393
3,hs,25.0,0.6292403248924988
3,hs,50.0,0.650740563784042
3,hs,100.0,0.6569688075899256
3,hs_entropy,0.0,0.5908129137942801
3,hs_entropy,0.1,0.596972902873524
3,hs_entropy,1.0,0.597757832229882
3,hs_entropy,10.0,0.6090027984437922
3,hs_entropy,25.0,0.6321752781380111
3,hs_entropy,50.0,0.6528905876731964
3,hs_entropy,100.0,0.657548972766364
3,hs_log_cardinality,0.0,0.5908129137942801
3,hs_log_cardinality,0.1,0.597757832229882
3,hs_log_cardinality,1.0,0.597757832229882
3,hs_log_cardinality,10.0,0.6057606989284008
3,hs_log_cardinality,25.0,0.6308613746501944
3,hs_log_cardinality,50.0,0.6424305508156439
3,hs_log_cardinality,100.0,0.6601597160603372
3,hs_permutation,0.0,0.5908129137942801
3,hs_permutation,0.1,0.5934236570882534
3,hs_permutation,1.0,0.5957784451573273
3,hs_permutation,10.0,0.6261176711487271
3,hs_permutation,25.0,0.6420210224558052
3,hs_permutation,50.0,0.6548870384274111
3,hs_permutation,100.0,0.6698348235615317
3,hs_global_permutation,0.0,0.5908129137942801
3,hs_global_permutation,0.1,0.6110845676063068
3,hs_global_permutation,1.0,0.610982185516347
3,hs_global_permutation,10.0,0.6355197597433623
3,hs_global_permutation,25.0,0.6551429936523105
3,hs_global_permutation,50.0,0.6658589857347621
3,hs_global_permutation,100.0,0.6685209200737151
4,hs,0.0,0.6026892362296089
4,hs,0.1,0.6063920551498192
4,hs,1.0,0.6079619138625351
4,hs,10.0,0.6199918094328032
4,hs,25.0,0.6391372602552727
4,hs,50.0,0.6609446454166951
4,hs,100.0,0.6699883966964713
4,hs_entropy,0.0,0.6026892362296089
4,hs_entropy,0.1,0.6071769845061771
4,hs_entropy,1.0,0.6079619138625351
4,hs_entropy,10.0,0.6272097467749642
4,hs_entropy,25.0,0.6447341478397379
4,hs_entropy,50.0,0.6562350692785476
4,hs_entropy,100.0,0.6708757081427889
4,hs_log_cardinality,0.0,0.6026892362296089
4,hs_log_cardinality,0.1,0.6079619138625351
4,hs_log_cardinality,1.0,0.6079619138625351
4,hs_log_cardinality,10.0,0.6250597228858099
4,hs_log_cardinality,25.0,0.6350590403385435
4,hs_log_cardinality,50.0,0.6497508702477647
4,hs_log_cardinality,100.0,0.6668486792710395
4,hs_permutation,0.0,0.6026892362296089
4,hs_permutation,0.1,0.6099924919800697
4,hs_permutation,1.0,0.6112040133779264
4,hs_permutation,10.0,0.6448877209746775
4,hs_permutation,25.0,0.6659613678247219
4,hs_permutation,50.0,0.6736400245717016
4,hs_permutation,100.0,0.6757388574158761
4,hs_global_permutation,0.0,0.6026892362296089
4,hs_global_permutation,0.1,0.6216640502354789
4,hs_global_permutation,1.0,0.6289331786226197
4,hs_global_permutation,10.0,0.6438980274384001
4,hs_global_permutation,25.0,0.6559791140536482
4,hs_global_permutation,50.0,0.6749027370145383
4,hs_global_permutation,100.0,0.6894409937888197
5,hs,0.0,0.5963074192887858
5,hs,0.1,0.6007951675653539
5,hs,1.0,0.5999590471640162
5,hs,10.0,0.6194628353013446
5,hs,25.0,0.6483857757149682
5,hs,50.0,0.6562350692785476
5,hs,100.0,0.6722408026755853
5,hs_entropy,0.0,0.5963074192887858
5,hs_entropy,0.1,0.5999590471640162
5,hs_entropy,1.0,0.5982868063613406
5,hs_entropy,10.0,0.6228585079516756
5,hs_entropy,25.0,0.6501092075626238
5,hs_entropy,50.0,0.6577025459013037
5,hs_entropy,100.0,0.6696300593816122
5,hs_log_cardinality,0.0,0.5963074192887858
5,hs_log_cardinality,0.1,0.5991229267626784
5,hs_log_cardinality,1.0,0.5991229267626784
5,hs_log_cardinality,10.0,0.6155893795645349
5,hs_log_cardinality,25.0,0.6380281209473757
5,hs_log_cardinality,50.0,0.6530953518531158
5,hs_log_cardinality,100.0,0.6671216981775988
5,hs_permutation,0.0,0.5963074192887858
5,hs_permutation,0.1,0.6203160193843424
5,hs_permutation,1.0,0.6205207835642618
5,hs_permutation,10.0,0.6446317657497782
5,hs_permutation,25.0,0.654562828475872
5,hs_permutation,50.0,0.6672752713125385
5,hs_permutation,100.0,0.6829056037130571
5,hs_global_permutation,0.0,0.5963074192887858
5,hs_global_permutation,0.1,0.6196334721179442
5,hs_global_permutation,1.0,0.6285748413077605
5,hs_global_permutation,10.0,0.6529929697631561
5,hs_global_permutation,25.0,0.6632994334857689
5,hs_global_permutation,50.0,0.6669169339976794
5,hs_global_permutation,100.0,0.6710463449593884
6,hs,0.0,0.5879120879120878
6,hs,0.1,0.5924510272336359
6,hs,1.0,0.5916149068322981
6,hs,10.0,0.6053170432052419
6,hs,25.0,0.6311514572384138
6,hs,50.0,0.6531124155347758
6,hs,100.0,0.6662855777762611
6,hs_entropy,0.0,0.5879120879120878
6,hs_entropy,0.1,0.5900962391645621
6,hs_entropy,1.0,0.5900962391645621
6,hs_entropy,10.0,0.6157770800627943
6,hs_entropy,25.0,0.632192341819671
6,hs_entropy,50.0,0.6552453757422702
6,hs_entropy,100.0,0.6687427479352945
6,hs_log_cardinality,0.0,0.5879120879120878
6,hs_log_cardinality,0.1,0.5900962391645621
6,hs_log_cardinality,1.0,0.5900962391645621
6,hs_log_cardinality,10.0,0.6037471844925262
6,hs_log_cardinality,25.0,0.6296327895706777
6,hs_log_cardinality,50.0,0.6493925329329057
6,hs_log_cardinality,100.0,0.6648692921984848
6,hs_permutation,0.0,0.5879120879120878
6,hs_permutation,0.1,0.5848235615316361
6,hs_permutation,1.0,0.5930311924100743
6,hs_permutation,10.0,0.6167838372807316
6,hs_permutation,25.0,0.6308955020135145
6,hs_permutation,50.0,0.6474643369053307
6,hs_permutation,100.0,0.6668145519077197
6,hs_global_permutation,0.0,0.5879120879120878
6,hs_global_permutation,0.1,0.6082861238140741
