replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.63125
0,hs,0.1,0.63125
0,hs,1.0,0.64375
0,hs,10.0,0.65
0,hs,25.0,0.61875
0,hs,50.0,0.5812499999999999
0,hs,100.0,0.53125
0,hs_entropy,0.0,0.63125
0,hs_entropy,0.1,0.63125
0,hs_entropy,1.0,0.64375
0,hs_entropy,10.0,0.65
0,hs_entropy,25.0,0.61875
0,hs_entropy,50.0,0.5812499999999999
0,hs_entropy,100.0,0.5
0,hs_log_cardinality,0.0,0.63125
0,hs_log_cardinality,0.1,0.63125
0,hs_log_cardinality,1.0,0.64375
0,hs_log_cardinality,10.0,0.65
0,hs_log_cardinality,25.0,0.61875
0,hs_log_cardinality,50.0,0.6125
0,hs_log_cardinality,100.0,0.5625
0,hs_permutation,0.0,0.63125
0,hs_permutation,0.1,0.65625
0,hs_permutation,1.0,0.65
0,hs_permutation,10.0,0.65
0,hs_permutation,25.0,0.63125
0,hs_permutation,50.0,0.5812499999999999
0,hs_permutation,100.0,0.5
0,hs_global_permutation,0.0,0.63125
0,hs_global_permutation,0.1,0.65625
0,hs_global_permutation,1.0,0.625
0,hs_global_permutation,10.0,0.6625
0,hs_global_permutation,25.0,0.63125
0,hs_global_permutation,50.0,0.5812499999999999
0,hs_global_permutation,100.0,0.5
1,hs,0.0,0.6875
1,hs,0.1,0.6875
1,hs,1.0,0.6875
1,hs,10.0,0.6875
1,hs,25.0,0.625
1,hs,50.0,0.59375
1,hs,100.0,0.5
1,hs_entropy,0.0,0.6875
1,hs_entropy,0.1,0.6875
1,hs_entropy,1.0,0.6875
1,hs_entropy,10.0,0.6875
1,hs_entropy,25.0,0.65625
1,hs_entropy,50.0,0.625
1,hs_entropy,100.0,0.5
1,hs_log_cardinality,0.0,0.6875
1,hs_log_cardinality,0.1,0.6875
1,hs_log_cardinality,1.0,0.6875
1,hs_log_cardinality,10.0,0.6875
1,hs_log_cardinality,25.0,0.65625
1,hs_log_cardinality,50.0,0.625
1,hs_log_cardinality,100.0,0.5
1,hs_permutation,0.0,0.6875
1,hs_permutation,0.1,0.6875
1,hs_permutation,1.0,0.6875
1,hs_permutation,10.0,0.6875
1,hs_permutation,25.0,0.625
1,hs_permutation,50.0,0.5625
1,hs_permutation,100.0,0.5
1,hs_global_permutation,0.0,0.6875
1,hs_global_permutation,0.1,0.6875
1,hs_global_permutation,1.0,0.6875
1,hs_global_permutation,10.0,0.6875
1,hs_global_permutation,25.0,0.625
1,hs_global_permutation,50.0,0.5625
1,hs_global_permutation,100.0,0.5
2,hs,0.0,0.5812499999999999
2,hs,0.1,0.5812499999999999
2,hs,1.0,0.55
2,hs,10.0,0.56875
2,hs,25.0,0.5375
2,hs,50.0,0.50625
2,hs,100.0,0.5
2,hs_entropy,0.0,0.5812499999999999
2,hs_entropy,0.1,0.5812499999999999
2,hs_entropy,1.0,0.55
2,hs_entropy,10.0,0.56875
2,hs_entropy,25.0,0.5375
2,hs_entropy,50.0,0.50625
2,hs_entropy,100.0,0.5
2,hs_log_cardinality,0.0,0.5812499999999999
2,hs_log_cardinality,0.1,0.5812499999999999
2,hs_log_cardinality,1.0,0.55
2,hs_log_cardinality,10.0,0.55625
2,hs_log_cardinality,25.0,0.5375
2,hs_log_cardinality,50.0,0.5375
2,hs_log_cardinality,100.0,0.5
2,hs_permutation,0.0,0.5812499999999999
2,hs_permutation,0.1,0.5875
2,hs_permutation,1.0,0.5375
2,hs_permutation,10.0,0.5375
2,hs_permutation,25.0,0.5375
2,hs_permutation,50.0,0.55
2,hs_permutation,100.0,0.5
2,hs_global_permutation,0.0,0.5812499999999999
2,hs_global_permutation,0.1,0.5375
2,hs_global_permutation,1.0,0.5375
2,hs_global_permutation,10.0,0.5375
2,hs_global_permutation,25.0,0.5375
2,hs_global_permutation,50.0,0.5187499999999999
2,hs_global_permutation,100.0,0.5
3,hs,0.0,0.5499999999999999
3,hs,0.1,0.5499999999999999
3,hs,1.0,0.5750000000000001
3,hs,10.0,0.6125
3,hs,25.0,0.59375
3,hs,50.0,0.59375
3,hs,100.0,0.5
3,hs_entropy,0.0,0.5499999999999999
3,hs_entropy,0.1,0.5499999999999999
3,hs_entropy,1.0,0.5875
3,hs_entropy,10.0,0.6125
3,hs_entropy,25.0,0.59375
3,hs_entropy,50.0,0.59375
3,hs_entropy,100.0,0.5
3,hs_log_cardinality,0.0,0.5499999999999999
3,hs_log_cardinality,0.1,0.5499999999999999
3,hs_log_cardinality,1.0,0.5750000000000001
3,hs_log_cardinality,10.0,0.6437499999999999
3,hs_log_cardinality,25.0,0.59375
3,hs_log_cardinality,50.0,0.59375
3,hs_log_cardinality,100.0,0.53125
3,hs_permutation,0.0,0.5499999999999999
3,hs_permutation,0.1,0.61875
3,hs_permutation,1.0,0.63125
3,hs_permutation,10.0,0.59375
3,hs_permutation,25.0,0.59375
3,hs_permutation,50.0,0.59375
3,hs_permutation,100.0,0.5
3,hs_global_permutation,0.0,0.5499999999999999
3,hs_global_permutation,0.1,0.6062500000000001
3,hs_global_permutation,1.0,0.63125
3,hs_global_permutation,10.0,0.59375
3,hs_global_permutation,25.0,0.59375
3,hs_global_permutation,50.0,0.59375
3,hs_global_permutation,100.0,0.5
4,hs,0.0,0.73125
4,hs,0.1,0.74375
4,hs,1.0,0.74375
4,hs,10.0,0.65625
4,hs,25.0,0.65625
4,hs,50.0,0.59375
4,hs,100.0,0.5
4,hs_entropy,0.0,0.73125
4,hs_entropy,0.1,0.73125
4,hs_entropy,1.0,0.74375
4,hs_entropy,10.0,0.65625
4,hs_entropy,25.0,0.65625
4,hs_entropy,50.0,0.59375
4,hs_entropy,100.0,0.5
4,hs_log_cardinality,0.0,0.73125
4,hs_log_cardinality,0.1,0.73125
4,hs_log_cardinality,1.0,0.74375
4,hs_log_cardinality,10.0,0.6749999999999999
4,hs_log_cardinality,25.0,0.65625
4,hs_log_cardinality,50.0,0.59375
4,hs_log_cardinality,100.0,0.5
4,hs_permutation,0.0,0.73125
4,hs_permutation,0.1,0.6749999999999999
4,hs_permutation,1.0,0.65625
4,hs_permutation,10.0,0.6437499999999999
4,hs_permutation,25.0,0.6437499999999999
4,hs_permutation,50.0,0.59375
4,hs_permutation,100.0,0.5
4,hs_global_permutation,0.0,0.73125
4,hs_global_permutation,0.1,0.6749999999999999
