replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.7270370370370369
0,hs,0.1,0.7270370370370369
0,hs,1.0,0.7270370370370369
0,hs,10.0,0.732037037037037
0,hs,25.0,0.7227777777777779
0,hs,50.0,0.7092592592592593
0,hs,100.0,0.7057407407407407
0,hs_entropy,0.0,0.7270370370370369
0,hs_entropy,0.1,0.7270370370370369
0,hs_entropy,1.0,0.7270370370370369
0,hs_entropy,10.0,0.7277777777777779
0,hs_entropy,25.0,0.6914814814814815
0,hs_entropy,50.0,0.6601851851851851
0,hs_entropy,100.0,0.537037037037037
0,hs_log_cardinality,0.0,0.7270370370370369
0,hs_log_cardinality,0.1,0.7270370370370369
0,hs_log_cardinality,1.0,0.7270370370370369
0,hs_log_cardinality,10.0,0.7277777777777779
0,hs_log_cardinality,25.0,0.6872222222222222
0,hs_log_cardinality,50.0,0.6509259259259259
0,hs_log_cardinality,100.0,0.5092592592592593
0,hs_permutation,0.0,0.7270370370370369
0,hs_permutation,0.1,0.7412962962962963
0,hs_permutation,1.0,0.7362962962962963
0,hs_permutation,10.0,0.7135185185185186
0,hs_permutation,25.0,0.7235185185185187
0,hs_permutation,50.0,0.7100000000000001
0,hs_permutation,100.0,0.6872222222222222
0,hs_global_permutation,0.0,0.7270370370370369
0,hs_global_permutation,0.1,0.7212962962962962
0,hs_global_permutation,1.0,0.7270370370370369
0,hs_global_permutation,10.0,0.7227777777777779
0,hs_global_permutation,25.0,0.7235185185185187
0,hs_global_permutation,50.0,0.7192592592592593
0,hs_global_permutation,100.0,0.6872222222222222
1,hs,0.0,0.769074074074074
1,hs,0.1,0.769074074074074
1,hs,1.0,0.769074074074074
1,hs,10.0,0.7740740740740741
1,hs,25.0,0.7562962962962962
1,hs,50.0,0.7477777777777778
1,hs,100.0,0.7157407407407407
1,hs_entropy,0.0,0.769074074074074
1,hs_entropy,0.1,0.769074074074074
1,hs_entropy,1.0,0.769074074074074
1,hs_entropy,10.0,0.7612962962962962
