replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.6833333333333333
0,hs,0.1,0.6749999999999999
0,hs,1.0,0.6785714285714285
0,hs,10.0,0.6488095238095237
0,hs,25.0,0.6261904761904762
0,hs,50.0,0.6107142857142858
0,hs,100.0,0.5595238095238095
0,hs_entropy,0.0,0.6833333333333333
0,hs_entropy,0.1,0.6749999999999999
0,hs_entropy,1.0,0.6785714285714285
0,hs_entropy,10.0,0.6273809523809524
0,hs_entropy,25.0,0.6071428571428572
0,hs_entropy,50.0,0.5845238095238096
0,hs_entropy,100.0,0.5333333333333333
0,hs_log_cardinality,0.0,0.6833333333333333
0,hs_log_cardinality,0.1,0.6785714285714285
0,hs_log_cardinality,1.0,0.6785714285714285
0,hs_log_cardinality,10.0,0.6107142857142858
0,hs_log_cardinality,25.0,0.6071428571428572
0,hs_log_cardinality,50.0,0.5630952380952381
0,hs_log_cardinality,100.0,0.5
0,hs_permutation,0.0,0.6833333333333333
0,hs_permutation,0.1,0.6619047619047618
0,hs_permutation,1.0,0.6488095238095237
0,hs_permutation,10.0,0.6190476190476191
0,hs_permutation,25.0,0.5916666666666667
0,hs_permutation,50.0,0.5928571428571429
0,hs_permutation,100.0,0.5166666666666666
0,hs_global_permutation,0.0,0.6833333333333333
0,hs_global_permutation,0.1,0.655952380952381
0,hs_global_permutation,1.0,0.65
0,hs_global_permutation,10.0,0.6261904761904762
0,hs_global_permutation,25.0,0.5988095238095238
0,hs_global_permutation,50.0,0.5845238095238096
0,hs_global_permutation,100.0,0.5297619047619048
1,hs,0.0,0.7130952380952381
1,hs,0.1,0.7047619047619047
1,hs,1.0,0.6880952380952381
1,hs,10.0,0.6785714285714285
1,hs,25.0,0.6666666666666666
1,hs,50.0,0.6476190476190475
1,hs,100.0,0.5880952380952381
1,hs_entropy,0.0,0.7130952380952381
1,hs_entropy,0.1,0.7047619047619047
1,hs_entropy,1.0,0.6833333333333333
1,hs_entropy,10.0,0.6690476190476189
1,hs_entropy,25.0,0.638095238095238
1,hs_entropy,50.0,0.5845238095238096
1,hs_entropy,100.0,0.5547619047619048
1,hs_log_cardinality,0.0,0.7130952380952381
1,hs_log_cardinality,0.1,0.7047619047619047
1,hs_log_cardinality,1.0,0.6833333333333333
1,hs_log_cardinality,10.0,0.6690476190476189
1,hs_log_cardinality,25.0,0.6321428571428571
1,hs_log_cardinality,50.0,0.5761904761904761
1,hs_log_cardinality,100.0,0.5083333333333333
1,hs_permutation,0.0,0.7130952380952381
1,hs_permutation,0.1,0.6821428571428572
1,hs_permutation,1.0,0.6654761904761903
1,hs_permutation,10.0,0.6357142857142857
1,hs_permutation,25.0,0.6154761904761905
1,hs_permutation,50.0,0.6011904761904762
1,hs_permutation,100.0,0.5380952380952382
1,hs_global_permutation,0.0,0.7130952380952381
1,hs_global_permutation,0.1,0.6714285714285714
1,hs_global_permutation,1.0,0.6714285714285714
1,hs_global_permutation,10.0,0.6523809523809523
1,hs_global_permutation,25.0,0.6321428571428571
1,hs_global_permutation,50.0,0.6011904761904762
1,hs_global_permutation,100.0,0.5464285714285714
2,hs,0.0,0.6428571428571428
2,hs,0.1,0.6464285714285714
2,hs,1.0,0.6428571428571428
2,hs,10.0,0.638095238095238
2,hs,25.0,0.6285714285714287
2,hs,50.0,0.6226190476190476
2,hs,100.0,0.5547619047619048
2,hs_entropy,0.0,0.6428571428571428
2,hs_entropy,0.1,0.6464285714285714
2,hs_entropy,1.0,0.6464285714285714
2,hs_entropy,10.0,0.6452380952380953
2,hs_entropy,25.0,0.6321428571428571
2,hs_entropy,50.0,0.5964285714285714
2,hs_entropy,100.0,0.5083333333333333
2,hs_log_cardinality,0.0,0.6428571428571428
2,hs_log_cardinality,0.1,0.6464285714285714
2,hs_log_cardinality,1.0,0.6464285714285714
2,hs_log_cardinality,10.0,0.6416666666666666
2,hs_log_cardinality,25.0,0.6154761904761905
2,hs_log_cardinality,50.0,0.5797619047619047
2,hs_log_cardinality,100.0,0.5083333333333333
2,hs_permutation,0.0,0.6428571428571428
2,hs_permutation,0.1,0.6345238095238095
2,hs_permutation,1.0,0.6345238095238095
2,hs_permutation,10.0,0.6285714285714287
2,hs_permutation,25.0,0.6107142857142858
2,hs_permutation,50.0,0.5595238095238095
2,hs_permutation,100.0,0.5047619047619047
2,hs_global_permutation,0.0,0.6428571428571428
2,hs_global_permutation,0.1,0.6297619047619047
2,hs_global_permutation,1.0,0.6297619047619047
2,hs_global_permutation,10.0,0.6285714285714287
2,hs_global_permutation,25.0,0.6202380952380953
2,hs_global_permutation,50.0,0.555952380952381
2,hs_global_permutation,100.0,0.5130952380952382
3,hs,0.0,0.657142857142857
3,hs,0.1,0.6607142857142857
3,hs,1.0,0.6607142857142857
3,hs,10.0,0.6583333333333333
3,hs,25.0,0.6083333333333334
3,hs,50.0,0.6059523809523809
3,hs,100.0,0.5595238095238095
3,hs_entropy,0.0,0.657142857142857
3,hs_entropy,0.1,0.6607142857142857
3,hs_entropy,1.0,0.6607142857142857
3,hs_entropy,10.0,0.638095238095238
3,hs_entropy,25.0,0.6154761904761905
3,hs_entropy,50.0,0.5845238095238096
3,hs_entropy,100.0,0.5297619047619048
3,hs_log_cardinality,0.0,0.657142857142857
3,hs_log_cardinality,0.1,0.6607142857142857
3,hs_log_cardinality,1.0,0.6607142857142857
3,hs_log_cardinality,10.0,0.6416666666666666
3,hs_log_cardinality,25.0,0.6107142857142858
3,hs_log_cardinality,50.0,0.5714285714285715
3,hs_log_cardinality,100.0,0.5
3,hs_permutation,0.0,0.657142857142857
3,hs_permutation,0.1,0.6392857142857142
3,hs_permutation,1.0,0.6428571428571428
3,hs_permutation,10.0,0.6166666666666667
3,hs_permutation,25.0,0.6107142857142858
3,hs_permutation,50.0,0.5809523809523809
3,hs_permutation,100.0,0.5464285714285714
3,hs_global_permutation,0.0,0.657142857142857
3,hs_global_permutation,0.1,0.6595238095238095
3,hs_global_permutation,1.0,0.6428571428571428
3,hs_global_permutation,10.0,0.6214285714285714
3,hs_global_permutation,25.0,0.6107142857142858
3,hs_global_permutation,50.0,0.5726190476190476
3,hs_global_permutation,100.0,0.5464285714285714
4,hs,0.0,0.6761904761904762
4,hs,0.1,0.6666666666666667
4,hs,1.0,0.6654761904761903
4,hs,10.0,0.6511904761904762
4,hs,25.0,0.6535714285714287
4,hs,50.0,0.6107142857142858
4,hs,100.0,0.5714285714285715
4,hs_entropy,0.0,0.6761904761904762
4,hs_entropy,0.1,0.6666666666666667
4,hs_entropy,1.0,0.6619047619047618
4,hs_entropy,10.0,0.661904761904762
4,hs_entropy,25.0,0.6238095238095238
4,hs_entropy,50.0,0.555952380952381
4,hs_entropy,100.0,0.5416666666666667
4,hs_log_cardinality,0.0,0.6761904761904762
4,hs_log_cardinality,0.1,0.6666666666666667
4,hs_log_cardinality,1.0,0.6619047619047618
4,hs_log_cardinality,10.0,0.661904761904762
4,hs_log_cardinality,25.0,0.6154761904761905
4,hs_log_cardinality,50.0,0.5511904761904762
4,hs_log_cardinality,100.0,0.525
4,hs_permutation,0.0,0.6761904761904762
4,hs_permutation,0.1,0.6535714285714287
4,hs_permutation,1.0,0.6535714285714287
4,hs_permutation,10.0,0.6285714285714287
4,hs_permutation,25.0,0.6154761904761905
4,hs_permutation,50.0,0.569047619047619
4,hs_permutation,100.0,0.5297619047619048
4,hs_global_permutation,0.0,0.6761904761904762
4,hs_global_permutation,0.1,0.6511904761904762
4,hs_global_permutation,1.0,0.6535714285714287
4,hs_global_permutation,10.0,0.6404761904761904
4,hs_global_permutation,25.0,0.6023809523809524
4,hs_global_permutation,50.0,0.5773809523809524
4,hs_global_permutation,100.0,0.5297619047619048
5,hs,0.0,0.6821428571428572
5,hs,0.1,0.6654761904761903
5,hs,1.0,0.6690476190476189
5,hs,10.0,0.655952380952381
5,hs,25.0,0.6499999999999999
5,hs,50.0,0.6321428571428571
5,hs,100.0,0.5833333333333333
5,hs_entropy,0.0,0.6821428571428572
5,hs_entropy,0.1,0.6654761904761903
5,hs_entropy,1.0,0.6607142857142857
5,hs_entropy,10.0,0.6547619047619048
5,hs_entropy,25.0,0.6214285714285714
5,hs_entropy,50.0,0.6011904761904762
5,hs_entropy,100.0,0.525
5,hs_log_cardinality,0.0,0.6821428571428572
5,hs_log_cardinality,0.1,0.6654761904761903
5,hs_log_cardinality,1.0,0.657142857142857
5,hs_log_cardinality,10.0,0.6547619047619048
5,hs_log_cardinality,25.0,0.6202380952380953
5,hs_log_cardinality,50.0,0.6
5,hs_log_cardinality,100.0,0.5083333333333333
5,hs_permutation,0.0,0.6821428571428572
5,hs_permutation,0.1,0.6488095238095237
5,hs_permutation,1.0,0.6547619047619048
5,hs_permutation,10.0,0.6404761904761904
5,hs_permutation,25.0,0.6321428571428571
5,hs_permutation,50.0,0.6095238095238096
5,hs_permutation,100.0,0.5333333333333333
5,hs_global_permutation,0.0,0.6821428571428572
5,hs_global_permutation,0.1,0.657142857142857
5,hs_global_permutation,1.0,0.6476190476190476
5,hs_global_permutation,10.0,0.6333333333333333
5,hs_global_permutation,25.0,0.6285714285714287
5,hs_global_permutation,50.0,0.5964285714285714
5,hs_global_permutation,100.0,0.5333333333333333
6,hs,0.0,0.6654761904761903
6,hs,0.1,0.6654761904761903
6,hs,1.0,0.6642857142857144
6,hs,10.0,0.6464285714285714
6,hs,25.0,0.5833333333333333
6,hs,50.0,0.5738095238095238
6,hs,100.0,0.544047619047619
6,hs_entropy,0.0,0.6654761904761903
6,hs_entropy,0.1,0.6654761904761903
6,hs_entropy,1.0,0.6607142857142857
6,hs_entropy,10.0,0.6083333333333334
6,hs_entropy,25.0,0.5773809523809524
6,hs_entropy,50.0,0.555952380952381
6,hs_entropy,100.0,0.5130952380952382
6,hs_log_cardinality,0.0,0.6654761904761903
6,hs_log_cardinality,0.1,0.6654761904761903
6,hs_log_cardinality,1.0,0.6607142857142857
6,hs_log_cardinality,10.0,0.6
6,hs_log_cardinality,25.0,0.569047619047619
6,hs_log_cardinality,50.0,0.5392857142857143
6,hs_log_cardinality,100.0,0.5083333333333333
6,hs_permutation,0.0,0.6654761904761903
6,hs_permutation,0.1,0.638095238095238
6,hs_permutation,1.0,0.6
6,hs_permutation,10.0,0.5785714285714285
6,hs_permutation,25.0,0.5523809523809524
6,hs_permutation,50.0,0.544047619047619
6,hs_permutation,100.0,0.5142857142857143
6,hs_global_permutation,0.0,0.6654761904761903
6,hs_global_permutation,0.1,0.6214285714285714
6,hs_global_permutation,1.0,0.6130952380952381
6,hs_global_permutation,10.0,0.5785714285714285
6,hs_global_permutation,25.0,0.5654761904761905
6,hs_global_permutation,50.0,0.5523809523809524
6,hs_global_permutation,100.0,0.5059523809523809
7,hs,0.0,0.5702380952380952
7,hs,0.1,0.5702380952380952
7,hs,1.0,0.5773809523809523
7,hs,10.0,0.575
