replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.5801630434782609
0,hs,0.1,0.5801630434782609
0,hs,1.0,0.5801630434782609
0,hs,10.0,0.5815217391304348
0,hs,25.0,0.5190217391304348
0,hs,50.0,0.5095108695652174
0,hs,100.0,0.5
0,hs_entropy,0.0,0.5801630434782609
0,hs_entropy,0.1,0.5801630434782609
0,hs_entropy,1.0,0.5801630434782609
0,hs_entropy,10.0,0.5502717391304348
0,hs_entropy,25.0,0.5095108695652174
0,hs_entropy,50.0,0.5
0,hs_entropy,100.0,0.5
0,hs_log_cardinality,0.0,0.5801630434782609
0,hs_log_cardinality,0.1,0.5801630434782609
0,hs_log_cardinality,1.0,0.5801630434782609
0,hs_log_cardinality,10.0,0.5611413043478262
0,hs_log_cardinality,25.0,0.4891304347826087
0,hs_log_cardinality,50.0,0.5
0,hs_log_cardinality,100.0,0.5
0,hs_permutation,0.0,0.5801630434782609
0,hs_permutation,0.1,0.5815217391304348
0,hs_permutation,1.0,0.5815217391304348
0,hs_permutation,10.0,0.5502717391304348
0,hs_permutation,25.0,0.5095108695652174
0,hs_permutation,50.0,0.5
0,hs_permutation,100.0,0.5
0,hs_global_permutation,0.0,0.5801630434782609
0,hs_global_permutation,0.1,0.5815217391304348
0,hs_global_permutation,1.0,0.5815217391304348
0,hs_global_permutation,10.0,0.5502717391304348
0,hs_global_permutation,25.0,0.5095108695652174
0,hs_global_permutation,50.0,0.5
0,hs_global_permutation,100.0,0.5
1,hs,0.0,0.48641304347826086
1,hs,0.1,0.4972826086956521
1,hs,1.0,0.5285326086956521
1,hs,10.0,0.5394021739130435
1,hs,25.0,0.4986413043478261
1,hs,50.0,0.4891304347826087
1,hs,100.0,0.5
1,hs_entropy,0.0,0.48641304347826086
1,hs_entropy,0.1,0.4972826086956521
1,hs_entropy,1.0,0.5285326086956521
1,hs_entropy,10.0,0.48777173913043476
1,hs_entropy,25.0,0.4891304347826087
1,hs_entropy,50.0,0.5
1,hs_entropy,100.0,0.5
1,hs_log_cardinality,0.0,0.48641304347826086
1,hs_log_cardinality,0.1,0.4972826086956521
1,hs_log_cardinality,1.0,0.5285326086956521
1,hs_log_cardinality,10.0,0.4782608695652174
1,hs_log_cardinality,25.0,0.5
1,hs_log_cardinality,50.0,0.5
1,hs_log_cardinality,100.0,0.5
1,hs_permutation,0.0,0.48641304347826086
1,hs_permutation,0.1,0.5285326086956521
1,hs_permutation,1.0,0.5502717391304348
1,hs_permutation,10.0,0.5407608695652174
1,hs_permutation,25.0,0.4891304347826087
1,hs_permutation,50.0,0.5
1,hs_permutation,100.0,0.5
1,hs_global_permutation,0.0,0.48641304347826086
1,hs_global_permutation,0.1,0.5081521739130435
1,hs_global_permutation,1.0,0.5394021739130435
1,hs_global_permutation,10.0,0.5298913043478262
1,hs_global_permutation,25.0,0.4891304347826087
1,hs_global_permutation,50.0,0.5
1,hs_global_permutation,100.0,0.5
2,hs,0.0,0.5176630434782609
2,hs,0.1,0.5285326086956521
2,hs,1.0,0.5285326086956521
2,hs,10.0,0.5516304347826086
2,hs,25.0,0.5203804347826088
2,hs,50.0,0.53125
2,hs,100.0,0.5
2,hs_entropy,0.0,0.5176630434782609
2,hs_entropy,0.1,0.5285326086956521
2,hs_entropy,1.0,0.5285326086956521
2,hs_entropy,10.0,0.5203804347826088
2,hs_entropy,25.0,0.53125
2,hs_entropy,50.0,0.5
2,hs_entropy,100.0,0.5
2,hs_log_cardinality,0.0,0.5176630434782609
2,hs_log_cardinality,0.1,0.5285326086956521
2,hs_log_cardinality,1.0,0.5285326086956521
2,hs_log_cardinality,10.0,0.5203804347826088
2,hs_log_cardinality,25.0,0.5
2,hs_log_cardinality,50.0,0.5
2,hs_log_cardinality,100.0,0.5
2,hs_permutation,0.0,0.5176630434782609
2,hs_permutation,0.1,0.5611413043478262
2,hs_permutation,1.0,0.5720108695652174
2,hs_permutation,10.0,0.5407608695652174
2,hs_permutation,25.0,0.5203804347826088
2,hs_permutation,50.0,0.5
2,hs_permutation,100.0,0.5
2,hs_global_permutation,0.0,0.5176630434782609
2,hs_global_permutation,0.1,0.5720108695652174
2,hs_global_permutation,1.0,0.5720108695652174
2,hs_global_permutation,10.0,0.5516304347826086
2,hs_global_permutation,25.0,0.5203804347826088
2,hs_global_permutation,50.0,0.5
2,hs_global_permutation,100.0,0.5
3,hs,0.0,0.5271739130434783
3,hs,0.1,0.5380434782608696
3,hs,1.0,0.5380434782608696
3,hs,10.0,0.5502717391304348
3,hs,25.0,0.5407608695652174
3,hs,50.0,0.53125
3,hs,100.0,0.5
3,hs_entropy,0.0,0.5271739130434783
3,hs_entropy,0.1,0.5380434782608696
3,hs_entropy,1.0,0.5380434782608696
3,hs_entropy,10.0,0.5190217391304348
3,hs_entropy,25.0,0.53125
3,hs_entropy,50.0,0.5
3,hs_entropy,100.0,0.5
3,hs_log_cardinality,0.0,0.5271739130434783
3,hs_log_cardinality,0.1,0.5380434782608696
3,hs_log_cardinality,1.0,0.5380434782608696
3,hs_log_cardinality,10.0,0.53125
3,hs_log_cardinality,25.0,0.5
3,hs_log_cardinality,50.0,0.5
3,hs_log_cardinality,100.0,0.5
3,hs_permutation,0.0,0.5271739130434783
3,hs_permutation,0.1,0.5271739130434783
3,hs_permutation,1.0,0.5271739130434783
3,hs_permutation,10.0,0.5176630434782609
3,hs_permutation,25.0,0.5516304347826086
3,hs_permutation,50.0,0.5
