replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.7250000000000001
0,hs,0.1,0.7458333333333333
0,hs,1.0,0.7666666666666666
0,hs,10.0,0.7833333333333333
0,hs,25.0,0.7833333333333333
0,hs,50.0,0.7625000000000001
0,hs,100.0,0.7416666666666668
0,hs_entropy,0.0,0.7250000000000001
0,hs_entropy,0.1,0.7458333333333333
0,hs_entropy,1.0,0.7666666666666666
0,hs_entropy,10.0,0.7833333333333333
0,hs_entropy,25.0,0.7833333333333333
0,hs_entropy,50.0,0.7833333333333333
0,hs_entropy,100.0,0.7583333333333334
0,hs_log_cardinality,0.0,0.7250000000000001
0,hs_log_cardinality,0.1,0.7458333333333333
0,hs_log_cardinality,1.0,0.7458333333333333
0,hs_log_cardinality,10.0,0.7625000000000001
0,hs_log_cardinality,25.0,0.7833333333333333
0,hs_log_cardinality,50.0,0.8041666666666667
0,hs_log_cardinality,100.0,0.8208333333333334
0,hs_permutation,0.0,0.7250000000000001
0,hs_permutation,0.1,0.7666666666666666
0,hs_permutation,1.0,0.7833333333333333
0,hs_permutation,10.0,0.8041666666666667
0,hs_permutation,25.0,0.8041666666666667
0,hs_permutation,50.0,0.7625000000000001
0,hs_permutation,100.0,0.7416666666666668
0,hs_global_permutation,0.0,0.7250000000000001
0,hs_global_permutation,0.1,0.7833333333333333
0,hs_global_permutation,1.0,0.7833333333333333
0,hs_global_permutation,10.0,0.7833333333333333
0,hs_global_permutation,25.0,0.7833333333333333
0,hs_global_permutation,50.0,0.7625000000000001
0,hs_global_permutation,100.0,0.7416666666666668
1,hs,0.0,0.7791666666666666
1,hs,0.1,0.7791666666666666
1,hs,1.0,0.7958333333333334
1,hs,10.0,0.7958333333333334
1,hs,25.0,0.7958333333333334
1,hs,50.0,0.8125
1,hs,100.0,0.8291666666666667
1,hs_entropy,0.0,0.7791666666666666
1,hs_entropy,0.1,0.8
1,hs_entropy,1.0,0.8166666666666668
1,hs_entropy,10.0,0.8166666666666668
1,hs_entropy,25.0,0.8166666666666668
1,hs_entropy,50.0,0.8500000000000001
1,hs_entropy,100.0,0.8291666666666667
1,hs_log_cardinality,0.0,0.7791666666666666
1,hs_log_cardinality,0.1,0.8
1,hs_log_cardinality,1.0,0.8166666666666668
1,hs_log_cardinality,10.0,0.8166666666666668
1,hs_log_cardinality,25.0,0.8166666666666668
1,hs_log_cardinality,50.0,0.8500000000000001
1,hs_log_cardinality,100.0,0.8500000000000001
1,hs_permutation,0.0,0.7791666666666666
1,hs_permutation,0.1,0.8166666666666668
1,hs_permutation,1.0,0.8166666666666668
1,hs_permutation,10.0,0.7958333333333334
1,hs_permutation,25.0,0.8125
1,hs_permutation,50.0,0.8125
1,hs_permutation,100.0,0.825
1,hs_global_permutation,0.0,0.7791666666666666
1,hs_global_permutation,0.1,0.8166666666666668
1,hs_global_permutation,1.0,0.8166666666666668
1,hs_global_permutation,10.0,0.8166666666666668
1,hs_global_permutation,25.0,0.8125
1,hs_global_permutation,50.0,0.8125
1,hs_global_permutation,100.0,0.825
2,hs,0.0,0.8500000000000001
2,hs,0.1,0.8500000000000001
2,hs,1.0,0.8708333333333333
2,hs,10.0,0.8708333333333333
2,hs,25.0,0.8708333333333333
2,hs,50.0,0.8708333333333333
2,hs,100.0,0.9041666666666667
2,hs_entropy,0.0,0.8500000000000001
2,hs_entropy,0.1,0.8500000000000001
2,hs_entropy,1.0,0.8708333333333333
2,hs_entropy,10.0,0.9125000000000001
2,hs_entropy,25.0,0.8708333333333333
2,hs_entropy,50.0,0.8500000000000001
2,hs_entropy,100.0,0.825
2,hs_log_cardinality,0.0,0.8500000000000001
2,hs_log_cardinality,0.1,0.8500000000000001
