replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.9273913043478262
0,hs,0.1,0.9273913043478262
0,hs,1.0,0.9273913043478262
0,hs,10.0,0.9273913043478262
0,hs,25.0,0.9382608695652174
0,hs,50.0,0.9382608695652174
0,hs,100.0,0.9382608695652174
0,hs_entropy,0.0,0.9273913043478262
0,hs_entropy,0.1,0.9273913043478262
0,hs_entropy,1.0,0.9273913043478262
0,hs_entropy,10.0,0.9382608695652174
0,hs_entropy,25.0,0.9382608695652174
0,hs_entropy,50.0,0.9600000000000001
0,hs_entropy,100.0,0.64
0,hs_log_cardinality,0.0,0.9273913043478262
0,hs_log_cardinality,0.1,0.9273913043478262
0,hs_log_cardinality,1.0,0.9273913043478262
0,hs_log_cardinality,10.0,0.9382608695652174
0,hs_log_cardinality,25.0,0.9382608695652174
0,hs_log_cardinality,50.0,0.9600000000000001
0,hs_log_cardinality,100.0,0.62
0,hs_permutation,0.0,0.9273913043478262
0,hs_permutation,0.1,0.9273913043478262
0,hs_permutation,1.0,0.9273913043478262
0,hs_permutation,10.0,0.9382608695652174
0,hs_permutation,25.0,0.9382608695652174
0,hs_permutation,50.0,0.9382608695652174
0,hs_permutation,100.0,0.9382608695652174
0,hs_global_permutation,0.0,0.9273913043478262
0,hs_global_permutation,0.1,0.9273913043478262
0,hs_global_permutation,1.0,0.9273913043478262
0,hs_global_permutation,10.0,0.9382608695652174
0,hs_global_permutation,25.0,0.9382608695652174
0,hs_global_permutation,50.0,0.9382608695652174
0,hs_global_permutation,100.0,0.9382608695652174
1,hs,0.0,0.9382608695652174
1,hs,0.1,0.9382608695652174
1,hs,1.0,0.9382608695652174
1,hs,10.0,0.9382608695652174
1,hs,25.0,0.9382608695652174
1,hs,50.0,0.9491304347826087
1,hs,100.0,0.94
1,hs_entropy,0.0,0.9382608695652174
1,hs_entropy,0.1,0.9382608695652174
1,hs_entropy,1.0,0.9382608695652174
1,hs_entropy,10.0,0.9600000000000001
1,hs_entropy,25.0,0.94
1,hs_entropy,50.0,0.9
1,hs_entropy,100.0,0.6599999999999999
1,hs_log_cardinality,0.0,0.9382608695652174
1,hs_log_cardinality,0.1,0.9382608695652174
1,hs_log_cardinality,1.0,0.9382608695652174
1,hs_log_cardinality,10.0,0.9600000000000001
1,hs_log_cardinality,25.0,0.94
1,hs_log_cardinality,50.0,0.9
1,hs_log_cardinality,100.0,0.5800000000000001
1,hs_permutation,0.0,0.9382608695652174
1,hs_permutation,0.1,0.9491304347826087
1,hs_permutation,1.0,0.9491304347826087
1,hs_permutation,10.0,0.9382608695652174
1,hs_permutation,25.0,0.9491304347826087
1,hs_permutation,50.0,0.94
1,hs_permutation,100.0,0.94
1,hs_global_permutation,0.0,0.9382608695652174
1,hs_global_permutation,0.1,0.9491304347826087
1,hs_global_permutation,1.0,0.9491304347826087
1,hs_global_permutation,10.0,0.9382608695652174
1,hs_global_permutation,25.0,0.9491304347826087
1,hs_global_permutation,50.0,0.94
1,hs_global_permutation,100.0,0.94
2,hs,0.0,0.9291304347826087
2,hs,0.1,0.9291304347826087
2,hs,1.0,0.9291304347826087
2,hs,10.0,0.9291304347826087
2,hs,25.0,0.9291304347826087
2,hs,50.0,0.9291304347826087
2,hs,100.0,0.9291304347826087
2,hs_entropy,0.0,0.9291304347826087
2,hs_entropy,0.1,0.9291304347826087
2,hs_entropy,1.0,0.9291304347826087
2,hs_entropy,10.0,0.9291304347826087
2,hs_entropy,25.0,0.9291304347826087
2,hs_entropy,50.0,0.9199999999999999
2,hs_entropy,100.0,0.74
2,hs_log_cardinality,0.0,0.9291304347826087
2,hs_log_cardinality,0.1,0.9291304347826087
2,hs_log_cardinality,1.0,0.9291304347826087
2,hs_log_cardinality,10.0,0.9291304347826087
2,hs_log_cardinality,25.0,0.9291304347826087
2,hs_log_cardinality,50.0,0.9
2,hs_log_cardinality,100.0,0.64
2,hs_permutation,0.0,0.9291304347826087
2,hs_permutation,0.1,0.9291304347826087
2,hs_permutation,1.0,0.9291304347826087
2,hs_permutation,10.0,0.9291304347826087
2,hs_permutation,25.0,0.9291304347826087
2,hs_permutation,50.0,0.9291304347826087
2,hs_permutation,100.0,0.9291304347826087
2,hs_global_permutation,0.0,0.9291304347826087
2,hs_global_permutation,0.1,0.9291304347826087
2,hs_global_permutation,1.0,0.9291304347826087
2,hs_global_permutation,10.0,0.9291304347826087
2,hs_global_permutation,25.0,0.9291304347826087
2,hs_global_permutation,50.0,0.9291304347826087
2,hs_global_permutation,100.0,0.9291304347826087
3,hs,0.0,0.8765217391304347
3,hs,0.1,0.8765217391304347
3,hs,1.0,0.8765217391304347
3,hs,10.0,0.8965217391304349
3,hs,25.0,0.8965217391304349
3,hs,50.0,0.8873913043478261
3,hs,100.0,0.9091304347826086
3,hs_entropy,0.0,0.8765217391304347
3,hs_entropy,0.1,0.8765217391304347
3,hs_entropy,1.0,0.8765217391304347
3,hs_entropy,10.0,0.9091304347826086
3,hs_entropy,25.0,0.9
3,hs_entropy,50.0,0.84
3,hs_entropy,100.0,0.62
3,hs_log_cardinality,0.0,0.8765217391304347
3,hs_log_cardinality,0.1,0.8765217391304347
3,hs_log_cardinality,1.0,0.8765217391304347
3,hs_log_cardinality,10.0,0.9091304347826086
3,hs_log_cardinality,25.0,0.88
3,hs_log_cardinality,50.0,0.84
3,hs_log_cardinality,100.0,0.56
3,hs_permutation,0.0,0.8765217391304347
3,hs_permutation,0.1,0.8873913043478261
3,hs_permutation,1.0,0.8873913043478261
3,hs_permutation,10.0,0.8873913043478261
3,hs_permutation,25.0,0.8873913043478261
3,hs_permutation,50.0,0.9091304347826086
3,hs_permutation,100.0,0.88
3,hs_global_permutation,0.0,0.8765217391304347
3,hs_global_permutation,0.1,0.8873913043478261
3,hs_global_permutation,1.0,0.8873913043478261
3,hs_global_permutation,10.0,0.8873913043478261
3,hs_global_permutation,25.0,0.9091304347826086
3,hs_global_permutation,50.0,0.9091304347826086
3,hs_global_permutation,100.0,0.88
4,hs,0.0,0.9891304347826086
4,hs,0.1,0.9891304347826086
4,hs,1.0,0.9891304347826086
4,hs,10.0,0.9891304347826086
4,hs,25.0,0.9691304347826086
4,hs,50.0,0.9691304347826086
4,hs,100.0,0.9691304347826086
4,hs_entropy,0.0,0.9891304347826086
4,hs_entropy,0.1,0.9891304347826086
4,hs_entropy,1.0,0.9891304347826086
4,hs_entropy,10.0,0.9691304347826086
4,hs_entropy,25.0,0.9691304347826086
4,hs_entropy,50.0,0.9291304347826087
4,hs_entropy,100.0,0.64
4,hs_log_cardinality,0.0,0.9891304347826086
4,hs_log_cardinality,0.1,0.9891304347826086
4,hs_log_cardinality,1.0,0.9891304347826086
4,hs_log_cardinality,10.0,0.9691304347826086
4,hs_log_cardinality,25.0,0.9691304347826086
4,hs_log_cardinality,50.0,0.8691304347826087
4,hs_log_cardinality,100.0,0.6
4,hs_permutation,0.0,0.9891304347826086
4,hs_permutation,0.1,0.9691304347826086
4,hs_permutation,1.0,0.9691304347826086
4,hs_permutation,10.0,0.9891304347826086
4,hs_permutation,25.0,0.9691304347826086
4,hs_permutation,50.0,0.9691304347826086
4,hs_permutation,100.0,0.9691304347826086
4,hs_global_permutation,0.0,0.9891304347826086
4,hs_global_permutation,0.1,0.9891304347826086
4,hs_global_permutation,1.0,0.9891304347826086
4,hs_global_permutation,10.0,0.9891304347826086
4,hs_global_permutation,25.0,0.9691304347826086
4,hs_global_permutation,50.0,0.9691304347826086
4,hs_global_permutation,100.0,0.9691304347826086
5,hs,0.0,0.9382608695652174
5,hs,0.1,0.9382608695652174
5,hs,1.0,0.9382608695652174
5,hs,10.0,0.9382608695652174
5,hs,25.0,0.9382608695652174
5,hs,50.0,0.9182608695652175
5,hs,100.0,0.8982608695652174
5,hs_entropy,0.0,0.9382608695652174
5,hs_entropy,0.1,0.9382608695652174
5,hs_entropy,1.0,0.9382608695652174
5,hs_entropy,10.0,0.9182608695652175
5,hs_entropy,25.0,0.8982608695652174
5,hs_entropy,50.0,0.8691304347826087
5,hs_entropy,100.0,0.6599999999999999
5,hs_log_cardinality,0.0,0.9382608695652174
5,hs_log_cardinality,0.1,0.9382608695652174
5,hs_log_cardinality,1.0,0.9382608695652174
5,hs_log_cardinality,10.0,0.9182608695652175
5,hs_log_cardinality,25.0,0.9091304347826086
5,hs_log_cardinality,50.0,0.8691304347826087
5,hs_log_cardinality,100.0,0.62
5,hs_permutation,0.0,0.9382608695652174
5,hs_permutation,0.1,0.9273913043478262
5,hs_permutation,1.0,0.9273913043478262
5,hs_permutation,10.0,0.9273913043478262
5,hs_permutation,25.0,0.9273913043478262
5,hs_permutation,50.0,0.9182608695652175
5,hs_permutation,100.0,0.8982608695652174
5,hs_global_permutation,0.0,0.9382608695652174
5,hs_global_permutation,0.1,0.9273913043478262
5,hs_global_permutation,1.0,0.9273913043478262
5,hs_global_permutation,10.0,0.9273913043478262
5,hs_global_permutation,25.0,0.9382608695652174
5,hs_global_permutation,50.0,0.9182608695652175
5,hs_global_permutation,100.0,0.8982608695652174
6,hs,0.0,0.8673913043478262
6,hs,0.1,0.8782608695652174
6,hs,1.0,0.8782608695652174
6,hs,10.0,0.8891304347826087
6,hs,25.0,0.8891304347826087
6,hs,50.0,0.9
6,hs,100.0,0.88
6,hs_entropy,0.0,0.8673913043478262
6,hs_entropy,0.1,0.8782608695652174
6,hs_entropy,1.0,0.8782608695652174
6,hs_entropy,10.0,0.9
6,hs_entropy,25.0,0.88
6,hs_entropy,50.0,0.86
6,hs_entropy,100.0,0.6599999999999999
6,hs_log_cardinality,0.0,0.8673913043478262
6,hs_log_cardinality,0.1,0.8782608695652174
6,hs_log_cardinality,1.0,0.8782608695652174
6,hs_log_cardinality,10.0,0.9
6,hs_log_cardinality,25.0,0.88
6,hs_log_cardinality,50.0,0.86
6,hs_log_cardinality,100.0,0.62
6,hs_permutation,0.0,0.8673913043478262
6,hs_permutation,0.1,0.8891304347826087
6,hs_permutation,1.0,0.8891304347826087
6,hs_permutation,10.0,0.8891304347826087
6,hs_permutation,25.0,0.8891304347826087
6,hs_permutation,50.0,0.88
6,hs_permutation,100.0,0.88
