replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.7010390968353293
0,hs,0.1,0.706193736010587
0,hs,1.0,0.7010390968353293
0,hs,10.0,0.7018314898622707
0,hs,25.0,0.6871599653634388
0,hs,50.0,0.6732808338915484
0,hs,100.0,0.6550394562713415
0,hs_entropy,0.0,0.7010390968353293
0,hs_entropy,0.1,0.706193736010587
0,hs_entropy,1.0,0.7010390968353293
0,hs_entropy,10.0,0.7018314898622707
0,hs_entropy,25.0,0.6871599653634388
0,hs_entropy,50.0,0.6732808338915484
0,hs_entropy,100.0,0.6550394562713415
0,hs_log_cardinality,0.0,0.7010390968353293
0,hs_log_cardinality,0.1,0.7054013429836457
0,hs_log_cardinality,1.0,0.7010390968353293
0,hs_log_cardinality,10.0,0.7018314898622707
0,hs_log_cardinality,25.0,0.6915222115117551
0,hs_log_cardinality,50.0,0.6879523583903802
0,hs_log_cardinality,100.0,0.6732808338915484
0,hs_permutation,0.0,0.7010390968353293
0,hs_permutation,0.1,0.709763589131962
0,hs_permutation,1.0,0.7054013429836457
0,hs_permutation,10.0,0.6907298184848137
0,hs_permutation,25.0,0.6820053261881811
0,hs_permutation,50.0,0.6732808338915484
0,hs_permutation,100.0,0.6498848170960838
0,hs_global_permutation,0.0,0.7010390968353293
0,hs_global_permutation,0.1,0.7105559821589034
0,hs_global_permutation,1.0,0.706193736010587
0,hs_global_permutation,10.0,0.6974692437139542
0,hs_global_permutation,25.0,0.6820053261881811
0,hs_global_permutation,50.0,0.678435473066806
0,hs_global_permutation,100.0,0.6447301779208262
1,hs,0.0,0.7276046857385593
1,hs,0.1,0.7319669318868757
1,hs,1.0,0.726812292711618
1,hs,10.0,0.6974692437139542
1,hs,25.0,0.6887447514173215
1,hs,50.0,0.6609864884735406
1,hs,100.0,0.6272811933275606
1,hs_entropy,0.0,0.7276046857385593
1,hs_entropy,0.1,0.7319669318868757
1,hs_entropy,1.0,0.726812292711618
1,hs_entropy,10.0,0.6974692437139542
1,hs_entropy,25.0,0.6827977192151224
1,hs_entropy,50.0,0.6609864884735406
1,hs_entropy,100.0,0.6324358325028182
1,hs_log_cardinality,0.0,0.7276046857385593
1,hs_log_cardinality,0.1,0.7319669318868757
1,hs_log_cardinality,1.0,0.7319669318868757
1,hs_log_cardinality,10.0,0.7026238828892121
1,hs_log_cardinality,25.0,0.6871599653634388
1,hs_log_cardinality,50.0,0.6748656199454311
1,hs_log_cardinality,100.0,0.6360056856241932
1,hs_permutation,0.0,0.7276046857385593
1,hs_permutation,0.1,0.712140768212786
1,hs_permutation,1.0,0.7069861290375283
1,hs_permutation,10.0,0.6923146045386965
1,hs_permutation,25.0,0.6748656199454311
1,hs_permutation,50.0,0.6514696031499665
1,hs_permutation,100.0,0.6118172758017874
1,hs_global_permutation,0.0,0.7276046857385593
1,hs_global_permutation,0.1,0.7165030143611024
1,hs_global_permutation,1.0,0.7026238828892121
1,hs_global_permutation,10.0,0.6915222115117551
1,hs_global_permutation,25.0,0.6748656199454311
1,hs_global_permutation,50.0,0.6514696031499665
1,hs_global_permutation,100.0,0.6118172758017874
2,hs,0.0,0.6835901122420638
2,hs,0.1,0.6887447514173215
2,hs,1.0,0.6879523583903802
2,hs,10.0,0.6835901122420638
2,hs,25.0,0.6697109807701734
2,hs,50.0,0.6601940954465992
2,hs,100.0,0.6352132925972519
2,hs_entropy,0.0,0.6835901122420638
2,hs_entropy,0.1,0.6887447514173215
2,hs_entropy,1.0,0.6879523583903802
2,hs_entropy,10.0,0.6835901122420638
2,hs_entropy,25.0,0.6637639485679744
2,hs_entropy,50.0,0.6601940954465992
2,hs_entropy,100.0,0.6352132925972519
2,hs_log_cardinality,0.0,0.6835901122420638
2,hs_log_cardinality,0.1,0.6887447514173215
2,hs_log_cardinality,1.0,0.6879523583903802
2,hs_log_cardinality,10.0,0.6827977192151224
2,hs_log_cardinality,25.0,0.6792278660937475
2,hs_log_cardinality,50.0,0.6653487346218571
2,hs_log_cardinality,100.0,0.6506772101230252
