replication,shrink_mode,lambda,ROC AUC
0,hs,0.0,0.638659477168794
0,hs,0.1,0.6394955975701317
0,hs,1.0,0.6482833936250085
0,hs,10.0,0.6814551907719609
0,hs,25.0,0.699610948058153
0,hs,50.0,0.6995597570131731
0,hs,100.0,0.7038427411098218
0,hs_entropy,0.0,0.638659477168794
0,hs_entropy,0.1,0.6378233567674563
0,hs_entropy,1.0,0.6506893727390621
0,hs_entropy,10.0,0.6862159579550884
0,hs_entropy,25.0,0.7004470684594909
0,hs_entropy,50.0,0.7004470684594909
0,hs_entropy,100.0,0.7013855709507884
0,hs_log_cardinality,0.0,0.638659477168794
0,hs_log_cardinality,0.1,0.6378233567674563
0,hs_log_cardinality,1.0,0.650740563784042
0,hs_log_cardinality,10.0,0.6813528086820012
0,hs_log_cardinality,25.0,0.6981434714353969
0,hs_log_cardinality,50.0,0.7054637908675175
0,hs_log_cardinality,100.0,0.7014879530407481
0,hs_permutation,0.0,0.638659477168794
0,hs_permutation,0.1,0.6831786226196165
0,hs_permutation,1.0,0.6902941778718177
0,hs_permutation,10.0,0.7020169271722068
0,hs_permutation,25.0,0.7055149819124975
0,hs_permutation,50.0,0.7065046754487748
0,hs_permutation,100.0,0.7073919868950924
0,hs_global_permutation,0.0,0.638659477168794
0,hs_global_permutation,0.1,0.6744420176097194
0,hs_global_permutation,1.0,0.6846972902873523
0,hs_global_permutation,10.0,0.6971025868541397
0,hs_global_permutation,25.0,0.7005494505494505
0,hs_global_permutation,50.0,0.6989284007917548
0,hs_global_permutation,100.0,0.7039963142447615
1,hs,0.0,0.634120537847246
1,hs,0.1,0.6341717288922257
1,hs,1.0,0.6437956453484404
1,hs,10.0,0.663623643437308
1,hs,25.0,0.6788956385229677
1,hs,50.0,0.6755511569176167
1,hs,100.0,0.6762337041840147
1,hs_entropy,0.0,0.634120537847246
1,hs_entropy,0.1,0.633335608490888
1,hs_entropy,1.0,0.6445805747047982
1,hs_entropy,10.0,0.6726162036721043
1,hs_entropy,25.0,0.675755921097536
1,hs_entropy,50.0,0.673093986758583
1,hs_entropy,100.0,0.675346392737697
1,hs_log_cardinality,0.0,0.634120537847246
1,hs_log_cardinality,0.1,0.633335608490888
1,hs_log_cardinality,1.0,0.6437956453484404
1,hs_log_cardinality,10.0,0.6686403658453347
1,hs_log_cardinality,25.0,0.6772233977202923
1,hs_log_cardinality,50.0,0.6715753190908471
1,hs_log_cardinality,100.0,0.6695447409733124
1,hs_permutation,0.0,0.634120537847246
1,hs_permutation,0.1,0.6572418264964849
