replication,shrink_mode,lambda,MSE
0,hs,0.0,8.733253588516746
0,hs,0.1,8.63821637093147
0,hs,1.0,7.9945483986650565
0,hs,10.0,6.072288401028084
0,hs,25.0,5.327870740535712
0,hs,50.0,4.935608654657176
0,hs,100.0,4.71860165986204
0,hs_entropy,0.0,8.733253588516746
0,hs_entropy,0.1,8.579890378963126
0,hs_entropy,1.0,7.580295415411655
0,hs_entropy,10.0,5.304527398351695
0,hs_entropy,25.0,4.829424519797534
0,hs_entropy,50.0,4.757999107061585
0,hs_entropy,100.0,4.926316091764299
0,hs_log_cardinality,0.0,8.733253588516746
0,hs_log_cardinality,0.1,8.583836968357575
0,hs_log_cardinality,1.0,7.589745650275743
0,hs_log_cardinality,10.0,5.2836555304218775
0,hs_log_cardinality,25.0,4.815624308753153
0,hs_log_cardinality,50.0,4.758361945043061
0,hs_log_cardinality,100.0,4.949953327339486
0,hs_permutation,0.0,8.733253588516746
0,hs_permutation,0.1,7.547787835973947
0,hs_permutation,1.0,6.823350496377152
0,hs_permutation,10.0,5.298444117236008
0,hs_permutation,25.0,4.8990484634786435
0,hs_permutation,50.0,4.727028512880572
0,hs_permutation,100.0,4.658188886887135
0,hs_global_permutation,0.0,8.733253588516746
0,hs_global_permutation,0.1,7.413229194674066
0,hs_global_permutation,1.0,6.7185588066235
0,hs_global_permutation,10.0,5.355323386474051
0,hs_global_permutation,25.0,4.962061271112982
0,hs_global_permutation,50.0,4.777158020328551
0,hs_global_permutation,100.0,4.693957915739146
1,hs,0.0,8.522727272727273
1,hs,0.1,8.455951472916713
1,hs,1.0,7.996512957844303
1,hs,10.0,6.566446517173678
1,hs,25.0,6.015938530755825
1,hs,50.0,5.7540047230067755
1,hs,100.0,5.643538091928469
1,hs_entropy,0.0,8.522727272727273
1,hs_entropy,0.1,8.408299264632538
1,hs_entropy,1.0,7.659893518920753
1,hs_entropy,10.0,6.02066301194431
1,hs_entropy,25.0,5.749531102825698
1,hs_entropy,50.0,5.770798235448333
1,hs_entropy,100.0,6.001640062323414
1,hs_log_cardinality,0.0,8.522727272727273
1,hs_log_cardinality,0.1,8.409388119226579
1,hs_log_cardinality,1.0,7.657977167045267
1,hs_log_cardinality,10.0,5.993307862712064
1,hs_log_cardinality,25.0,5.731247586763987
1,hs_log_cardinality,50.0,5.773317414922092
1,hs_log_cardinality,100.0,6.038364727099327
1,hs_permutation,0.0,8.522727272727273
1,hs_permutation,0.1,8.051087978162832
1,hs_permutation,1.0,7.576129051461482
1,hs_permutation,10.0,6.30024028218567
1,hs_permutation,25.0,5.898379765971621
1,hs_permutation,50.0,5.734035516908686
1,hs_permutation,100.0,5.68489156807586
1,hs_global_permutation,0.0,8.522727272727273
1,hs_global_permutation,0.1,7.737171674639812
1,hs_global_permutation,1.0,7.221446029552685
1,hs_global_permutation,10.0,6.1163639213743295
