replication,shrink_mode,lambda,MSE
0,hs,0.0,0.4985459200186047
0,hs,0.1,0.4943261686500516
0,hs,1.0,0.4654560471878285
0,hs,10.0,0.37831537350202715
0,hs,25.0,0.3466941621341474
0,hs,50.0,0.3336424251011607
0,hs,100.0,0.3327782588672954
0,hs_entropy,0.0,0.4985459200186047
0,hs_entropy,0.1,0.49094360343193383
0,hs_entropy,1.0,0.4416325833417174
0,hs_entropy,10.0,0.33908364746659536
0,hs_entropy,25.0,0.33054060534288615
0,hs_entropy,50.0,0.3456324812953533
0,hs_entropy,100.0,0.3803728990153488
0,hs_log_cardinality,0.0,0.4985459200186047
0,hs_log_cardinality,0.1,0.49110939758931943
0,hs_log_cardinality,1.0,0.44212926802117447
0,hs_log_cardinality,10.0,0.33892889524664904
0,hs_log_cardinality,25.0,0.3312706752667149
0,hs_log_cardinality,50.0,0.34746983572896356
0,hs_log_cardinality,100.0,0.3834415078319656
0,hs_permutation,0.0,0.4985459200186047
0,hs_permutation,0.1,0.4586622701427848
0,hs_permutation,1.0,0.42923779565268694
0,hs_permutation,10.0,0.36085147093661146
0,hs_permutation,25.0,0.34078992195152613
0,hs_permutation,50.0,0.3348248671697371
0,hs_permutation,100.0,0.3386308353969205
0,hs_global_permutation,0.0,0.4985459200186047
0,hs_global_permutation,0.1,0.4541009344801964
0,hs_global_permutation,1.0,0.4196663492032721
0,hs_global_permutation,10.0,0.3552308736682675
0,hs_global_permutation,25.0,0.33759697520209714
0,hs_global_permutation,50.0,0.33281778060799155
0,hs_global_permutation,100.0,0.3374388169469391
1,hs,0.0,0.5030286224116037
1,hs,0.1,0.49907055605812095
1,hs,1.0,0.47148814506072445
1,hs,10.0,0.3821258900132114
1,hs,25.0,0.3483064908953404
1,hs,50.0,0.3358335422922203
1,hs,100.0,0.3385134026757618
1,hs_entropy,0.0,0.5030286224116037
1,hs_entropy,0.1,0.4956127022046115
1,hs_entropy,1.0,0.4468870206248297
1,hs_entropy,10.0,0.34368238514387256
1,hs_entropy,25.0,0.3397059249998736
1,hs_entropy,50.0,0.36111387151134644
1,hs_entropy,100.0,0.4022524540318515
1,hs_log_cardinality,0.0,0.5030286224116037
1,hs_log_cardinality,0.1,0.495717798435753
1,hs_log_cardinality,1.0,0.44712755385798497
1,hs_log_cardinality,10.0,0.3436432082625215
1,hs_log_cardinality,25.0,0.34063211738427956
1,hs_log_cardinality,50.0,0.3630421603416917
1,hs_log_cardinality,100.0,0.40511991814391235
1,hs_permutation,0.0,0.5030286224116037
1,hs_permutation,0.1,0.46613750346950106
1,hs_permutation,1.0,0.4338631939635721
1,hs_permutation,10.0,0.35971253006796927
1,hs_permutation,25.0,0.3399667404352541
1,hs_permutation,50.0,0.337105872482841
1,hs_permutation,100.0,0.34625971756818874
1,hs_global_permutation,0.0,0.5030286224116037
1,hs_global_permutation,0.1,0.46817473947956434
1,hs_global_permutation,1.0,0.43512348677244717
1,hs_global_permutation,10.0,0.35887467496538755
1,hs_global_permutation,25.0,0.3393135626107516
1,hs_global_permutation,50.0,0.3368190848387874
1,hs_global_permutation,100.0,0.34634066754613163
2,hs,0.0,0.5026605847083818
2,hs,0.1,0.4990674611059274
2,hs,1.0,0.47388864197548247
2,hs,10.0,0.3880719493092575
2,hs,25.0,0.35201437304357347
2,hs,50.0,0.33506463676847165
2,hs,100.0,0.3311131483128335
2,hs_entropy,0.0,0.5026605847083818
2,hs_entropy,0.1,0.4955636590188894
2,hs_entropy,1.0,0.448548487367429
2,hs_entropy,10.0,0.34107195480077407
2,hs_entropy,25.0,0.3288129393023869
2,hs_entropy,50.0,0.34287837219593803
2,hs_entropy,100.0,0.3777268562056523
2,hs_log_cardinality,0.0,0.5026605847083818
2,hs_log_cardinality,0.1,0.49562040855209755
2,hs_log_cardinality,1.0,0.44844533751917065
2,hs_log_cardinality,10.0,0.3406010388729034
2,hs_log_cardinality,25.0,0.32940886177711187
2,hs_log_cardinality,50.0,0.3445800327157258
2,hs_log_cardinality,100.0,0.3806140038820609
2,hs_permutation,0.0,0.5026605847083818
2,hs_permutation,0.1,0.4724269350035958
2,hs_permutation,1.0,0.44200864402809964
2,hs_permutation,10.0,0.3658757750507217
2,hs_permutation,25.0,0.3412573052366392
2,hs_permutation,50.0,0.3327613385488261
2,hs_permutation,100.0,0.33518468455734896
2,hs_global_permutation,0.0,0.5026605847083818
2,hs_global_permutation,0.1,0.4741536855254006
2,hs_global_permutation,1.0,0.44021728173553953
2,hs_global_permutation,10.0,0.3640273948678503
2,hs_global_permutation,25.0,0.3402524298179923
2,hs_global_permutation,50.0,0.332104390587057
2,hs_global_permutation,100.0,0.3348676058195444
3,hs,0.0,0.5006914922182897
3,hs,0.1,0.49616701575038263
3,hs,1.0,0.4651908758021017
3,hs,10.0,0.37282115901135543
3,hs,25.0,0.3402134895071056
3,hs,50.0,0.3270264610697097
3,hs,100.0,0.3265747848308758
3,hs_entropy,0.0,0.5006914922182897
3,hs_entropy,0.1,0.49271617440770565
3,hs_entropy,1.0,0.4407528117802837
3,hs_entropy,10.0,0.33222069972090607
3,hs_entropy,25.0,0.3241255311941386
3,hs_entropy,50.0,0.34119134738842566
3,hs_entropy,100.0,0.378572469453001
3,hs_log_cardinality,0.0,0.5006914922182897
3,hs_log_cardinality,0.1,0.49285990944402686
3,hs_log_cardinality,1.0,0.44124657101603226
3,hs_log_cardinality,10.0,0.3324486771267961
3,hs_log_cardinality,25.0,0.32512308977142557
3,hs_log_cardinality,50.0,0.34315064257616523
3,hs_log_cardinality,100.0,0.381554532010522
3,hs_permutation,0.0,0.5006914922182897
3,hs_permutation,0.1,0.4439905760234055
3,hs_permutation,1.0,0.41279042832347707
3,hs_permutation,10.0,0.34598318786248905
3,hs_permutation,25.0,0.32855667814315054
3,hs_permutation,50.0,0.32478775229152124
3,hs_permutation,100.0,0.3308981123172669
3,hs_global_permutation,0.0,0.5006914922182897
3,hs_global_permutation,0.1,0.4471796543273405
3,hs_global_permutation,1.0,0.41165434370447346
3,hs_global_permutation,10.0,0.34451861270996914
3,hs_global_permutation,25.0,0.32718073279186627
3,hs_global_permutation,50.0,0.32361125363897314
3,hs_global_permutation,100.0,0.3299915961177429
4,hs,0.0,0.5154937481145591
4,hs,0.1,0.5114337827333983
4,hs,1.0,0.48303631985611295
4,hs,10.0,0.3901045500214288
4,hs,25.0,0.35492592769329356
4,hs,50.0,0.34149932916175896
4,hs,100.0,0.34235878230526806
4,hs_entropy,0.0,0.5154937481145591
4,hs_entropy,0.1,0.507751576615596
4,hs_entropy,1.0,0.4567694984861879
4,hs_entropy,10.0,0.3483312452157821
4,hs_entropy,25.0,0.34191527290506674
4,hs_entropy,50.0,0.3604208087144481
4,hs_entropy,100.0,0.39848194215497645
4,hs_log_cardinality,0.0,0.5154937481145591
4,hs_log_cardinality,0.1,0.5078589729203763
4,hs_log_cardinality,1.0,0.4570327244582683
4,hs_log_cardinality,10.0,0.3482981475010563
4,hs_log_cardinality,25.0,0.3427293635561642
4,hs_log_cardinality,50.0,0.3621830395114974
4,hs_log_cardinality,100.0,0.40119644839532026
4,hs_permutation,0.0,0.5154937481145591
4,hs_permutation,0.1,0.4697531582901613
4,hs_permutation,1.0,0.433467716701994
4,hs_permutation,10.0,0.35925156499033617
4,hs_permutation,25.0,0.3409785806207482
4,hs_permutation,50.0,0.33874490369017435
4,hs_permutation,100.0,0.3473219099843096
4,hs_global_permutation,0.0,0.5154937481145591
4,hs_global_permutation,0.1,0.46548255611195166
4,hs_global_permutation,1.0,0.4312684782581853
4,hs_global_permutation,10.0,0.358061329842556
4,hs_global_permutation,25.0,0.3397606529823158
4,hs_global_permutation,50.0,0.3373855732136423
4,hs_global_permutation,100.0,0.34578680044613447
5,hs,0.0,0.5123980280175386
5,hs,0.1,0.5084095105646212
5,hs,1.0,0.48043659260532967
5,hs,10.0,0.391948031457775
5,hs,25.0,0.36081072711748957
5,hs,50.0,0.34987004480190464
5,hs,100.0,0.352834868484918
5,hs_entropy,0.0,0.5123980280175386
5,hs_entropy,0.1,0.5048618772329398
5,hs_entropy,1.0,0.4555879874126217
5,hs_entropy,10.0,0.3545752289152864
5,hs_entropy,25.0,0.3515386855605925
5,hs_entropy,50.0,0.3729215010575266
5,hs_entropy,100.0,0.4140901755010084
5,hs_log_cardinality,0.0,0.5123980280175386
5,hs_log_cardinality,0.1,0.5049562981950659
5,hs_log_cardinality,1.0,0.45583995622224444
5,hs_log_cardinality,10.0,0.3547686651001951
5,hs_log_cardinality,25.0,0.3526847854159022
5,hs_log_cardinality,50.0,0.37498137059955927
5,hs_log_cardinality,100.0,0.41691486392933
5,hs_permutation,0.0,0.5123980280175386
5,hs_permutation,0.1,0.4768972934249922
5,hs_permutation,1.0,0.44429552276902684
5,hs_permutation,10.0,0.3739530786115533
5,hs_permutation,25.0,0.35650316198664034
5,hs_permutation,50.0,0.35430107063882754
5,hs_permutation,100.0,0.3630089752282449
5,hs_global_permutation,0.0,0.5123980280175386
5,hs_global_permutation,0.1,0.4749623452346874
5,hs_global_permutation,1.0,0.44231712646732957
5,hs_global_permutation,10.0,0.3718641843410743
5,hs_global_permutation,25.0,0.35520278245184406
5,hs_global_permutation,50.0,0.35332544090060425
5,hs_global_permutation,100.0,0.3622841807851864
6,hs,0.0,0.49421755858953487
6,hs,0.1,0.49035866317320503
6,hs,1.0,0.46288777783973756
6,hs,10.0,0.3720567249720029
6,hs,25.0,0.33750214040184884
6,hs,50.0,0.3227392185753229
6,hs,100.0,0.3212171751451753
6,hs_entropy,0.0,0.49421755858953487
6,hs_entropy,0.1,0.486912238480399
6,hs_entropy,1.0,0.43842575724478905
6,hs_entropy,10.0,0.330379045608648
6,hs_entropy,25.0,0.3199879290572702
6,hs_entropy,50.0,0.33553080846627714
6,hs_entropy,100.0,0.3711600580933598
6,hs_log_cardinality,0.0,0.49421755858953487
6,hs_log_cardinality,0.1,0.4868762900534847
6,hs_log_cardinality,1.0,0.43799313907685344
6,hs_log_cardinality,10.0,0.330041552426254
6,hs_log_cardinality,25.0,0.3208244933762239
6,hs_log_cardinality,50.0,0.33748957387741374
6,hs_log_cardinality,100.0,0.3742731017151153
6,hs_permutation,0.0,0.49421755858953487
6,hs_permutation,0.1,0.46352804102061107
6,hs_permutation,1.0,0.4272163825924994
6,hs_permutation,10.0,0.3509640560613347
6,hs_permutation,25.0,0.32806942707461384
6,hs_permutation,50.0,0.32101206880382405
6,hs_permutation,100.0,0.3252785823914606
6,hs_global_permutation,0.0,0.49421755858953487
6,hs_global_permutation,0.1,0.4624882530078112
6,hs_global_permutation,1.0,0.42516762060454544
6,hs_global_permutation,10.0,0.3480922268439566
6,hs_global_permutation,25.0,0.3273399871546496
6,hs_global_permutation,50.0,0.3216379382235617
6,hs_global_permutation,100.0,0.3267226639074113
7,hs,0.0,0.5356882418698159
7,hs,0.1,0.5311788980548608
7,hs,1.0,0.5001370487852432
7,hs,10.0,0.4012457713093825
7,hs,25.0,0.3627557847929826
7,hs,50.0,0.34657833741679656
7,hs,100.0,0.3451154077232321
7,hs_entropy,0.0,0.5356882418698159
7,hs_entropy,0.1,0.5275437812705936
7,hs_entropy,1.0,0.4739653704780287
7,hs_entropy,10.0,0.3564874606970334
7,hs_entropy,25.0,0.34606665171379514
7,hs_entropy,50.0,0.3632535102349187
7,hs_entropy,100.0,0.4025199156968197
7,hs_log_cardinality,0.0,0.5356882418698159
7,hs_log_cardinality,0.1,0.5277227238082036
7,hs_log_cardinality,1.0,0.47450567626668144
7,hs_log_cardinality,10.0,0.3563769422860948
7,hs_log_cardinality,25.0,0.346799897004816
7,hs_log_cardinality,50.0,0.36499089564402654
7,hs_log_cardinality,100.0,0.40531880270058973
7,hs_permutation,0.0,0.5356882418698159
7,hs_permutation,0.1,0.4852191046745301
7,hs_permutation,1.0,0.45022957458145885
7,hs_permutation,10.0,0.37054610831273077
7,hs_permutation,25.0,0.34932784238768816
7,hs_permutation,50.0,0.3448207150532044
7,hs_permutation,100.0,0.35117610399321064
7,hs_global_permutation,0.0,0.5356882418698159
7,hs_global_permutation,0.1,0.48558218782469725
7,hs_global_permutation,1.0,0.45186157251533193
7,hs_global_permutation,10.0,0.3712589136920612
7,hs_global_permutation,25.0,0.3477157338935158
7,hs_global_permutation,50.0,0.3420341387376698
7,hs_global_permutation,100.0,0.3480949117027045
8,hs,0.0,0.5098646283277858
8,hs,0.1,0.5056712649224815
8,hs,1.0,0.47663046971807727
8,hs,10.0,0.3859090772085725
8,hs,25.0,0.35248603824308067
8,hs,50.0,0.33958358074558354
8,hs,100.0,0.34106907598446856
8,hs_entropy,0.0,0.5098646283277858
8,hs_entropy,0.1,0.5021524165384658
8,hs_entropy,1.0,0.45174927994241526
8,hs_entropy,10.0,0.3461799850339082
8,hs_entropy,25.0,0.34075099961647176
8,hs_entropy,50.0,0.3608780466286365
8,hs_entropy,100.0,0.4013128696306478
8,hs_log_cardinality,0.0,0.5098646283277858
8,hs_log_cardinality,0.1,0.5022902683989724
8,hs_log_cardinality,1.0,0.4521834708475593
8,hs_log_cardinality,10.0,0.3463700584502186
8,hs_log_cardinality,25.0,0.34179087764249344
8,hs_log_cardinality,50.0,0.3627640332196047
8,hs_log_cardinality,100.0,0.4039496768820842
8,hs_permutation,0.0,0.5098646283277858
8,hs_permutation,0.1,0.4615847619172947
8,hs_permutation,1.0,0.4292288908702786
8,hs_permutation,10.0,0.360296331713886
8,hs_permutation,25.0,0.3416064279853081
8,hs_permutation,50.0,0.3386315293286846
8,hs_permutation,100.0,0.3473451703117586
8,hs_global_permutation,0.0,0.5098646283277858
8,hs_global_permutation,0.1,0.46816833021286297
8,hs_global_permutation,1.0,0.435079543650212
8,hs_global_permutation,10.0,0.3634038912796836
8,hs_global_permutation,25.0,0.34491286907775115
8,hs_global_permutation,50.0,0.34209999897094895
8,hs_global_permutation,100.0,0.3503779770840431
9,hs,0.0,0.5074212168933382
9,hs,0.1,0.503766515546413
9,hs,1.0,0.4782009633523632
9,hs,10.0,0.3957703312621307
9,hs,25.0,0.36465699475953645
9,hs,50.0,0.352439893218607
9,hs,100.0,0.3536687392643722
9,hs_entropy,0.0,0.5074212168933382
9,hs_entropy,0.1,0.5004234748837547
9,hs_entropy,1.0,0.45448937337817735
9,hs_entropy,10.0,0.3568815387199927
9,hs_entropy,25.0,0.3519373659028488
9,hs_entropy,50.0,0.3720497165828856
9,hs_entropy,100.0,0.41322729854976575
9,hs_log_cardinality,0.0,0.5074212168933382
9,hs_log_cardinality,0.1,0.5004923507492558
9,hs_log_cardinality,1.0,0.45461523756459254
9,hs_log_cardinality,10.0,0.3570717108556898
9,hs_log_cardinality,25.0,0.3531709857227223
9,hs_log_cardinality,50.0,0.37430591060206525
9,hs_log_cardinality,100.0,0.4164207909940572
9,hs_permutation,0.0,0.5074212168933382
9,hs_permutation,0.1,0.47765075815152375
9,hs_permutation,1.0,0.44528951289551866
9,hs_permutation,10.0,0.3768585479465
9,hs_permutation,25.0,0.3576574548427041
9,hs_permutation,50.0,0.3530349767159383
9,hs_permutation,100.0,0.35972199297854396
9,hs_global_permutation,0.0,0.5074212168933382
9,hs_global_permutation,0.1,0.48126081078424854
9,hs_global_permutation,1.0,0.4498045805094139
9,hs_global_permutation,10.0,0.378156611963236
9,hs_global_permutation,25.0,0.3579548302355636
9,hs_global_permutation,50.0,0.3530505207447831
9,hs_global_permutation,100.0,0.35958278391768655
10,hs,0.0,0.5454897840839874
10,hs,0.1,0.5405393329216813
10,hs,1.0,0.5064493397198603
10,hs,10.0,0.4020377551747911
10,hs,25.0,0.3641002646689164
10,hs,50.0,0.34842440957346127
10,hs,100.0,0.3470857045951668
10,hs_entropy,0.0,0.5454897840839874
10,hs_entropy,0.1,0.5365890349937371
10,hs_entropy,1.0,0.478462860530236
10,hs_entropy,10.0,0.35488570683967086
10,hs_entropy,25.0,0.3441710073347572
10,hs_entropy,50.0,0.36150981429021684
10,hs_entropy,100.0,0.400725855245439
10,hs_log_cardinality,0.0,0.5454897840839874
10,hs_log_cardinality,0.1,0.5367508303422911
10,hs_log_cardinality,1.0,0.47897711872057336
10,hs_log_cardinality,10.0,0.3551972185541935
10,hs_log_cardinality,25.0,0.34540207391403366
10,hs_log_cardinality,50.0,0.3636406341837291
10,hs_log_cardinality,100.0,0.4036684127384971
10,hs_permutation,0.0,0.5454897840839874
10,hs_permutation,0.1,0.4810798459782628
10,hs_permutation,1.0,0.4470246527460862
10,hs_permutation,10.0,0.3737806544349408
10,hs_permutation,25.0,0.3536832218457098
10,hs_permutation,50.0,0.34861459205381123
10,hs_permutation,100.0,0.3539669577301238
10,hs_global_permutation,0.0,0.5454897840839874
10,hs_global_permutation,0.1,0.49415775461231404
10,hs_global_permutation,1.0,0.45677372918336107
10,hs_global_permutation,10.0,0.3737062180994597
10,hs_global_permutation,25.0,0.35120270826903305
10,hs_global_permutation,50.0,0.3459814321722491
10,hs_global_permutation,100.0,0.352052833763379
11,hs,0.0,0.5190794509632509
