replication,shrink_mode,lambda,MSE
0,hs,0.0,4891.2808988764045
0,hs,0.1,4839.2707591481385
0,hs,1.0,4504.254752512377
0,hs,10.0,3659.708674774089
0,hs,25.0,3380.712251930499
0,hs,50.0,3282.838373382643
0,hs,100.0,3331.9517089507053
0,hs_entropy,0.0,4891.2808988764045
0,hs_entropy,0.1,4809.53189331398
0,hs_entropy,1.0,4300.096657741633
0,hs_entropy,10.0,3324.960403774207
0,hs_entropy,25.0,3297.5762263714096
0,hs_entropy,50.0,3528.7813817685687
0,hs_entropy,100.0,3941.527001449759
0,hs_log_cardinality,0.0,4891.2808988764045
0,hs_log_cardinality,0.1,4813.6668801369
0,hs_log_cardinality,1.0,4314.191237682091
0,hs_log_cardinality,10.0,3333.9527950373927
0,hs_log_cardinality,25.0,3322.1144201242696
0,hs_log_cardinality,50.0,3563.205445187144
0,hs_log_cardinality,100.0,3978.1672240785497
0,hs_permutation,0.0,4891.2808988764045
0,hs_permutation,0.1,4037.406540178863
0,hs_permutation,1.0,3777.6071302439145
0,hs_permutation,10.0,3271.803232024297
0,hs_permutation,25.0,3258.219060980688
0,hs_permutation,50.0,3327.9837524448794
0,hs_permutation,100.0,3463.930970678143
0,hs_global_permutation,0.0,4891.2808988764045
0,hs_global_permutation,0.1,4463.901341429468
0,hs_global_permutation,1.0,4163.4939318063225
0,hs_global_permutation,10.0,3702.4386044403554
0,hs_global_permutation,25.0,3536.3433636594386
0,hs_global_permutation,50.0,3473.226718498552
0,hs_global_permutation,100.0,3523.0627186599454
1,hs,0.0,6644.044943820225
1,hs,0.1,6597.839917272326
1,hs,1.0,6261.901755086517
1,hs,10.0,5099.259988845159
1,hs,25.0,4668.143688166818
1,hs,50.0,4515.6026629521575
1,hs,100.0,4565.233185576191
1,hs_entropy,0.0,6644.044943820225
1,hs_entropy,0.1,6560.45615063891
1,hs_entropy,1.0,5995.383577738482
1,hs_entropy,10.0,4732.317879496001
1,hs_entropy,25.0,4691.621114599362
1,hs_entropy,50.0,4971.3602461469345
1,hs_entropy,100.0,5445.477573323929
1,hs_log_cardinality,0.0,6644.044943820225
1,hs_log_cardinality,0.1,6561.07034201021
1,hs_log_cardinality,1.0,5997.425736877452
1,hs_log_cardinality,10.0,4743.321248943723
1,hs_log_cardinality,25.0,4717.3569096778465
1,hs_log_cardinality,50.0,5007.894497799009
1,hs_log_cardinality,100.0,5485.712921342404
1,hs_permutation,0.0,6644.044943820225
1,hs_permutation,0.1,6062.242189890386
1,hs_permutation,1.0,5653.262699961745
1,hs_permutation,10.0,4818.411202443307
1,hs_permutation,25.0,4575.911146003055
1,hs_permutation,50.0,4531.852475645076
1,hs_permutation,100.0,4651.983486780791
1,hs_global_permutation,0.0,6644.044943820225
1,hs_global_permutation,0.1,6349.023923022574
1,hs_global_permutation,1.0,6025.1802624625025
1,hs_global_permutation,10.0,4997.540067759049
1,hs_global_permutation,25.0,4654.1864174160255
1,hs_global_permutation,50.0,4563.514027683871
1,hs_global_permutation,100.0,4656.764491300819
2,hs,0.0,5983.213483146067
2,hs,0.1,5916.11474266867
2,hs,1.0,5458.363778778181
2,hs,10.0,4268.4708867059335
2,hs,25.0,3969.1747662334133
2,hs,50.0,3878.6456557048105
2,hs,100.0,3893.11636010293
2,hs_entropy,0.0,5983.213483146067
2,hs_entropy,0.1,5877.281425114624
2,hs_entropy,1.0,5201.386704520735
2,hs_entropy,10.0,3978.616692774931
2,hs_entropy,25.0,3917.3184968400137
2,hs_entropy,50.0,4068.064960684596
2,hs_entropy,100.0,4362.7901124101945
2,hs_log_cardinality,0.0,5983.213483146067
2,hs_log_cardinality,0.1,5877.985019613519
2,hs_log_cardinality,1.0,5202.074198198164
2,hs_log_cardinality,10.0,3981.3811881705965
2,hs_log_cardinality,25.0,3933.2044328661104
2,hs_log_cardinality,50.0,4093.8412710395746
2,hs_log_cardinality,100.0,4392.868511037875
2,hs_permutation,0.0,5983.213483146067
2,hs_permutation,0.1,5503.362787902659
2,hs_permutation,1.0,5045.187549248979
2,hs_permutation,10.0,4261.07873375812
2,hs_permutation,25.0,4093.532788913394
2,hs_permutation,50.0,4044.4855495058628
2,hs_permutation,100.0,4060.333694865149
2,hs_global_permutation,0.0,5983.213483146067
2,hs_global_permutation,0.1,4574.616411015161
2,hs_global_permutation,1.0,4340.448176994278
2,hs_global_permutation,10.0,4022.0628467267884
2,hs_global_permutation,25.0,3957.9911463943745
2,hs_global_permutation,50.0,3947.932638197164
2,hs_global_permutation,100.0,3989.487698963252
3,hs,0.0,8654.213483146068
3,hs,0.1,8579.176436803204
3,hs,1.0,8026.384476621635
3,hs,10.0,5990.874561666091
3,hs,25.0,5116.097860781832
3,hs,50.0,4661.545569996376
3,hs,100.0,4443.736313113521
3,hs_entropy,0.0,8654.213483146068
3,hs_entropy,0.1,8513.071956580769
3,hs_entropy,1.0,7552.664605392732
3,hs_entropy,10.0,5153.717205592556
3,hs_entropy,25.0,4661.650284108779
3,hs_entropy,50.0,4646.47707457358
3,hs_entropy,100.0,4876.22091095393
3,hs_log_cardinality,0.0,8654.213483146068
3,hs_log_cardinality,0.1,8514.248000148707
3,hs_log_cardinality,1.0,7555.586955322
3,hs_log_cardinality,10.0,5145.342802127713
3,hs_log_cardinality,25.0,4660.618002573398
3,hs_log_cardinality,50.0,4658.110537476658
3,hs_log_cardinality,100.0,4899.088004171912
3,hs_permutation,0.0,8654.213483146068
3,hs_permutation,0.1,7786.160943066929
3,hs_permutation,1.0,6869.9948613282395
3,hs_permutation,10.0,5226.766109484605
3,hs_permutation,25.0,4676.27483798095
3,hs_permutation,50.0,4440.571083462187
3,hs_permutation,100.0,4388.961808397068
3,hs_global_permutation,0.0,8654.213483146068
3,hs_global_permutation,0.1,8473.323774906381
3,hs_global_permutation,1.0,7624.264615316564
3,hs_global_permutation,10.0,5562.125177586621
3,hs_global_permutation,25.0,4865.735161238202
3,hs_global_permutation,50.0,4562.744835044379
3,hs_global_permutation,100.0,4462.42672844631
4,hs,0.0,8322.52808988764
4,hs,0.1,8249.62131015315
4,hs,1.0,7727.622162697237
4,hs,10.0,5883.294158745805
4,hs,25.0,5029.429673541359
4,hs,50.0,4569.383396451859
4,hs,100.0,4380.491336267641
4,hs_entropy,0.0,8322.52808988764
4,hs_entropy,0.1,8195.529122102136
4,hs_entropy,1.0,7331.186716416677
4,hs_entropy,10.0,5115.100940662023
