replication,shrink_mode,lambda,MSE
0,hs,0.0,11.451083287187268
0,hs,0.1,11.386183409193425
0,hs,1.0,10.919462367336587
0,hs,10.0,9.696358273282973
0,hs,25.0,10.128015238361023
0,hs,50.0,11.541788913357573
0,hs,100.0,14.02959751633271
0,hs_entropy,0.0,11.451083287187268
0,hs_entropy,0.1,11.283816491775365
0,hs_entropy,1.0,10.258412157657236
0,hs_entropy,10.0,10.567168955970185
0,hs_entropy,25.0,13.928557029211078
0,hs_entropy,50.0,17.40082061364555
0,hs_entropy,100.0,20.654904029082264
0,hs_log_cardinality,0.0,11.451083287187268
0,hs_log_cardinality,0.1,11.283645161374567
0,hs_log_cardinality,1.0,10.256920792086353
0,hs_log_cardinality,10.0,10.5638564011183
0,hs_log_cardinality,25.0,13.926113881900514
0,hs_log_cardinality,50.0,17.399252197060996
0,hs_log_cardinality,100.0,20.654010471231153
0,hs_permutation,0.0,11.451083287187268
0,hs_permutation,0.1,10.161513124353798
0,hs_permutation,1.0,9.74696083897714
0,hs_permutation,10.0,10.028575336465135
0,hs_permutation,25.0,11.16479912668299
0,hs_permutation,50.0,12.905619605342022
0,hs_permutation,100.0,15.427177839778622
0,hs_global_permutation,0.0,11.451083287187268
0,hs_global_permutation,0.1,11.329201517319984
0,hs_global_permutation,1.0,11.210450473463164
0,hs_global_permutation,10.0,10.551247485204453
0,hs_global_permutation,25.0,11.437216420962423
0,hs_global_permutation,50.0,13.152538283053264
0,hs_global_permutation,100.0,15.734698472102384
1,hs,0.0,11.329036580714552
1,hs,0.1,11.24745075493226
1,hs,1.0,10.690809906177149
1,hs,10.0,9.789071055653952
1,hs,25.0,10.755451900805847
1,hs,50.0,12.409985230806907
1,hs,100.0,14.7378557740136
1,hs_entropy,0.0,11.329036580714552
1,hs_entropy,0.1,11.192136805373956
1,hs_entropy,1.0,10.43693944974982
1,hs_entropy,10.0,11.733798194231436
1,hs_entropy,25.0,14.828209122116965
1,hs_entropy,50.0,17.672740737413914
1,hs_entropy,100.0,20.235771522836707
1,hs_log_cardinality,0.0,11.329036580714552
1,hs_log_cardinality,0.1,11.193325127202579
1,hs_log_cardinality,1.0,10.438239743019164
1,hs_log_cardinality,10.0,11.722311286980599
1,hs_log_cardinality,25.0,14.819215748357959
1,hs_log_cardinality,50.0,17.666691162666627
1,hs_log_cardinality,100.0,20.23215111315222
1,hs_permutation,0.0,11.329036580714552
1,hs_permutation,0.1,10.461922000571235
1,hs_permutation,1.0,9.802466884235574
1,hs_permutation,10.0,9.74447620476974
1,hs_permutation,25.0,11.214685806962402
1,hs_permutation,50.0,13.10229484877621
1,hs_permutation,100.0,15.503948043559484
1,hs_global_permutation,0.0,11.329036580714552
1,hs_global_permutation,0.1,9.183290030002912
1,hs_global_permutation,1.0,8.938834726770173
1,hs_global_permutation,10.0,9.68400199464051
1,hs_global_permutation,25.0,11.291406920053474
1,hs_global_permutation,50.0,13.152498803241107
1,hs_global_permutation,100.0,15.526893037681003
2,hs,0.0,11.58897601193988
2,hs,0.1,11.489194826140935
2,hs,1.0,10.822411307135113
2,hs,10.0,9.061170762431193
2,hs,25.0,8.929243938279873
2,hs,50.0,9.649449522084206
2,hs,100.0,11.317290446171661
2,hs_entropy,0.0,11.58897601193988
2,hs_entropy,0.1,11.405350046311167
2,hs_entropy,1.0,10.264342720705276
2,hs_entropy,10.0,9.395551491155087
2,hs_entropy,25.0,11.577219624638174
2,hs_entropy,50.0,14.162659256293683
2,hs_entropy,100.0,16.725617691747857
2,hs_log_cardinality,0.0,11.58897601193988
2,hs_log_cardinality,0.1,11.417456782367836
2,hs_log_cardinality,1.0,10.319099103222474
2,hs_log_cardinality,10.0,9.41144197789642
2,hs_log_cardinality,25.0,11.57934390366998
2,hs_log_cardinality,50.0,14.161758029620822
2,hs_log_cardinality,100.0,16.72436090100812
2,hs_permutation,0.0,11.58897601193988
2,hs_permutation,0.1,11.154958515476544
2,hs_permutation,1.0,10.362773882091421
2,hs_permutation,10.0,9.038011016513167
2,hs_permutation,25.0,9.411494978764335
2,hs_permutation,50.0,10.470460040532018
2,hs_permutation,100.0,12.295200614239771
2,hs_global_permutation,0.0,11.58897601193988
2,hs_global_permutation,0.1,11.284486935507186
2,hs_global_permutation,1.0,10.785222612162382
2,hs_global_permutation,10.0,9.412872168020295
2,hs_global_permutation,25.0,9.462776617460348
2,hs_global_permutation,50.0,10.290284529435533
2,hs_global_permutation,100.0,12.009376759204667
3,hs,0.0,11.874944550530277
3,hs,0.1,11.858442221218812
