replication,shrink_mode,lambda,MSE
0,hs,0.0,0.5863625558903396
0,hs,0.1,0.5802376670097236
0,hs,1.0,0.5371532239525425
0,hs,10.0,0.3989222797403108
0,hs,25.0,0.34486325909250787
0,hs,50.0,0.32103607875167
0,hs,100.0,0.32224287550114933
0,hs_entropy,0.0,0.5863625558903396
0,hs_entropy,0.1,0.5746075337609831
0,hs_entropy,1.0,0.4971746577706749
0,hs_entropy,10.0,0.3321197690666919
0,hs_entropy,25.0,0.3336303939448849
0,hs_entropy,50.0,0.39129228199866994
0,hs_entropy,100.0,0.49793210913490693
0,hs_log_cardinality,0.0,0.5863625558903396
0,hs_log_cardinality,0.1,0.5749661311213701
0,hs_log_cardinality,1.0,0.49886097838223453
0,hs_log_cardinality,10.0,0.3327972623878744
0,hs_log_cardinality,25.0,0.3339013102905873
0,hs_log_cardinality,50.0,0.39146177938194304
0,hs_log_cardinality,100.0,0.49806314446667055
0,hs_permutation,0.0,0.5863625558903396
0,hs_permutation,0.1,0.4948993225350917
0,hs_permutation,1.0,0.46337646790057885
0,hs_permutation,10.0,0.36532012810352965
0,hs_permutation,25.0,0.32954080291575005
0,hs_permutation,50.0,0.31800472718897616
0,hs_permutation,100.0,0.3283857025331115
0,hs_global_permutation,0.0,0.5863625558903396
0,hs_global_permutation,0.1,0.5523777839101165
0,hs_global_permutation,1.0,0.5066019003202344
0,hs_global_permutation,10.0,0.3788678426806416
0,hs_global_permutation,25.0,0.3408434493932163
0,hs_global_permutation,50.0,0.32947951879279724
0,hs_global_permutation,100.0,0.3394027520904623
1,hs,0.0,0.6474490932291841
1,hs,0.1,0.6447974823268279
1,hs,1.0,0.6250948984854775
1,hs,10.0,0.5476536034314003
1,hs,25.0,0.5126932298374018
1,hs,50.0,0.49767626292765377
1,hs,100.0,0.4985623621673798
1,hs_entropy,0.0,0.6474490932291841
1,hs_entropy,0.1,0.6414387811780115
1,hs_entropy,1.0,0.6005036782818789
1,hs_entropy,10.0,0.5074709308971914
1,hs_entropy,25.0,0.5110365500128304
1,hs_entropy,50.0,0.5500551191684281
1,hs_entropy,100.0,0.62805326392567
1,hs_log_cardinality,0.0,0.6474490932291841
1,hs_log_cardinality,0.1,0.6415165028831736
1,hs_log_cardinality,1.0,0.6008580281335344
1,hs_log_cardinality,10.0,0.5075851820471855
1,hs_log_cardinality,25.0,0.5110408393620409
1,hs_log_cardinality,50.0,0.550032694425212
1,hs_log_cardinality,100.0,0.628031800023448
1,hs_permutation,0.0,0.6474490932291841
1,hs_permutation,0.1,0.6181517670999777
1,hs_permutation,1.0,0.5903303688269298
1,hs_permutation,10.0,0.5204301106694137
1,hs_permutation,25.0,0.5017521978144186
1,hs_permutation,50.0,0.4994868488292467
1,hs_permutation,100.0,0.509083076835361
1,hs_global_permutation,0.0,0.6474490932291841
1,hs_global_permutation,0.1,0.6256887207095191
1,hs_global_permutation,1.0,0.5915413131799843
1,hs_global_permutation,10.0,0.5150236587055983
1,hs_global_permutation,25.0,0.49347161144716273
1,hs_global_permutation,50.0,0.48994760574767726
1,hs_global_permutation,100.0,0.49962441539487645
2,hs,0.0,0.5778598072350235
2,hs,0.1,0.5735547555920627
2,hs,1.0,0.5427340241119533
2,hs,10.0,0.44031990968188295
2,hs,25.0,0.3987493736472211
2,hs,50.0,0.3783214797952065
2,hs,100.0,0.37615143389221856
2,hs_entropy,0.0,0.5778598072350235
2,hs_entropy,0.1,0.5693337942828105
2,hs_entropy,1.0,0.5125986642102487
2,hs_entropy,10.0,0.38737628451663264
2,hs_entropy,25.0,0.3874906997573142
2,hs_entropy,50.0,0.43501961552220997
2,hs_entropy,100.0,0.5275933708560818
2,hs_log_cardinality,0.0,0.5778598072350235
2,hs_log_cardinality,0.1,0.5693946963682021
2,hs_log_cardinality,1.0,0.5127630426867382
2,hs_log_cardinality,10.0,0.38696203206014645
2,hs_log_cardinality,25.0,0.3870645379033694
2,hs_log_cardinality,50.0,0.43468439194537684
2,hs_log_cardinality,100.0,0.5273702542805417
2,hs_permutation,0.0,0.5778598072350235
2,hs_permutation,0.1,0.5359788314582651
2,hs_permutation,1.0,0.5023116749712542
2,hs_permutation,10.0,0.42032754839767894
2,hs_permutation,25.0,0.3920141122721232
2,hs_permutation,50.0,0.37968614200193584
2,hs_permutation,100.0,0.3832764998683553
2,hs_global_permutation,0.0,0.5778598072350235
2,hs_global_permutation,0.1,0.5333675525699239
2,hs_global_permutation,1.0,0.4970236446154203
2,hs_global_permutation,10.0,0.4163360019708904
2,hs_global_permutation,25.0,0.3902149299214341
2,hs_global_permutation,50.0,0.3789152946766254
2,hs_global_permutation,100.0,0.3829175531686851
3,hs,0.0,0.6309795275074388
3,hs,0.1,0.6274243026073488
3,hs,1.0,0.6005674977752232
3,hs,10.0,0.49153744190344223
3,hs,25.0,0.4380289249395536
3,hs,50.0,0.40644833448074885
3,hs,100.0,0.39070544817162967
3,hs_entropy,0.0,0.6309795275074388
3,hs_entropy,0.1,0.6230413365946343
3,hs_entropy,1.0,0.5680176592513735
3,hs_entropy,10.0,0.4250029295964468
3,hs_entropy,25.0,0.4055736276548464
3,hs_entropy,50.0,0.43378486337966304
3,hs_entropy,100.0,0.5054841157684348
3,hs_log_cardinality,0.0,0.6309795275074388
3,hs_log_cardinality,0.1,0.6230121060171452
3,hs_log_cardinality,1.0,0.5678543920214347
3,hs_log_cardinality,10.0,0.42489639856953726
3,hs_log_cardinality,25.0,0.4055045892261875
3,hs_log_cardinality,50.0,0.43374194441532543
3,hs_log_cardinality,100.0,0.5054661626303976
3,hs_permutation,0.0,0.6309795275074388
3,hs_permutation,0.1,0.6038529308787451
3,hs_permutation,1.0,0.5709425395683008
3,hs_permutation,10.0,0.4613808901150984
3,hs_permutation,25.0,0.41600535544512235
3,hs_permutation,50.0,0.3916105186554857
3,hs_permutation,100.0,0.3832597755627614
3,hs_global_permutation,0.0,0.6309795275074388
3,hs_global_permutation,0.1,0.6094679715302905
3,hs_global_permutation,1.0,0.5716313797118625
3,hs_global_permutation,10.0,0.4568129131611614
3,hs_global_permutation,25.0,0.4128954626935564
3,hs_global_permutation,50.0,0.38997489678528646
3,hs_global_permutation,100.0,0.38300472668788643
4,hs,0.0,0.5944828019940849
4,hs,0.1,0.5899310766620378
4,hs,1.0,0.557511019768851
4,hs,10.0,0.45705396483477795
4,hs,25.0,0.42930108108732323
4,hs,50.0,0.42749978750958356
4,hs,100.0,0.44539015872443394
4,hs_entropy,0.0,0.5944828019940849
4,hs_entropy,0.1,0.5851752063352544
4,hs_entropy,1.0,0.5250115463026036
4,hs_entropy,10.0,0.42134501450422
4,hs_entropy,25.0,0.4435844272468035
4,hs_entropy,50.0,0.4996779841968779
4,hs_entropy,100.0,0.5913409401793965
4,hs_log_cardinality,0.0,0.5944828019940849
4,hs_log_cardinality,0.1,0.5853596614401739
4,hs_log_cardinality,1.0,0.5259213774174302
4,hs_log_cardinality,10.0,0.4218724223155518
4,hs_log_cardinality,25.0,0.4438102788223353
4,hs_log_cardinality,50.0,0.4997829553929487
4,hs_log_cardinality,100.0,0.5913923084858889
4,hs_permutation,0.0,0.5944828019940849
4,hs_permutation,0.1,0.5904877956483849
4,hs_permutation,1.0,0.5489903448183591
4,hs_permutation,10.0,0.4582012093620066
4,hs_permutation,25.0,0.44367761134873823
4,hs_permutation,50.0,0.45002386512844433
4,hs_permutation,100.0,0.4708789301816628
4,hs_global_permutation,0.0,0.5944828019940849
4,hs_global_permutation,0.1,0.5667227455348617
4,hs_global_permutation,1.0,0.5351953669718557
4,hs_global_permutation,10.0,0.44903399709091407
4,hs_global_permutation,25.0,0.4338564678925727
4,hs_global_permutation,50.0,0.44026064583826346
4,hs_global_permutation,100.0,0.4620919104578055
5,hs,0.0,0.46995470627394337
5,hs,0.1,0.46709961085512386
5,hs,1.0,0.446974550380109
5,hs,10.0,0.3803588094656782
5,hs,25.0,0.3565421076346425
5,hs,50.0,0.35063985374117707
5,hs,100.0,0.3608639056563725
5,hs_entropy,0.0,0.46995470627394337
5,hs_entropy,0.1,0.4639622821416237
5,hs_entropy,1.0,0.42471798065670224
5,hs_entropy,10.0,0.35119138136491906
5,hs_entropy,25.0,0.3682702742833914
5,hs_entropy,50.0,0.41666965228478603
5,hs_entropy,100.0,0.4988350413728437
5,hs_log_cardinality,0.0,0.46995470627394337
5,hs_log_cardinality,0.1,0.46408527957169193
5,hs_log_cardinality,1.0,0.4250998491597525
5,hs_log_cardinality,10.0,0.35088318375560523
5,hs_log_cardinality,25.0,0.3679917279159042
5,hs_log_cardinality,50.0,0.4164739711687766
5,hs_log_cardinality,100.0,0.498716194931981
5,hs_permutation,0.0,0.46995470627394337
5,hs_permutation,0.1,0.44925588227128166
5,hs_permutation,1.0,0.42454536657643926
5,hs_permutation,10.0,0.3623479839889645
5,hs_permutation,25.0,0.348921182412521
5,hs_permutation,50.0,0.3510425417041283
5,hs_permutation,100.0,0.36657889811103983
5,hs_global_permutation,0.0,0.46995470627394337
5,hs_global_permutation,0.1,0.46455614024646535
5,hs_global_permutation,1.0,0.43911673668167056
5,hs_global_permutation,10.0,0.37680642063814407
5,hs_global_permutation,25.0,0.359058956257016
5,hs_global_permutation,50.0,0.3570272971966013
5,hs_global_permutation,100.0,0.37013854795918244
6,hs,0.0,0.49112655012556133
6,hs,0.1,0.4875498484114315
6,hs,1.0,0.46057927696627254
6,hs,10.0,0.3577155763296338
6,hs,25.0,0.31454686562196604
6,hs,50.0,0.29452262619699165
6,hs,100.0,0.28936824305350173
6,hs_entropy,0.0,0.49112655012556133
6,hs_entropy,0.1,0.483067247046571
6,hs_entropy,1.0,0.4282675608660482
6,hs_entropy,10.0,0.2987732609284508
6,hs_entropy,25.0,0.28503805096604706
6,hs_entropy,50.0,0.30471472392469584
6,hs_entropy,100.0,0.35339922628337167
6,hs_log_cardinality,0.0,0.49112655012556133
6,hs_log_cardinality,0.1,0.48297671354201716
6,hs_log_cardinality,1.0,0.4277176411779536
6,hs_log_cardinality,10.0,0.29830664736475676
6,hs_log_cardinality,25.0,0.2848084536255558
6,hs_log_cardinality,50.0,0.3045907480754387
6,hs_log_cardinality,100.0,0.3533335827035738
6,hs_permutation,0.0,0.49112655012556133
6,hs_permutation,0.1,0.47625352022982925
6,hs_permutation,1.0,0.4392816678090169
6,hs_permutation,10.0,0.3353483928303326
6,hs_permutation,25.0,0.3048298323658241
6,hs_permutation,50.0,0.2951350503413835
6,hs_permutation,100.0,0.29833529545290255
6,hs_global_permutation,0.0,0.49112655012556133
6,hs_global_permutation,0.1,0.49759811961188327
6,hs_global_permutation,1.0,0.452529409390036
6,hs_global_permutation,10.0,0.3343175625169886
6,hs_global_permutation,25.0,0.302141995460601
6,hs_global_permutation,50.0,0.29258715558483595
6,hs_global_permutation,100.0,0.2954533158911302
7,hs,0.0,0.6840768689836322
7,hs,0.1,0.6811601987950212
7,hs,1.0,0.65840535005137
7,hs,10.0,0.5458406389039423
7,hs,25.0,0.474957628819459
7,hs,50.0,0.4275481408487859
7,hs,100.0,0.3959138190579618
7,hs_entropy,0.0,0.6840768689836322
7,hs_entropy,0.1,0.6760188424473779
7,hs_entropy,1.0,0.61834174470821
7,hs_entropy,10.0,0.43961629016551096
7,hs_entropy,25.0,0.39134755766092844
7,hs_entropy,50.0,0.3889590844510689
7,hs_entropy,100.0,0.4221858877661013
7,hs_log_cardinality,0.0,0.6840768689836322
7,hs_log_cardinality,0.1,0.6760032554883543
7,hs_log_cardinality,1.0,0.6181151765172489
7,hs_log_cardinality,10.0,0.43939054935282035
7,hs_log_cardinality,25.0,0.39128330373838704
7,hs_log_cardinality,50.0,0.38896224989845196
7,hs_log_cardinality,100.0,0.42222025009617026
7,hs_permutation,0.0,0.6840768689836322
7,hs_permutation,0.1,0.6823794931317542
7,hs_permutation,1.0,0.635592739495534
7,hs_permutation,10.0,0.5204338153386721
7,hs_permutation,25.0,0.4607534015152421
7,hs_permutation,50.0,0.42324144777422357
7,hs_permutation,100.0,0.3993858191245808
7,hs_global_permutation,0.0,0.6840768689836322
7,hs_global_permutation,0.1,0.6925153935479313
7,hs_global_permutation,1.0,0.644632783673821
7,hs_global_permutation,10.0,0.5194373581955125
7,hs_global_permutation,25.0,0.4538369421279549
7,hs_global_permutation,50.0,0.41526498891042374
7,hs_global_permutation,100.0,0.3929352876188729
8,hs,0.0,0.6039321368934055
8,hs,0.1,0.5989300513978525
8,hs,1.0,0.5622151254693927
8,hs,10.0,0.43189965435254285
8,hs,25.0,0.38560204921144936
8,hs,50.0,0.37044533266459856
8,hs,100.0,0.3770393670240047
8,hs_entropy,0.0,0.6039321368934055
8,hs_entropy,0.1,0.5940247412195703
8,hs_entropy,1.0,0.5280003426162478
8,hs_entropy,10.0,0.3926604849531948
8,hs_entropy,25.0,0.3990016929601458
8,hs_entropy,50.0,0.44994182053284665
8,hs_entropy,100.0,0.5437802162370068
8,hs_log_cardinality,0.0,0.6039321368934055
8,hs_log_cardinality,0.1,0.5942170059547242
8,hs_log_cardinality,1.0,0.5289053626236984
8,hs_log_cardinality,10.0,0.39310459803541625
8,hs_log_cardinality,25.0,0.3992262576461674
8,hs_log_cardinality,50.0,0.45007913759401275
8,hs_log_cardinality,100.0,0.5438659340558087
8,hs_permutation,0.0,0.6039321368934055
8,hs_permutation,0.1,0.5856238791115559
8,hs_permutation,1.0,0.5336510547590004
8,hs_permutation,10.0,0.4017146764931523
8,hs_permutation,25.0,0.36895833510969245
8,hs_permutation,50.0,0.3640647343440624
8,hs_permutation,100.0,0.3779365054547668
8,hs_global_permutation,0.0,0.6039321368934055
8,hs_global_permutation,0.1,0.5705005503983386
8,hs_global_permutation,1.0,0.5225104767475368
8,hs_global_permutation,10.0,0.3957706823684222
8,hs_global_permutation,25.0,0.36608867400428313
8,hs_global_permutation,50.0,0.36254743422708674
8,hs_global_permutation,100.0,0.37760190513292585
9,hs,0.0,0.5720293748129057
9,hs,0.1,0.5678792683297442
9,hs,1.0,0.5374707854055101
9,hs,10.0,0.4288146859711426
9,hs,25.0,0.38239927677187996
9,hs,50.0,0.35804985423080665
9,hs,100.0,0.3508438437543798
9,hs_entropy,0.0,0.5720293748129057
9,hs_entropy,0.1,0.5631893534504854
9,hs_entropy,1.0,0.5031954814126379
9,hs_entropy,10.0,0.3638128005974569
9,hs_entropy,25.0,0.35754905314851093
9,hs_entropy,50.0,0.4010818104551196
9,hs_entropy,100.0,0.49289722968303323
9,hs_log_cardinality,0.0,0.5720293748129057
9,hs_log_cardinality,0.1,0.5633188133289656
9,hs_log_cardinality,1.0,0.5040743003177731
9,hs_log_cardinality,10.0,0.3647959018254694
9,hs_log_cardinality,25.0,0.3579891199599375
9,hs_log_cardinality,50.0,0.4012669578340967
9,hs_log_cardinality,100.0,0.49296875595878603
9,hs_permutation,0.0,0.5720293748129057
9,hs_permutation,0.1,0.5304706414514418
9,hs_permutation,1.0,0.4936034453384764
9,hs_permutation,10.0,0.4054794575935305
9,hs_permutation,25.0,0.37594949393599847
9,hs_permutation,50.0,0.36123287610829474
9,hs_permutation,100.0,0.35990629938054086
9,hs_global_permutation,0.0,0.5720293748129057
9,hs_global_permutation,0.1,0.549279084884244
9,hs_global_permutation,1.0,0.523670228869838
9,hs_global_permutation,10.0,0.43276202121405666
9,hs_global_permutation,25.0,0.3924145517014805
9,hs_global_permutation,50.0,0.3709157275961562
9,hs_global_permutation,100.0,0.3651186796721941
10,hs,0.0,0.5988065526612689
10,hs,0.1,0.5955332883867888
10,hs,1.0,0.5711186729581667
10,hs,10.0,0.47810921466869993
10,hs,25.0,0.44066957498857484
10,hs,50.0,0.429138437350079
10,hs,100.0,0.44147275951907783
10,hs_entropy,0.0,0.5988065526612689
10,hs_entropy,0.1,0.5914618007235193
10,hs_entropy,1.0,0.541860722775021
10,hs_entropy,10.0,0.44040032962842807
10,hs_entropy,25.0,0.46168551912527656
10,hs_entropy,50.0,0.5272985055821018
10,hs_entropy,100.0,0.6357489179481857
10,hs_log_cardinality,0.0,0.5988065526612689
10,hs_log_cardinality,0.1,0.5914904850342533
10,hs_log_cardinality,1.0,0.5419971310875862
10,hs_log_cardinality,10.0,0.44061469795425423
10,hs_log_cardinality,25.0,0.46189776999929355
10,hs_log_cardinality,50.0,0.5274707770009124
10,hs_log_cardinality,100.0,0.6358715385870729
10,hs_permutation,0.0,0.5988065526612689
10,hs_permutation,0.1,0.5821364137654969
10,hs_permutation,1.0,0.5418603028106018
10,hs_permutation,10.0,0.449338926595897
10,hs_permutation,25.0,0.4274712426327208
10,hs_permutation,50.0,0.42670637816301127
10,hs_permutation,100.0,0.4468528442876034
10,hs_global_permutation,0.0,0.5988065526612689
10,hs_global_permutation,0.1,0.5779059542379342
10,hs_global_permutation,1.0,0.5554166117477106
10,hs_global_permutation,10.0,0.46596493293084673
10,hs_global_permutation,25.0,0.4354515686970364
10,hs_global_permutation,50.0,0.4298027714667999
10,hs_global_permutation,100.0,0.44756832931818746
11,hs,0.0,0.6713919522918114
11,hs,0.1,0.6692936940683004
11,hs,1.0,0.6523760470516136
11,hs,10.0,0.5706908019768389
11,hs,25.0,0.5282399233947521
11,hs,50.0,0.5113762512749953
11,hs,100.0,0.5245364278914019
11,hs_entropy,0.0,0.6713919522918114
11,hs_entropy,0.1,0.6652664546483303
11,hs_entropy,1.0,0.6225842081993886
11,hs_entropy,10.0,0.5235619635263788
11,hs_entropy,25.0,0.5515250049547286
11,hs_entropy,50.0,0.6393905738356447
11,hs_entropy,100.0,0.785516488052266
11,hs_log_cardinality,0.0,0.6713919522918114
11,hs_log_cardinality,0.1,0.6649009136796684
11,hs_log_cardinality,1.0,0.6205871642114674
11,hs_log_cardinality,10.0,0.522622606570259
11,hs_log_cardinality,25.0,0.5513414690610935
11,hs_log_cardinality,50.0,0.6394199335425297
11,hs_log_cardinality,100.0,0.7855969275072235
11,hs_permutation,0.0,0.6713919522918114
11,hs_permutation,0.1,0.6700216989624238
11,hs_permutation,1.0,0.6411480390621728
