replication,shrink_mode,lambda,MSE
0,hs,0.0,0.790625
0,hs,0.1,0.7826637405226221
0,hs,1.0,0.7298697089184893
0,hs,10.0,0.5813448745988433
0,hs,25.0,0.5217675742719186
0,hs,50.0,0.4869918379343675
0,hs,100.0,0.46258427573918226
0,hs_entropy,0.0,0.790625
0,hs_entropy,0.1,0.7785279098903507
0,hs_entropy,1.0,0.6999305653573789
0,hs_entropy,10.0,0.5173487398460864
0,hs_entropy,25.0,0.47061537892370797
0,hs_entropy,50.0,0.4518442830192301
0,hs_entropy,100.0,0.44637767584509247
0,hs_log_cardinality,0.0,0.790625
0,hs_log_cardinality,0.1,0.7787794372314792
0,hs_log_cardinality,1.0,0.7002331401622204
0,hs_log_cardinality,10.0,0.5139711843015732
0,hs_log_cardinality,25.0,0.46697289771796
0,hs_log_cardinality,50.0,0.448869506411702
0,hs_log_cardinality,100.0,0.4453024319155629
0,hs_permutation,0.0,0.790625
0,hs_permutation,0.1,0.7494781084050463
0,hs_permutation,1.0,0.6995670314816607
0,hs_permutation,10.0,0.5614557185940796
0,hs_permutation,25.0,0.5126467193116816
0,hs_permutation,50.0,0.48642020386729284
0,hs_permutation,100.0,0.46749639855906777
0,hs_global_permutation,0.0,0.790625
0,hs_global_permutation,0.1,0.7108913930413381
0,hs_global_permutation,1.0,0.6763907560277806
0,hs_global_permutation,10.0,0.5643952259687485
0,hs_global_permutation,25.0,0.5164748556817851
0,hs_global_permutation,50.0,0.48804423190578755
0,hs_global_permutation,100.0,0.46656569398730363
1,hs,0.0,0.665625
1,hs,0.1,0.6584668744463567
1,hs,1.0,0.6099394696571668
1,hs,10.0,0.4648149383677159
1,hs,25.0,0.4109868546289718
1,hs,50.0,0.38679923828786905
1,hs,100.0,0.3794260198317472
1,hs_entropy,0.0,0.665625
1,hs_entropy,0.1,0.6546087096945744
1,hs_entropy,1.0,0.5821478479948388
1,hs_entropy,10.0,0.4140594402645796
1,hs_entropy,25.0,0.38365612200761784
1,hs_entropy,50.0,0.3858788803735198
1,hs_entropy,100.0,0.40712218240228315
1,hs_log_cardinality,0.0,0.665625
1,hs_log_cardinality,0.1,0.6548067282542405
1,hs_log_cardinality,1.0,0.5821224996228523
1,hs_log_cardinality,10.0,0.41137170078250573
1,hs_log_cardinality,25.0,0.3827311287525297
1,hs_log_cardinality,50.0,0.3871144158762595
1,hs_log_cardinality,100.0,0.41078419383485565
1,hs_permutation,0.0,0.665625
1,hs_permutation,0.1,0.5997621021411099
1,hs_permutation,1.0,0.557123036638254
1,hs_permutation,10.0,0.43780468702394765
1,hs_permutation,25.0,0.3989759573541987
1,hs_permutation,50.0,0.3848144325332178
1,hs_permutation,100.0,0.38450094347784225
1,hs_global_permutation,0.0,0.665625
1,hs_global_permutation,0.1,0.6126083924363647
1,hs_global_permutation,1.0,0.5605049106442115
1,hs_global_permutation,10.0,0.4327083707512158
1,hs_global_permutation,25.0,0.39487324476654484
1,hs_global_permutation,50.0,0.38185523754184925
1,hs_global_permutation,100.0,0.38245913103463686
2,hs,0.0,0.69375
2,hs,0.1,0.6882926986751401
2,hs,1.0,0.6510612891108918
2,hs,10.0,0.5365489472327543
2,hs,25.0,0.48486872168226647
2,hs,50.0,0.4526258385442491
2,hs,100.0,0.43242034190477324
2,hs_entropy,0.0,0.69375
2,hs_entropy,0.1,0.6844366811700924
2,hs_entropy,1.0,0.622944338323028
2,hs_entropy,10.0,0.4715859996407068
2,hs_entropy,25.0,0.4337736985082268
2,hs_entropy,50.0,0.4267466844291481
2,hs_entropy,100.0,0.4378733006416999
2,hs_log_cardinality,0.0,0.69375
2,hs_log_cardinality,0.1,0.6844633873224636
2,hs_log_cardinality,1.0,0.6222622786366172
2,hs_log_cardinality,10.0,0.4680425783946941
2,hs_log_cardinality,25.0,0.43128817380527823
2,hs_log_cardinality,50.0,0.4259452938482998
2,hs_log_cardinality,100.0,0.43925636672936463
2,hs_permutation,0.0,0.69375
2,hs_permutation,0.1,0.6659430830028509
