replication,shrink_mode,lambda,MSE
0,hs,0.0,0.9588189588189588
0,hs,0.1,0.9515851100183599
0,hs,1.0,0.9024109809316879
0,hs,10.0,0.7549691575385392
0,hs,25.0,0.7127245722764974
0,hs,50.0,0.711215180214395
0,hs,100.0,0.7411318457292316
0,hs_entropy,0.0,0.9588189588189588
0,hs_entropy,0.1,0.9469183489366767
0,hs_entropy,1.0,0.8694898638647061
0,hs_entropy,10.0,0.7173636438609067
0,hs_entropy,25.0,0.7245780930049395
0,hs_entropy,50.0,0.7742441915607716
0,hs_entropy,100.0,0.8724123052378966
0,hs_log_cardinality,0.0,0.9588189588189588
0,hs_log_cardinality,0.1,0.9465792577311917
0,hs_log_cardinality,1.0,0.8658974905095299
0,hs_log_cardinality,10.0,0.7120047604304875
0,hs_log_cardinality,25.0,0.7263818665279694
0,hs_log_cardinality,50.0,0.7847434922589566
0,hs_log_cardinality,100.0,0.8960501923864075
0,hs_permutation,0.0,0.9588189588189588
0,hs_permutation,0.1,0.8740499245930249
0,hs_permutation,1.0,0.8253962881865674
0,hs_permutation,10.0,0.711543909214182
0,hs_permutation,25.0,0.6937175160524762
0,hs_permutation,50.0,0.7072785572871221
0,hs_permutation,100.0,0.7470644720657686
0,hs_global_permutation,0.0,0.9588189588189588
0,hs_global_permutation,0.1,0.9236881958569443
0,hs_global_permutation,1.0,0.8719568658503455
0,hs_global_permutation,10.0,0.7383876514342024
0,hs_global_permutation,25.0,0.7086776622443032
0,hs_global_permutation,50.0,0.7163740606527043
0,hs_global_permutation,100.0,0.7532494314166779
1,hs,0.0,0.9588189588189588
1,hs,0.1,0.9517770863391274
1,hs,1.0,0.9023679318918473
1,hs,10.0,0.7586546348870226
1,hs,25.0,0.7251688016473118
1,hs,50.0,0.7307372676490671
1,hs,100.0,0.7692072624492987
1,hs_entropy,0.0,0.9588189588189588
1,hs_entropy,0.1,0.9471755763156433
1,hs_entropy,1.0,0.8713757859000386
1,hs_entropy,10.0,0.7290533801645734
1,hs_entropy,25.0,0.7442803222268269
1,hs_entropy,50.0,0.8046908775140594
1,hs_entropy,100.0,0.9167681054614846
1,hs_log_cardinality,0.0,0.9588189588189588
1,hs_log_cardinality,0.1,0.946990976209974
1,hs_log_cardinality,1.0,0.8696068742472092
1,hs_log_cardinality,10.0,0.7277153956915987
1,hs_log_cardinality,25.0,0.7500112409365118
1,hs_log_cardinality,50.0,0.8195578477360125
1,hs_log_cardinality,100.0,0.945262785098249
1,hs_permutation,0.0,0.9588189588189588
1,hs_permutation,0.1,0.9206589056140311
1,hs_permutation,1.0,0.8720712921885972
1,hs_permutation,10.0,0.7425840731433334
1,hs_permutation,25.0,0.721904778664916
1,hs_permutation,50.0,0.7360438028594255
1,hs_permutation,100.0,0.7801499607076318
1,hs_global_permutation,0.0,0.9588189588189588
1,hs_global_permutation,0.1,0.917460478538117
