relevance,shrink_mode,lambda,ROC AUC,replication
00,hs,0.0,0.48850801309320896,0
00,hs,0.1,0.48850801309320896,0
00,hs,1.0,0.48850801309320896,0
00,hs,10.0,0.49162126574910125,0
00,hs,25.0,0.5091068624957343,0
00,hs,50.0,0.514906952140341,0
00,hs,100.0,0.5205973104629958,0
00,hs_entropy,0.0,0.48850801309320896,0
00,hs_entropy,0.1,0.48850801309320896,0
00,hs_entropy,1.0,0.48850801309320896,0
00,hs_entropy,10.0,0.4932307839729786,0
00,hs_entropy,25.0,0.5137940606833847,0
00,hs_entropy,50.0,0.5273264221331494,0
00,hs_entropy,100.0,0.5311132005269336,0
00,hs_log_cardinality,0.0,0.48850801309320896,0
00,hs_log_cardinality,0.1,0.48850801309320896,0
00,hs_log_cardinality,1.0,0.48850801309320896,0
00,hs_log_cardinality,10.0,0.49317980691265567,0
00,hs_log_cardinality,25.0,0.5156644406391545,0
00,hs_log_cardinality,50.0,0.5251448628280369,0
00,hs_log_cardinality,100.0,0.5275807399549796,0
00,hs_permutation,0.0,0.48850801309320896,0
00,hs_permutation,0.1,0.5043153346192806,0
00,hs_permutation,1.0,0.5006966485290371,0
00,hs_permutation,10.0,0.513804620453015,0
00,hs_permutation,25.0,0.5101144326551977,0
00,hs_permutation,50.0,0.506813953795047,0
00,hs_permutation,100.0,0.508907156416217,0
00,hs_global_permutation,0.0,0.48850801309320896,0
00,hs_global_permutation,0.1,0.4970086361208857,0
00,hs_global_permutation,1.0,0.5052723755912696,0
00,hs_global_permutation,10.0,0.5095370277275983,0
00,hs_global_permutation,25.0,0.5160676846573942,0
00,hs_global_permutation,50.0,0.5110990144525985,0
00,hs_global_permutation,100.0,0.5237738830968455,0
05,hs,0.0,0.47888733359565006,0
05,hs,0.1,0.47888733359565006,0
05,hs,1.0,0.47888733359565006,0
05,hs,10.0,0.47178925538325645,0
05,hs,25.0,0.4872002859717626,0
05,hs,50.0,0.48372178413573896,0
05,hs,100.0,0.4969245726074569,0
05,hs_entropy,0.0,0.47888733359565006,0
05,hs_entropy,0.1,0.47888733359565006,0
05,hs_entropy,1.0,0.47888733359565006,0
05,hs_entropy,10.0,0.47379863999739324,0
05,hs_entropy,25.0,0.4904639650875803,0
05,hs_entropy,50.0,0.5086647038212723,0
05,hs_entropy,100.0,0.5225557651564215,0
05,hs_log_cardinality,0.0,0.47888733359565006,0
05,hs_log_cardinality,0.1,0.47888733359565006,0
05,hs_log_cardinality,1.0,0.47888733359565006,0
05,hs_log_cardinality,10.0,0.4727815444593242,0
