relevance,shrink_mode,lambda,ROC AUC,replication
00,hs,0.0,0.4605240546190502,0
00,hs,0.1,0.4685073856035526,0
00,hs,1.0,0.46695500124882583,0
00,hs,10.0,0.4773998980277323,0
00,hs,25.0,0.48125961918129717,0
00,hs,50.0,0.48185988266212954,0
00,hs,100.0,0.4793495981864068,0
00,hs_entropy,0.0,0.4605240546190502,0
00,hs_entropy,0.1,0.4685073856035526,0
00,hs_entropy,1.0,0.47073394944153363,0
00,hs_entropy,10.0,0.490539435894039,0
00,hs_entropy,25.0,0.49111227628317344,0
00,hs_entropy,50.0,0.4875597890523885,0
00,hs_entropy,100.0,0.4863316317832501,0
00,hs_log_cardinality,0.0,0.4605240546190502,0
00,hs_log_cardinality,0.1,0.4696062867024537,0
00,hs_log_cardinality,1.0,0.4715788467850646,0
00,hs_log_cardinality,10.0,0.49245389072208645,0
00,hs_log_cardinality,25.0,0.49355866185818514,0
00,hs_log_cardinality,50.0,0.48512657712883095,0
00,hs_log_cardinality,100.0,0.4889873953245985,0
00,hs_permutation,0.0,0.4605240546190502,0
00,hs_permutation,0.1,0.47761633027907335,0
00,hs_permutation,1.0,0.4896842231541211,0
00,hs_permutation,10.0,0.48972514082249746,0
00,hs_permutation,25.0,0.4872215604741383,0
00,hs_permutation,50.0,0.4939839366684284,0
00,hs_permutation,100.0,0.5008869331926808,0
00,hs_global_permutation,0.0,0.4605240546190502,0
00,hs_global_permutation,0.1,0.4817882405183099,0
00,hs_global_permutation,1.0,0.48387360740413443,0
00,hs_global_permutation,10.0,0.48619005319054764,0
00,hs_global_permutation,25.0,0.4852346829876071,0
00,hs_global_permutation,50.0,0.48396903707006966,0
00,hs_global_permutation,100.0,0.4976603725193115,0
05,hs,0.0,0.5006249954361526,0
05,hs,0.1,0.4983436288429187,0
05,hs,1.0,0.4980297356903548,0
05,hs,10.0,0.5103335799167728,0
05,hs,25.0,0.526118297933013,0
05,hs,50.0,0.5286818043718927,0
05,hs,100.0,0.5348344732419934,0
05,hs_entropy,0.0,0.5006249954361526,0
05,hs_entropy,0.1,0.4972909972639714,0
05,hs_entropy,1.0,0.4965176191671647,0
05,hs_entropy,10.0,0.518537918825198,0
05,hs_entropy,25.0,0.5225116753128933,0
05,hs_entropy,50.0,0.5341531589948432,0
05,hs_entropy,100.0,0.5425316408727084,0
05,hs_log_cardinality,0.0,0.5006249954361526,0
05,hs_log_cardinality,0.1,0.4972909972639714,0
05,hs_log_cardinality,1.0,0.4975056412001643,0
05,hs_log_cardinality,10.0,0.5223488252765182,0
05,hs_log_cardinality,25.0,0.5183120714936319,0
