"Genre","Budget","Screens","Sequel","Sentiment","Views","Likes","Dislikes","Comments","Aggregate.Followers","Ratings"
8,4e+06,45,1,0,3280543,4632,425,636,1120000,6.3
1,5e+07,3306,2,2,583289,3465,61,186,12350000,7.1
1,2.8e+07,2872,1,0,304861,328,34,47,483000,6.2
1,1.1e+08,3470,2,0,452917,2429,132,590,568000,6.3
8,3500000,2310,2,0,3145573,12163,610,1082,1923800,4.7
8,4e+07,3158,1,0,3013011,9595,419,1020,8153000,6.1
1,2e+07,818,1,2,1854103,2207,197,593,130655,7.1
10,2.8e+07,2714,1,3,2213659,2210,419,382,125646,6.5
8,12500000,2253,1,0,5218079,11709,532,770,21697300,6.1
1,58800000,3555,1,4,3927600,13143,573,3134,24300,7.3
8,3e+07,1762,1,0,519327,963,94,70,386400,5.7
15,6500000,3185,1,0,19032902,38810,4382,4392,19420105,5.4
8,6.5e+07,3116,1,0,930006,5150,707,1484,5130800,5.2
3,5e+06,65,3,0,595194,85,36,39,15112,4.4
8,6e+06,18,1,2,3915978,6983,247,460,253000,6.6
8,5e+06,25,1,0,1391527,2479,146,182,1658900,6.3
3,7e+06,31,1,0,1828235,7633,235,685,116100,6.9
12,1.65e+08,3761,1,29,4700023,14163,538,1293,199800,7.9
3,9e+06,1823,1,-1,1348142,4404,307,1033,888000,6.6
8,4e+07,3555,1,-2,7977747,18690,1940,2214,2417000,6.5
3,4e+06,771,1,9,1671367,4572,207,741,105000,8
1,2.8e+07,2647,1,0,2088644,6633,255,1235,3209000,5.7
3,7e+06,482,1,2,4398243,9202,454,1150,4769100,6.5
1,1.7e+08,3938,2,5,760262,2918,66,837,8030000,7.8
1,1.7e+08,3967,2,-4,1735700,6772,187,889,114000,7.7
10,3e+07,97,1,0,465219,1348,72,162,744600,6.2
15,7e+06,2544,1,0,1844690,3728,581,729,9536,4
2,8.5e+07,3936,1,-4,463866,3400,152,987,1030000,6.8
3,3.6e+07,3376,2,-1,384448,1230,129,228,276750,6.4
3,2.7e+07,2781,1,0,522630,1248,153,227,147000,6.8
8,3.5e+07,3154,3,0,3287020,7698,446,1122,17064000,5.8
2,1.3e+07,3230,1,0,1488038,2571,553,643,88586,5.8
1,1.78e+08,3490,1,0,15568277,29251,1730,6439,5610000,7.9
3,2e+07,2800,1,1,11850723,24226,1343,2577,21500,6.3
9,2.4e+07,66,1,6,6685088,8369,467,1580,13720000,7.1
